Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401237,2024-02-03,17:00,RSW LIEGE BASKET C,DISON-ANDRIMONT A,MM - DIVISION 1,
401243,2024-02-10,19:00,RBC ALLEUR B,RSW LIEGE BASKET C,MM - DIVISION 1,
401155,2024-02-22,20:00,UN HUY BASKET A,RSW LIEGE BASKET C,MM - DIVISION 1,
401267,2024-02-24,17:00,RSW LIEGE BASKET C,ATLAS A JUPILLE B,MM - DIVISION 1,
401255,2024-03-03,17:00,ROYAL BC WANZE A,RSW LIEGE BASKET C,MM - DIVISION 1,
401287,2024-03-09,17:00,RSW LIEGE BASKET C,R.UN.BELLAIRE A,MM - DIVISION 1,
401296,2024-03-16,18:30,GRACE-HOLLOGNE A,RSW LIEGE BASKET C,MM - DIVISION 1,
401307,2024-03-23,17:00,RSW LIEGE BASKET C,HENRI-CHAPELLE A,MM - DIVISION 1,
401324,2024-04-05,21:00,ETOILE JUPILLE A,RSW LIEGE BASKET C,MM - DIVISION 1,
401347,2024-04-21,13:00,RSW LIEGE BASKET C,UN HUY BASKET A,MM - DIVISION 1,
401356,2024-04-27,19:00,RB UNION LIEGE A,RSW LIEGE BASKET C,MM - DIVISION 1,
403236,2024-02-04,13:00,RSW LIEGE BASKET D,HERVE-BATTICE A,MM - DIVISION 2 B,
403245,2024-02-10,19:00,RBC VISE A,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403256,2024-02-17,21:00,LA VILLERSOISE A,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403266,2024-02-25,13:00,RSW LIEGE BASKET D,BC REVEIL A,MM - DIVISION 2 B,
403286,2024-03-10,13:00,RSW LIEGE BASKET D,BC COINTE B,MM - DIVISION 2 B,
403294,2024-03-16,19:00,RBC CROATIA OUPEYE A,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403306,2024-03-24,13:00,RSW LIEGE BASKET D,ALL. FLEMALLE A,MM - DIVISION 2 B,
403322,2024-04-06,19:00,RBC STAVELOT A,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403341,2024-04-21,17:00,MAIL. COMBLAIN B,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403356,2024-04-27,20:00,RSW LIEGE BASKET D,BC VERVIERS B,MM - DIVISION 2 B,
405232,2024-02-03,21:00,RBC STAVELOT B,RSW LIEGE BASKET E,MM - DIVISION 3 B,
405247,2024-02-10,18:00,RSW LIEGE BASKET E,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405257,2024-02-17,18:00,RSW LIEGE BASKET E,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405266,2024-02-24,21:00,RB UNION LIEGE B,RSW LIEGE BASKET E,MM - DIVISION 3 B,
405283,2024-03-09,18:30,HERVE-BATTICE B,RSW LIEGE BASKET E,MM - DIVISION 3 B,
405297,2024-03-16,18:00,RSW LIEGE BASKET E,BC BELLEFLAMME C,MM - DIVISION 3 B,
405304,2024-03-24,17:00,ROYAL SPA BC C,RSW LIEGE BASKET E,MM - DIVISION 3 B,
405327,2024-04-06,18:00,RSW LIEGE BASKET E,BC ST VITH,MM - DIVISION 3 B,
405346,2024-04-21,15:00,LA VILLERSOISE C,RSW LIEGE BASKET E,MM - DIVISION 3 B,
405357,2024-04-27,18:00,RSW LIEGE BASKET E,HARIMALIA BC D,MM - DIVISION 3 B,
AW102157,2024-02-03,21:00,RSW LIEGE BASKET B,ROYAL BC NINANE B,MM - REGIONALE 2 A,
AW102143,2024-02-10,21:00,RBC ALLEUR A,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
AW102165,2024-02-18,15:00,BC BELLEFLAMME B,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
AW102177,2024-02-24,21:00,RSW LIEGE BASKET B,JSB MAFFLE,MM - REGIONALE 2 A,
AW102187,2024-03-03,17:00,ROYAL BC CINEY,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
AW102197,2024-03-09,21:00,RSW LIEGE BASKET B,BB GEMBLOUX,MM - REGIONALE 2 A,
AW102217,2024-03-23,21:00,RSW LIEGE BASKET B,UCCLE EUROPE,MM - REGIONALE 2 A,
AW102204,2024-04-07,14:00,CANTER SCHAERBEEK,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
AW102226,2024-04-13,19:00,RBC HANEFFE A,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
AW102237,2024-04-20,21:00,RSW LIEGE BASKET B,ABC WAREMME A,MM - REGIONALE 2 A,
AW102246,2024-04-26,21:00,PROFONDEVILLE SHARKS,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
NAHSE21BND,2024-02-03,19:00,RSW LIEGE BASKET A,GUCO LIER B,TOP DIVISION MEN 2 B,
NAHSE21BMN,2024-02-18,16:00,ESNEUX S LOUIS UTD A,RSW LIEGE BASKET A,TOP DIVISION MEN 2 B,
NAHSE21BNF,2024-02-24,19:00,RSW LIEGE BASKET A,PHANTOMS BOOM,TOP DIVISION MEN 2 B,
NAHSE21BHN,2024-03-02,21:00,ROYAL NIVELLES,RSW LIEGE BASKET A,TOP DIVISION MEN 2 B,
NAHSE21BNC,2024-03-09,19:00,RSW LIEGE BASKET A,ROYAL IV BRUSSEL B,TOP DIVISION MEN 2 B,
NAHSE21BKN,2024-03-15,21:00,UNITED B WOLUWE,RSW LIEGE BASKET A,TOP DIVISION MEN 2 B,
