Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401261,2024-02-24,21:00,RB TILFF A,ROYAL BC WANZE A,MM - DIVISION 1,
401281,2024-03-09,21:00,RB TILFF A,HENRI-CHAPELLE A,MM - DIVISION 1,
401293,2024-03-15,21:00,ATLAS A JUPILLE B,RB TILFF A,MM - DIVISION 1,
401301,2024-03-23,21:00,RB TILFF A,ETOILE JUPILLE A,MM - DIVISION 1,
401327,2024-04-06,19:00,ESNEUX S LOUIS UTD C,RB TILFF A,MM - DIVISION 1,(Collège Saint-Louis)
401341,2024-04-20,21:00,RB TILFF A,RB UNION LIEGE A,MM - DIVISION 1,
401352,2024-04-26,20:15,R.UN.BELLAIRE A,RB TILFF A,MM - DIVISION 1,
402261,2024-02-24,19:00,RB TILFF B,RBC VISE B,MM - DIVISION 2 A,
402196,2024-03-03,17:00,RBC AUBEL B,RB TILFF B,MM - DIVISION 2 A,
402281,2024-03-09,19:00,RB TILFF B,PRAYON TROOZ A,MM - DIVISION 2 A,
402293,2024-03-17,13:00,RBC ALLEUR C,RB TILFF B,MM - DIVISION 2 A,
402301,2024-03-23,19:00,RB TILFF B,ROYAL ANS BC A,MM - DIVISION 2 A,
402327,2024-04-07,13:00,PEPINSTER EAST BELG C,RB TILFF B,MM - DIVISION 2 A,
402341,2024-04-19,21:00,RB TILFF B,BC VERLAINE,MM - DIVISION 2 A,
402352,2024-04-27,18:00,R.UN.BELLAIRE B,RB TILFF B,MM - DIVISION 2 A,
404261,2024-02-24,17:00,RB TILFF C,UN HUY BASKET B,MM - DIVISION 3 A,
404281,2024-03-09,17:00,RB TILFF C,BC SPRIMONT C,MM - DIVISION 3 A,
404293,2024-03-17,17:00,RBC ALLEUR D,RB TILFF C,MM - DIVISION 3 A,
404301,2024-03-23,17:00,RB TILFF C,US AWANS A,MM - DIVISION 3 A,
404327,2024-04-07,10:30,R REN. MONTEGNEE,RB TILFF C,MM - DIVISION 3 A,
404341,2024-04-16,21:00,RB TILFF C,FLERON BBC,MM - DIVISION 3 A,
404352,2024-04-27,19:00,GIANTS BRAIVES A,RB TILFF C,MM - DIVISION 3 A,
410281,2024-03-10,9:00,HENRI-CHAPELLE D,RB TILFF D,MM - DIVISION 4 D,
410291,2024-03-16,19:00,RB TILFF D,HARIMALIA BC F,MM - DIVISION 4 D,
410191,2024-03-25,20:45,RB TILFF D,BC VERVIERS D,MM - DIVISION 4 D,
410321,2024-04-06,19:00,RB TILFF D,RABC ENSIVAL D,MM - DIVISION 4 D,
410344,2024-04-21,12:00,VAIL. JUPILLE C,RB TILFF D,MM - DIVISION 4 D,
410351,2024-04-27,19:00,RB TILFF D,B. OTHEE CLUB,MM - DIVISION 4 D,
524291,2024-03-17,12:30,RB TILFF A,ATLAS A JUPILLE B,U 10 - MM E,
524306,2024-03-23,13:00,CRISTAL SERAING A,RB TILFF A,U 10 - MM E,
524321,2024-04-07,12:30,RB TILFF A,HARIMALIA BC A,U 10 - MM E,
524342,2024-04-13,11:00,DISON-ANDRIMONT B,RB TILFF A,U 10 - MM E,
525211,2024-02-24,11:00,RB TILFF B,RBC AWANS C,U 10 - MM F,
525291,2024-03-17,11:15,RB TILFF B,ROYAL ANS BC B,U 10 - MM F,
525306,2024-03-23,11:00,RABC ENSIVAL A,RB TILFF B,U 10 - MM F,
525321,2024-04-07,11:15,RB TILFF B,HARIMALIA BC B,U 10 - MM F,
525342,2024-04-20,9:00,BC COINTE B,RB TILFF B,U 10 - MM F,
504291,2024-03-17,14:00,RB TILFF,RBC VISE B,U 12 - MM E,
504306,2024-03-23,10:30,BCM HERSTAL,RB TILFF,U 12 - MM E,
504321,2024-04-07,14:00,RB TILFF,VAIL. JUPILLE,U 12 - MM E,
504342,2024-04-20,16:00,HENRI-CHAPELLE,RB TILFF,U 12 - MM E,
491291,2024-03-16,11:00,RB TILFF,ALL. FLEMALLE B,U 14 - PROV MM B,
491306,2024-03-24,13:00,LA VILLERSOISE,RB TILFF,U 14 - PROV MM B,
491321,2024-04-06,9:00,RB TILFF,HARIMALIA BC A,U 14 - PROV MM B,
491342,2024-04-20,15:00,REBOND NEUVILLE,RB TILFF,U 14 - PROV MM B,
AW170009,2024-02-24,13:00,BC SPRIMONT,RB TILFF,U 16 - GOLD REGIONAUX D,
AW170021,2024-03-24,13:00,BC CENTRE GAUME,RB TILFF,U 16 - GOLD REGIONAUX D,
AW170023,2024-04-06,13:00,RB TILFF,BELFIUS MONS-HT,U 16 - GOLD REGIONAUX D,
AW170029,2024-04-14,9:30,RB TILFF,NEXTGEN ACADEMY,U 16 - GOLD REGIONAUX D,
AW170025,2024-04-20,13:00,RBC HANEFFE,RB TILFF,U 16 - GOLD REGIONAUX D,
431211,2024-03-29,19:45,RB TILFF,ROYAL SPA BC,U 18 - ELITES MM B,
431321,2024-04-06,11:00,RB TILFF,THEUX BC A,U 18 - ELITES MM B,
420266,2024-02-25,12:30,CRISTAL SERAING,RB TILFF,U 21 - MM,
420283,2024-03-09,15:00,RBC 4A AYWAILLE,RB TILFF,U 21 - MM,
420297,2024-03-16,13:00,RB TILFF,RBC AWANS,U 21 - MM,
420304,2024-03-23,15:00,BC BELLEFLAMME,RB TILFF,U 21 - MM,
420327,2024-03-30,15:00,RB TILFF,DF BC MALMEDY,U 21 - MM,
420346,2024-04-21,17:00,LA VILLERSOISE,RB TILFF,U 21 - MM,
420357,2024-04-27,13:00,RB TILFF,R.UN.BELLAIRE,U 21 - MM,
542291,2024-03-17,9:45,RB TILFF,ALL. FLEMALLE B,U 7 - MM C,
542306,2024-03-23,14:45,RBC AUBEL,RB TILFF,U 7 - MM C,
542321,2024-04-07,9:45,RB TILFF,BC BELLEFLAMME,U 7 - MM C,
542342,2024-04-20,9:00,ABC WAREMME,RB TILFF,U 7 - MM C,
531291,2024-03-17,9:45,RB TILFF A,HERVE-BATTICE A,U 8 - MM B,
531306,2024-03-24,9:00,CRISTAL SERAING A,RB TILFF A,U 8 - MM B,
531321,2024-04-07,9:45,RB TILFF A,HARIMALIA BC,U 8 - MM B,
531342,2024-04-20,13:15,RBC 4A AYWAILLE,RB TILFF A,U 8 - MM B,
532291,2024-03-17,11:15,RB TILFF B,ALL. FLEMALLE B,U 8 - MM C,
532306,2024-03-24,9:00,CRISTAL SERAING B,RB TILFF B,U 8 - MM C,
532321,2024-04-07,11:15,RB TILFF B,RBC ALLEUR B,U 8 - MM C,
