Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414334,2026-04-19,12:00,RBC HANEFFE B,RBC BLEGNY B,DD - DIVISION 2 A,
415334,2026-04-19,16:00,RBC HANEFFE C,ABC WAREMME B,DD - DIVISION 2 B,
417334,2026-04-19,14:00,RBC HANEFFE D,ORP JAUCHE,DD - DIVISION 3 B,
AW106179,2026-04-18,19:00,RBC HANEFFE A,RBC ALLEUR B,DD - REGIONALE 2 B,
AW106165,2026-04-25,19:00,RBC HANEFFE A,UN HUY BASKET B,DD - REGIONALE 2 B,
401334,2026-04-18,21:00,RBC HANEFFE A,HENRI-CHAPELLE A,MM - DIVISION 1,
405337,2026-04-18,19:00,RBC BLEGNY B,RBC HANEFFE B,MM - DIVISION 3 B,
407334,2026-04-18,17:00,RBC HANEFFE C,RBC ALLEUR D,MM - DIVISION 4 A,
530336,2026-04-19,13:00,GIANTS BRAIVES C,RBC HANEFFE A,U 10 - MM K,
507336,2026-04-19,11:00,GIANTS BRAIVES C,RBC HANEFFE,U 12 - MM H,
601334,2026-04-19,10:00,RBC HANEFFE,MAIL. COMBLAIN,U 14 - DD B,
AW161009,2026-04-18,13:00,RBC HANEFFE,BC FRAIRE,U 14 - GOLD REGIONAUX A,
AW156009,2026-04-18,15:00,RBC HANEFFE,BC MALONNE,U 16 - GOLD REGIONAUX B,
AW156018,2026-04-26,14:00,FRESH AIR,RBC HANEFFE,U 16 - GOLD REGIONAUX B,
431336,2026-04-18,11:00,GIANTS BRAIVES,RBC HANEFFE,U 18 - ELITES MM B,
552336,2026-04-19,9:00,GIANTS BRAIVES,RBC HANEFFE,U 7 - MM C,
545333,2026-04-18,11:00,RBC HANEFFE,BC CRISNEE A,U 8 - MM F,
