Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW104001,2026-09-04,20:00,GANSHOREN DAMES,BC COINTE A,DD - REGIONALE 1,
AW104014,2026-09-12,17:00,BC COINTE A,RBC ALLEUR A,DD - REGIONALE 1,
AW104008,2026-09-19,17:00,BC COINTE A,CENTRE GAUME RULLES,DD - REGIONALE 1,
AW104022,2026-10-03,20:30,RE PONT-DE-LOUP,BC COINTE A,DD - REGIONALE 1,
AW104026,2026-10-10,17:00,BC COINTE A,FLOREAL NEUFCHATEAU,DD - REGIONALE 1,
AW104050,2026-11-07,17:00,BC COINTE A,PRAYON TROOZ A,DD - REGIONALE 1,
AW104043,2026-11-14,20:30,LIEGE PANTHERS C,BC COINTE A,DD - REGIONALE 1,
AW104062,2026-11-21,17:00,BC COINTE A,UN HUY BASKET B,DD - REGIONALE 1,
AW104058,2026-12-06,16:00,RCS NATOYE,BC COINTE A,DD - REGIONALE 1,
AW104032,2026-12-13,13:00,PEPINSTER EAST BELG A,BC COINTE A,DD - REGIONALE 1,
AW104038,2026-12-19,17:00,BC COINTE A,ROYAL HERVE-BATTICE A,DD - REGIONALE 1,
AW104078,2027-01-10,11:15,CENTRE GAUME RULLES,BC COINTE A,DD - REGIONALE 1,
AW104068,2027-01-16,17:00,BC COINTE A,GANSHOREN DAMES,DD - REGIONALE 1,
AW104081,2027-01-30,18:30,RBC ALLEUR A,BC COINTE A,DD - REGIONALE 1,
AW104098,2027-02-06,17:00,BC COINTE A,PEPINSTER EAST BELG A,DD - REGIONALE 1,
AW104086,2027-02-13,17:00,BC COINTE A,RE PONT-DE-LOUP,DD - REGIONALE 1,
AW104110,2027-02-20,17:00,BC COINTE A,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104119,2027-03-20,19:00,PRAYON TROOZ A,BC COINTE A,DD - REGIONALE 1,
AW104095,2027-04-03,18:00,FLOREAL NEUFCHATEAU,BC COINTE A,DD - REGIONALE 1,
AW104129,2027-04-10,19:00,UN HUY BASKET B,BC COINTE A,DD - REGIONALE 1,
AW104122,2027-04-17,17:00,BC COINTE A,RCS NATOYE,DD - REGIONALE 1,
AW104108,2027-04-24,17:00,ROYAL HERVE-BATTICE A,BC COINTE A,DD - REGIONALE 1,
401011,2026-09-05,19:00,RBC STAVELOT A,BC COINTE A,MM - DIVISION 1,
401022,2026-09-12,19:00,BC COINTE A,THEUX BC A,MM - DIVISION 1,
401032,2026-09-19,19:00,BC COINTE A,RB UNION LIEGE A,MM - DIVISION 1,
401054,2026-10-02,21:00,ETOILE JUPILLE A,BC COINTE A,MM - DIVISION 1,
401062,2026-10-10,19:00,BC COINTE A,ESL UNITED C,MM - DIVISION 1,
401076,2026-10-17,17:00,ROYAL HERVE-BATTICE A,BC COINTE A,MM - DIVISION 1,
401082,2026-10-24,19:00,BC COINTE A,ATLAS A JUPILLE A,MM - DIVISION 1,
401102,2026-11-07,19:00,BC COINTE A,ABC WAREMME A,MM - DIVISION 1,
401113,2026-11-13,21:00,BC BELLEFLAMME B,BC COINTE A,MM - DIVISION 1,
401122,2026-11-21,19:00,BC COINTE A,HENRI-CHAPELLE A,MM - DIVISION 1,
401144,2026-12-06,15:00,CRISTAL SGH A,BC COINTE A,MM - DIVISION 1,
401156,2026-12-12,19:00,ALL. FLEMALLE A,BC COINTE A,MM - DIVISION 1,
401162,2026-12-19,19:00,BC COINTE A,HANNUT BC A,MM - DIVISION 1,
401197,2027-01-09,18:30,RB UNION LIEGE A,BC COINTE A,MM - DIVISION 1,
