Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
774008,2026-11-01,11:00,R REN. MONTEGNEE,RBC DISON-ANDRIMONT,CPE PROV PUPILLES DD,
416026,2026-09-13,13:00,R REN. MONTEGNEE,ORP JAUCHE,DD - DIVISION 3 A,
416032,2026-09-20,17:00,ALL. FLEMALLE C,R REN. MONTEGNEE,DD - DIVISION 3 A,
416053,2026-10-04,13:00,UN HUY BASKET C,R REN. MONTEGNEE,DD - DIVISION 3 A,
416066,2026-10-11,13:00,R REN. MONTEGNEE,RBC AWANS A,DD - DIVISION 3 A,
416106,2026-11-08,13:00,R REN. MONTEGNEE,VAIL. JUPILLE,DD - DIVISION 3 A,
416115,2026-11-15,11:30,BC VERLAINE B,R REN. MONTEGNEE,DD - DIVISION 3 A,
416126,2026-11-22,13:00,R REN. MONTEGNEE,BC VERLAINE B,DD - DIVISION 3 A,
416142,2026-12-05,19:00,RBC VISE B,R REN. MONTEGNEE,DD - DIVISION 3 A,
416151,2026-12-12,19:00,RBC AWANS A,R REN. MONTEGNEE,DD - DIVISION 3 A,
416164,2026-12-20,15:30,ETOILE JUPILLE,R REN. MONTEGNEE,DD - DIVISION 3 A,
416196,2027-01-10,11:00,R REN. MONTEGNEE,ALL. FLEMALLE C,DD - DIVISION 3 A,
416216,2027-01-24,13:00,R REN. MONTEGNEE,GIANTS BRAIVES,DD - DIVISION 3 A,
416225,2027-01-30,21:00,ORP JAUCHE,R REN. MONTEGNEE,DD - DIVISION 3 A,
416246,2027-02-14,13:00,R REN. MONTEGNEE,UN HUY BASKET C,DD - DIVISION 3 A,
416256,2027-02-21,13:00,R REN. MONTEGNEE,RBC VISE B,DD - DIVISION 3 A,
416286,2027-03-14,13:00,R REN. MONTEGNEE,BC SPRIMONT C,DD - DIVISION 3 A,
416294,2027-03-20,21:00,VAIL. JUPILLE,R REN. MONTEGNEE,DD - DIVISION 3 A,
416306,2027-03-27,17:00,GIANTS BRAIVES,R REN. MONTEGNEE,DD - DIVISION 3 A,
416326,2027-04-11,13:00,R REN. MONTEGNEE,ETOILE JUPILLE,DD - DIVISION 3 A,
416331,2027-04-18,17:00,BC SPRIMONT C,R REN. MONTEGNEE,DD - DIVISION 3 A,
408016,2026-09-06,13:00,R REN. MONTEGNEE,ROYAL MOSA AC 1941 B,MM - DIVISION 4 B,
408026,2026-09-13,11:00,R REN. MONTEGNEE,RBC DISON-ANDRIMONT C,MM - DIVISION 4 B,
408034,2026-09-19,18:00,MAIL. COMBLAIN B,R REN. MONTEGNEE,MM - DIVISION 4 B,
408066,2026-10-11,11:00,R REN. MONTEGNEE,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408073,2026-10-17,21:00,UN HUY BASKET,R REN. MONTEGNEE,MM - DIVISION 4 B,
408086,2026-10-25,11:00,R REN. MONTEGNEE,HARIMALIA BC D,MM - DIVISION 4 B,
408106,2026-11-08,11:00,R REN. MONTEGNEE,RBC CROATIA OUPEYE,MM - DIVISION 4 B,
