Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
411194,2026-02-06,19:00,BC REVEIL B,RBC AUBEL,MM - DIVISION 4 E,
411242,2026-02-15,11:00,RABC ENSIVAL C,RBC AUBEL,MM - DIVISION 4 E,
411225,2026-02-21,19:00,RBC AUBEL,RBC WELKENRAEDT B,MM - DIVISION 4 E,
411266,2026-02-28,19:00,DF BC MALMEDY,RBC AUBEL,MM - DIVISION 4 E,
411275,2026-03-08,16:30,RBC AUBEL,RBC STAVELOT C,MM - DIVISION 4 E,
411293,2026-03-21,17:00,AVENIR JUPILLE B,RBC AUBEL,MM - DIVISION 4 E,
411307,2026-03-28,19:00,RBC BLEGNY C,RBC AUBEL,MM - DIVISION 4 E,
411315,2026-04-05,12:00,RBC AUBEL,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
411323,2026-04-12,13:00,R.UN.BELLAIRE B,RBC AUBEL,MM - DIVISION 4 E,
411335,2026-04-19,12:00,RBC AUBEL,ROYAL SPA BC E,MM - DIVISION 4 E,
524232,2026-02-08,9:00,THEUX BC B,RBC AUBEL A,U 10 - MM E,
524195,2026-02-14,11:00,CRISTAL SGH B,RBC AUBEL A,U 10 - MM E,
524266,2026-02-28,9:30,BBC EUPEN,RBC AUBEL A,U 10 - MM E,
524275,2026-03-08,14:30,RBC AUBEL A,RBC STAVELOT B,U 10 - MM E,
524225,2026-03-15,12:00,RBC AUBEL A,ROYAL HERVE-BATTICE D,U 10 - MM E,
524303,2026-03-28,13:00,DF BC MALMEDY,RBC AUBEL A,U 10 - MM E,
524325,2026-04-11,10:30,RBC AUBEL A,BC SANKT VITH,U 10 - MM E,
526232,2026-02-07,11:00,PEPINSTER EAST BELG C,RBC AUBEL B,U 10 - MM G,
526225,2026-02-14,11:00,RBC AUBEL B,HARIMALIA BC B,U 10 - MM G,
526266,2026-02-28,15:00,R 4A AYWAILLE-HAMOIR B,RBC AUBEL B,U 10 - MM G,(Hall de Hamoir)
526293,2026-03-21,9:00,BCM HERSTAL,RBC AUBEL B,U 10 - MM G,
526325,2026-04-11,10:30,RBC AUBEL B,PRAYON TROOZ A,U 10 - MM G,
526335,2026-04-18,10:30,RBC AUBEL B,ALL. FLEMALLE D,U 10 - MM G,
500236,2026-02-07,9:00,RBC BLEGNY,RBC AUBEL,U 12 - MM A,
500266,2026-02-28,12:30,RBC AUBEL,ROYAL MOSA AC 1941 A,U 12 - MM A,
500274,2026-03-08,9:00,PRAYON TROOZ A,RBC AUBEL,U 12 - MM A,
500193,2026-03-14,11:00,RBC VISE A,RBC AUBEL,U 12 - MM A,
500226,2026-03-15,10:00,RBC AUBEL,HENRI-CHAPELLE A,U 12 - MM A,
500292,2026-03-21,11:00,THEUX BC B,RBC AUBEL,U 12 - MM A,
500336,2026-04-18,12:30,RBC AUBEL,BC COINTE A,U 12 - MM A,
504195,2026-02-14,15:00,CRISTAL SGH C,RBC AUBEL B,U 12 - MM E,
504266,2026-02-28,9:00,ROYAL BC NINANE B,RBC AUBEL B,U 12 - MM E,
504275,2026-03-08,12:30,RBC AUBEL B,RBC STAVELOT A,U 12 - MM E,
504225,2026-03-14,10:00,RBC AUBEL B,HARIMALIA BC A,U 12 - MM E,
504293,2026-03-21,13:00,DF BC MALMEDY,RBC AUBEL B,U 12 - MM E,
504232,2026-04-12,9:00,THEUX BC A,RBC AUBEL B,U 12 - MM E,
504335,2026-04-18,10:00,RBC AUBEL B,BBC EUPEN,U 12 - MM E,
491236,2026-02-07,12:45,ROYAL BC NINANE B,RBC AUBEL,U 14 - PROV MM B,
491226,2026-02-15,12:30,RBC AUBEL,R.UN.BELLAIRE,U 14 - PROV MM B,
491266,2026-02-28,14:30,RBC AUBEL,ROYAL MOSA AC 1941,U 14 - PROV MM B,
491301,2026-03-29,9:00,RBC VISE B,RBC AUBEL,U 14 - PROV MM B,
491292,2026-04-04,15:00,PEPINSTER EAST BELG,RBC AUBEL,U 14 - PROV MM B,
491326,2026-04-11,14:30,RBC AUBEL,ROYAL SPA BC,U 14 - PROV MM B,
590195,2026-02-14,9:00,RBC DISON-ANDRIMONT,RBC AUBEL,U 16 - DD A,
590275,2026-02-14,11:00,RBC AUBEL,ALL. FLEMALLE B,U 16 - DD A,
590266,2026-02-15,15:00,RBC VISE B,RBC AUBEL,U 16 - DD A,
590293,2026-03-22,11:00,ATLAS A JUPILLE,RBC AUBEL,U 16 - DD A,
590225,2026-03-27,20:00,RBC AUBEL,ROYAL SPA BC,U 16 - DD A,
590303,2026-03-28,15:00,RBC AWANS B,RBC AUBEL,U 16 - DD A,
590325,2026-04-11,16:30,RBC AUBEL,BC COINTE,U 16 - DD A,
590335,2026-04-19,10:00,RBC AUBEL,ROYAL HERVE-BATTICE,U 16 - DD A,
580232,2026-02-07,17:00,RBC AWANS,RBC AUBEL,U 19 - DD A,
580271,2026-03-08,9:00,RBC AUBEL,PEPINSTER EAST BELG,U 19 - DD A,
580221,2026-03-08,17:00,RBC AUBEL,RBC ESNEUX,U 19 - DD A,
580293,2026-03-21,11:00,ABC WAREMME B,RBC AUBEL,U 19 - DD A,
580321,2026-04-12,9:00,RBC AUBEL,RBC WELKENRAEDT,U 19 - DD A,
580333,2026-04-18,17:00,ROYAL BC NINANE,RBC AUBEL,U 19 - DD A,
540232,2026-02-08,9:00,THEUX BC,RBC AUBEL,U 8 - MM A,
540275,2026-03-08,11:00,RBC AUBEL,RBC STAVELOT,U 8 - MM A,
540225,2026-03-14,9:00,RBC AUBEL,ROYAL SPA BC A,U 8 - MM A,
540293,2026-03-22,9:00,RBC VISE B,RBC AUBEL,U 8 - MM A,
540303,2026-03-28,10:30,R.UN.BELLAIRE,RBC AUBEL,U 8 - MM A,
540325,2026-04-11,9:00,RBC AUBEL,RABC ENSIVAL,U 8 - MM A,
540335,2026-04-18,9:00,RBC AUBEL,RBC BLEGNY,U 8 - MM A,
