Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413325,2026-04-11,18:30,RBC ALLEUR C,R.UN.BELLAIRE A,DD - DIVISION 1,
413331,2026-04-18,19:00,ROYAL HERVE-BATTICE C,RBC ALLEUR C,DD - DIVISION 1,
415321,2026-04-12,11:00,R.UN.BELLAIRE B,RBC ALLEUR D,DD - DIVISION 2 B,
415337,2026-04-19,13:00,RBC ALLEUR D,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
AW105169,2026-04-11,20:30,LIEGE PANTHERS C,RBC ALLEUR A,DD - REGIONALE 2 A,
AW105182,2026-04-18,18:30,RBC ALLEUR A,RBC ESNEUX A,DD - REGIONALE 2 A,
AW105167,2026-04-26,17:00,PDL CHARLEROI,RBC ALLEUR A,DD - REGIONALE 2 A,
AW106175,2026-04-11,20:30,RBC ALLEUR B,LADIES CHARLEROI,DD - REGIONALE 2 B,
AW106179,2026-04-18,19:00,RBC HANEFFE A,RBC ALLEUR B,DD - REGIONALE 2 B,
AW106168,2026-04-25,20:30,RBC ALLEUR B,NAMUR CAPITALE,DD - REGIONALE 2 B,
402327,2026-04-12,11:00,RBC ALLEUR C,HARIMALIA BC C,MM - DIVISION 2 A,
402334,2026-04-19,11:00,BC BELLEFLAMME C,RBC ALLEUR C,MM - DIVISION 2 A,
403327,2026-04-10,20:30,RBC ALLEUR B,HARIMALIA BC B,MM - DIVISION 2 B,
403167,2026-04-19,11:00,RBC ALLEUR B,PRAYON TROOZ A,MM - DIVISION 2 B,
407327,2026-04-12,17:00,RBC ALLEUR D,RBC VISE D,MM - DIVISION 4 A,
407334,2026-04-18,17:00,RBC HANEFFE C,RBC ALLEUR D,MM - DIVISION 4 A,
409321,2026-04-11,17:00,ROYAL SPA BC D,RBC ALLEUR E,MM - DIVISION 4 C,
409337,2026-04-17,20:30,RBC ALLEUR E,BC BELLEFLAMME F,MM - DIVISION 4 C,
AW102169,2026-04-12,15:00,CANTER SCHAERBEEK,RBC ALLEUR A,MM - REGIONALE 2 A,
AW102182,2026-04-18,20:30,RBC ALLEUR A,B55 ACADEMY XL,MM - REGIONALE 2 A,
AW102167,2026-04-25,20:30,R LINTHOUT BC,RBC ALLEUR A,MM - REGIONALE 2 A,
529321,2026-04-11,16:30,RBC ALLEUR B,GIANTS BRAIVES B,U 10 - MM J,
530326,2026-04-12,9:00,GIANTS BRAIVES C,RBC ALLEUR A,U 10 - MM K,
531321,2026-04-11,9:00,RBC ALLEUR C,HANNUT BC,U 10 - MM L,
531335,2026-04-18,11:00,CRISTAL SGH A,RBC ALLEUR C,U 10 - MM L,
507326,2026-04-12,11:00,GIANTS BRAIVES C,RBC ALLEUR A,U 12 - MM H,
507331,2026-04-19,9:00,RBC ALLEUR A,ABC WAREMME B,U 12 - MM H,
508326,2026-04-11,13:00,HANNUT BC,RBC ALLEUR B,U 12 - MM I,
508331,2026-04-18,16:30,RBC ALLEUR B,ABC WAREMME C,U 12 - MM I,
509326,2026-04-18,15:00,ORP JAUCHE,RBC ALLEUR C,U 12 - MM J,
601326,2026-04-12,13:00,RBC ALLEUR,ALL. FLEMALLE,U 14 - DD B,
601336,2026-04-19,13:00,R REN. MONTEGNEE,RBC ALLEUR,U 14 - DD B,
480326,2026-04-12,15:00,RBC ALLEUR,RBC VISE A,U 14 - ELITES MM A,
480336,2026-04-19,17:00,RBC ALLEUR,COLLEGE S LOUIS A,U 14 - ELITES MM A,
AW180016,2026-04-11,12:45,RBC ALLEUR,RB ALLIANCE ARLON,U 14 - GOLD REGIONALES B,
AW180007,2026-04-18,13:30,PDL CHARLEROI,RBC ALLEUR,U 14 - GOLD REGIONALES B,
AW159017,2026-04-11,15:00,REBOND MUSSON,RBC ALLEUR,U 16 - SILVER REGIONAUX C,
AW159007,2026-04-18,12:45,RBC ALLEUR,J.S.SOIGNIES,U 16 - SILVER REGIONAUX C,
432326,2026-04-11,15:00,ORP JAUCHE,RBC ALLEUR A,U 18 - ELITES MM C,
440183,2026-04-11,9:00,ROYAL ANS BC B,RBC ALLEUR B,U 18 - PROV MM,
440327,2026-04-12,9:00,RBC ALLEUR B,ALL. FLEMALLE B,U 18 - PROV MM,
440334,2026-04-19,16:30,MARCHIN BASKET,RBC ALLEUR B,U 18 - PROV MM,
AW170007,2026-04-18,10:45,RBC ALLEUR,BC BONINNE,U 19 - GOLD REGIONALES A,
AW149007,2026-04-19,15:00,RBC ALLEUR,RBC VISE,U 21 - SILVER REGIONAUX B,
553321,2026-04-11,10:45,RBC ALLEUR,HANNUT BC,U 7 - MM D,
553335,2026-04-18,11:00,BC VERLAINE A,RBC ALLEUR,U 7 - MM D,
542321,2026-04-11,14:45,RBC ALLEUR,R HT-PRE OUGREE,U 8 - MM C,
