Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
402022,2026-09-12,17:00,RBC VISE A,BC VERVIERS B,MM - DIVISION 2 A,
402033,2026-09-19,19:00,BC VERVIERS B,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402056,2026-10-03,21:00,ROYAL SPA BC C,BC VERVIERS B,MM - DIVISION 2 A,
402063,2026-10-10,19:00,BC VERVIERS B,RABC ENSIVAL A,MM - DIVISION 2 A,
402077,2026-10-18,11:00,RBC ALLEUR C,BC VERVIERS B,MM - DIVISION 2 A,
402083,2026-10-24,19:00,BC VERVIERS B,ROYAL MOSA AC 1941 A,MM - DIVISION 2 A,
402103,2026-11-07,19:00,BC VERVIERS B,BC BELLEFLAMME C,MM - DIVISION 2 A,
402112,2026-11-14,21:00,PEPINSTER EAST BELG C,BC VERVIERS B,MM - DIVISION 2 A,
402123,2026-11-21,19:00,BC VERVIERS B,VAIL. JUPILLE A,MM - DIVISION 2 A,
402143,2026-12-06,15:00,LA VILLERSOISE A,BC VERVIERS B,MM - DIVISION 2 A,
402155,2026-12-12,17:00,PRAYON TROOZ A,BC VERVIERS B,MM - DIVISION 2 A,
402163,2026-12-19,19:00,BC VERVIERS B,ESL UNITED E,MM - DIVISION 2 A,
402191,2027-01-10,17:00,ATLAS A JUPILLE B,BC VERVIERS B,MM - DIVISION 2 A,
402203,2027-01-16,19:00,BC VERVIERS B,FLERON BBC A,MM - DIVISION 2 A,
402213,2027-01-23,19:00,BC VERVIERS B,RBC ALLEUR C,MM - DIVISION 2 A,
402223,2027-01-30,19:00,BC VERVIERS B,RBC VISE A,MM - DIVISION 2 A,
402243,2027-02-13,19:00,BC VERVIERS B,ROYAL SPA BC C,MM - DIVISION 2 A,
402253,2027-02-20,19:00,BC VERVIERS B,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402017,2027-02-28,11:00,FLERON BBC A,BC VERVIERS B,MM - DIVISION 2 A,
402273,2027-03-06,19:00,BC VERVIERS B,LA VILLERSOISE A,MM - DIVISION 2 A,
402284,2027-03-13,21:00,VAIL. JUPILLE A,BC VERVIERS B,MM - DIVISION 2 A,
402291,2027-03-20,21:00,BC BELLEFLAMME C,BC VERVIERS B,MM - DIVISION 2 A,
402304,2027-03-27,19:00,RABC ENSIVAL A,BC VERVIERS B,MM - DIVISION 2 A,
402326,2027-04-10,17:00,ESL UNITED E,BC VERVIERS B,MM - DIVISION 2 A,
402333,2027-04-17,19:00,BC VERVIERS B,PRAYON TROOZ A,MM - DIVISION 2 A,
402345,2027-04-25,11:30,ROYAL MOSA AC 1941 A,BC VERVIERS B,MM - DIVISION 2 A,
403013,2026-09-05,17:30,BC VERVIERS C,BC SPRIMONT C,MM - DIVISION 2 B,
403023,2026-09-12,17:30,BC VERVIERS C,HARIMALIA BC A,MM - DIVISION 2 B,
403031,2026-09-19,19:00,ROYAL SPA BC B,BC VERVIERS C,MM - DIVISION 2 B,
403053,2026-10-03,17:30,BC VERVIERS C,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 2 B,
403064,2026-10-10,21:00,RBC ALLEUR B,BC VERVIERS C,MM - DIVISION 2 B,
403073,2026-10-17,17:30,BC VERVIERS C,ESL UNITED D,MM - DIVISION 2 B,
403085,2026-10-24,19:00,RB TILFF B,BC VERVIERS C,MM - DIVISION 2 B,
403101,2026-11-07,21:00,RBC AWANS A,BC VERVIERS C,MM - DIVISION 2 B,
403113,2026-11-14,17:30,BC VERVIERS C,RBC VISE B,MM - DIVISION 2 B,
403124,2026-11-21,19:00,RBC HANEFFE A,BC VERVIERS C,MM - DIVISION 2 B,
403143,2026-12-05,17:30,BC VERVIERS C,R.UN.BELLAIRE A,MM - DIVISION 2 B,
403153,2026-12-12,17:30,BC VERVIERS C,ABC WAREMME B,MM - DIVISION 2 B,
403193,2027-01-09,17:30,BC VERVIERS C,ROYAL SPA BC B,MM - DIVISION 2 B,
403207,2027-01-16,21:00,BC SPRIMONT C,BC VERVIERS C,MM - DIVISION 2 B,
403216,2027-01-24,14:00,ESL UNITED D,BC VERVIERS C,MM - DIVISION 2 B,
403222,2027-01-31,13:30,HARIMALIA BC A,BC VERVIERS C,MM - DIVISION 2 B,
403166,2027-02-06,19:00,RBC DISON-ANDRIMONT A,BC VERVIERS C,MM - DIVISION 2 B,
403247,2027-02-13,21:00,R 4A AYWAILLE-HAMOIR A,BC VERVIERS C,MM - DIVISION 2 B,
403252,2027-02-20,17:00,RBC VISE B,BC VERVIERS C,MM - DIVISION 2 B,
403273,2027-03-05,20:15,R.UN.BELLAIRE A,BC VERVIERS C,MM - DIVISION 2 B,
403283,2027-03-13,17:30,BC VERVIERS C,RBC HANEFFE A,MM - DIVISION 2 B,
403293,2027-03-20,17:30,BC VERVIERS C,RBC AWANS A,MM - DIVISION 2 B,
403303,2027-03-27,17:30,BC VERVIERS C,RBC ALLEUR B,MM - DIVISION 2 B,
403323,2027-04-10,17:30,BC VERVIERS C,RBC DISON-ANDRIMONT A,MM - DIVISION 2 B,
403335,2027-04-17,20:00,ABC WAREMME B,BC VERVIERS C,MM - DIVISION 2 B,
403343,2027-04-24,17:30,BC VERVIERS C,RB TILFF B,MM - DIVISION 2 B,
406033,2026-09-19,17:00,BC VERVIERS D,RBC STAVELOT B,MM - DIVISION 3 C,
406056,2026-10-03,18:00,BBC EUPEN A,BC VERVIERS D,MM - DIVISION 3 C,
406063,2026-10-10,17:00,BC VERVIERS D,RBC AUBEL,MM - DIVISION 3 C,
406077,2026-10-16,21:00,BC SANKT VITH,BC VERVIERS D,MM - DIVISION 3 C,
406083,2026-10-24,17:00,BC VERVIERS D,RBC BLEGNY A,MM - DIVISION 3 C,
406022,2026-10-31,19:00,ROYAL BC NINANE C,BC VERVIERS D,MM - DIVISION 3 C,
406103,2026-11-07,17:00,BC VERVIERS D,R.UN.BELLAIRE B,MM - DIVISION 3 C,
406112,2026-11-14,19:00,RBC WELKENRAEDT A,BC VERVIERS D,MM - DIVISION 3 C,
406123,2026-11-21,17:00,BC VERVIERS D,CRISTAL SGH B,MM - DIVISION 3 C,
406143,2026-12-06,11:00,RABC ENSIVAL C,BC VERVIERS D,MM - DIVISION 3 C,
406155,2026-12-12,17:00,RB TILFF C,BC VERVIERS D,MM - DIVISION 3 C,
406163,2026-12-19,17:00,BC VERVIERS D,BC REVEIL,MM - DIVISION 3 C,
406191,2027-01-09,21:00,RBC STAVELOT B,BC VERVIERS D,MM - DIVISION 3 C,
406203,2027-01-16,17:00,BC VERVIERS D,FLERON BBC B,MM - DIVISION 3 C,
406213,2027-01-23,17:00,BC VERVIERS D,BC SANKT VITH,MM - DIVISION 3 C,
406223,2027-01-30,17:00,BC VERVIERS D,ROYAL BC NINANE C,MM - DIVISION 3 C,
406243,2027-02-13,17:00,BC VERVIERS D,BBC EUPEN A,MM - DIVISION 3 C,
406253,2027-02-20,17:00,BC VERVIERS D,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406017,2027-02-28,13:00,FLERON BBC B,BC VERVIERS D,MM - DIVISION 3 C,
406273,2027-03-06,17:00,BC VERVIERS D,RABC ENSIVAL C,MM - DIVISION 3 C,
406284,2027-03-14,13:00,CRISTAL SGH B,BC VERVIERS D,MM - DIVISION 3 C,
406291,2027-03-20,20:00,R.UN.BELLAIRE B,BC VERVIERS D,MM - DIVISION 3 C,
406304,2027-03-27,19:00,RBC AUBEL,BC VERVIERS D,MM - DIVISION 3 C,
406326,2027-04-09,20:00,BC REVEIL,BC VERVIERS D,MM - DIVISION 3 C,
406333,2027-04-17,17:00,BC VERVIERS D,RB TILFF C,MM - DIVISION 3 C,
406345,2027-04-23,21:00,RBC BLEGNY A,BC VERVIERS D,MM - DIVISION 3 C,
AW100008,2026-09-04,20:30,BCJS ESTAIMPUIS,BC VERVIERS A,MM - REGIONALE 1,
AW100018,2026-09-12,21:00,BC BELLEFLAMME A,BC VERVIERS A,MM - REGIONALE 1,
AW100011,2026-09-19,21:00,BC VERVIERS A,R.B.C. BELGRADE,MM - REGIONALE 1,
AW100030,2026-10-03,21:00,RBC LOYERS,BC VERVIERS A,MM - REGIONALE 1,
AW100035,2026-10-10,21:00,BC VERVIERS A,ROYAL NIVELLES,MM - REGIONALE 1,
AW100048,2026-10-18,15:00,RPC ANDERLECHT,BC VERVIERS A,MM - REGIONALE 1,
AW100051,2026-10-24,21:00,BC VERVIERS A,BCCA NEUFCHATEAU,MM - REGIONALE 1,
AW100111,2026-10-31,20:00,BB GEMBLOUX,BC VERVIERS A,MM - REGIONALE 1,
AW100067,2026-11-07,21:00,BC VERVIERS A,RSW LIEGE BASKET A,MM - REGIONALE 1,
AW100059,2026-11-14,19:00,UNION MONS-HAINAUT,BC VERVIERS A,MM - REGIONALE 1,
AW100083,2026-11-21,21:00,BC VERVIERS A,OLYMPIC MSM,MM - REGIONALE 1,
AW100115,2026-11-28,21:00,BC VERVIERS A,ROYAL IV BRUSSELS,MM - REGIONALE 1,
AW100074,2026-12-05,18:00,ASTE KAIN,BC VERVIERS A,MM - REGIONALE 1,
AW100093,2026-12-13,16:00,ESL UNITED A,BC VERVIERS A,MM - REGIONALE 1,
AW100099,2026-12-19,21:00,BC VERVIERS A,RCS NATOYE,MM - REGIONALE 1,
AW100129,2027-01-10,17:30,R.B.C. BELGRADE,BC VERVIERS A,MM - REGIONALE 1,
AW100123,2027-01-16,21:00,BC VERVIERS A,BCJS ESTAIMPUIS,MM - REGIONALE 1,
AW100238,2027-01-24,15:30,ROYAL IV BRUSSELS,BC VERVIERS A,MM - REGIONALE 1,
AW100139,2027-01-30,21:00,BC VERVIERS A,BC BELLEFLAMME A,MM - REGIONALE 1,
AW100163,2027-02-06,21:00,BC VERVIERS A,RPC ANDERLECHT,MM - REGIONALE 1,
AW100147,2027-02-13,21:00,BC VERVIERS A,RBC LOYERS,MM - REGIONALE 1,
AW100179,2027-02-20,21:00,BC VERVIERS A,UNION MONS-HAINAUT,MM - REGIONALE 1,
AW100207,2027-02-28,15:00,OLYMPIC MSM,BC VERVIERS A,MM - REGIONALE 1,
AW100195,2027-03-06,21:00,BC VERVIERS A,ASTE KAIN,MM - REGIONALE 1,
AW100227,2027-03-13,21:00,BC VERVIERS A,BB GEMBLOUX,MM - REGIONALE 1,
AW100185,2027-03-20,19:30,RSW LIEGE BASKET A,BC VERVIERS A,MM - REGIONALE 1,
AW100156,2027-04-03,18:00,ROYAL NIVELLES,BC VERVIERS A,MM - REGIONALE 1,
AW100220,2027-04-10,21:00,RCS NATOYE,BC VERVIERS A,MM - REGIONALE 1,
AW100211,2027-04-17,21:00,BC VERVIERS A,ESL UNITED A,MM - REGIONALE 1,
AW100173,2027-04-24,20:30,BCCA NEUFCHATEAU,BC VERVIERS A,MM - REGIONALE 1,
818005,2026-08-29,19:00,ROYAL SPA BC C,BC VERVIERS D (+ 5),PROVINCIALE MM - POULE R,
819004,2026-08-23,17:00,RBC VISE D (+ 10),BC VERVIERS B,PROVINCIALE MM - POULE S,
819005,2026-08-29,19:00,BC VERVIERS B,BBC EUPEN A (+ 5),PROVINCIALE MM - POULE S,
524016,2026-09-05,12:00,BC SPRIMONT C,BC VERVIERS,U 10 - MM E,
524022,2026-09-12,9:00,ROYAL BC NINANE B,BC VERVIERS,U 10 - MM E,
524033,2026-09-19,12:30,BC VERVIERS,RBC AWANS,U 10 - MM E,
