Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414201,2026-01-18,13:00,LA VILLERSOISE A,ROYALE US AWANS,DD - DIVISION 2 A,
414213,2026-01-25,17:00,ROYALE US AWANS,RBC STAVELOT,DD - DIVISION 2 A,
414223,2026-02-01,17:00,ROYALE US AWANS,ATLAS A JUPILLE,DD - DIVISION 2 A,
414244,2026-02-04,19:00,RBC DISON-ANDRIMONT A,ROYALE US AWANS,DD - DIVISION 2 A,
414263,2026-03-01,17:00,ROYALE US AWANS,BC SPRIMONT B,DD - DIVISION 2 A,
414271,2026-03-08,13:00,ALL. FLEMALLE A,ROYALE US AWANS,DD - DIVISION 2 A,
414155,2026-03-14,21:00,PRAYON TROOZ B,ROYALE US AWANS,DD - DIVISION 2 A,
414295,2026-03-21,18:00,ABC WAREMME A,ROYALE US AWANS,DD - DIVISION 2 A,
414314,2026-04-05,14:00,RBC HANEFFE B,ROYALE US AWANS,DD - DIVISION 2 A,
414323,2026-04-12,17:00,ROYALE US AWANS,PRAYON TROOZ B,DD - DIVISION 2 A,
414336,2026-04-19,17:00,ROYAL BC NINANE A,ROYALE US AWANS,DD - DIVISION 2 A,
404201,2026-01-17,21:00,ALL. FLEMALLE B,ROYALE US AWANS A,MM - DIVISION 3 A,
404213,2026-01-25,15:00,ROYALE US AWANS A,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404223,2026-02-01,15:00,ROYALE US AWANS A,ROYAL BC WANZE C,MM - DIVISION 3 A,
404244,2026-02-15,13:00,BC BELLEFLAMME E,ROYALE US AWANS A,MM - DIVISION 3 A,
404263,2026-03-01,15:00,ROYALE US AWANS A,RJS GRIVEGNEE,MM - DIVISION 3 A,
404271,2026-03-08,17:00,LA VILLERSOISE A,ROYALE US AWANS A,MM - DIVISION 3 A,
404295,2026-03-21,20:30,RB UNION LIEGE B,ROYALE US AWANS A,MM - DIVISION 3 A,
404303,2026-03-29,15:00,ROYALE US AWANS A,AVENIR JUPILLE A,MM - DIVISION 3 A,
404314,2026-04-03,20:45,RB TILFF C,ROYALE US AWANS A,MM - DIVISION 3 A,
404323,2026-04-12,15:00,ROYALE US AWANS A,FLERON BBC B,MM - DIVISION 3 A,
404336,2026-04-18,19:00,R 4A AYWAILLE-HAMOIR C,ROYALE US AWANS A,MM - DIVISION 3 A,(Hall de Hamoir)
409201,2026-01-17,17:00,ROYAL SPA BC D,ROYALE US AWANS B,MM - DIVISION 4 C,
409213,2026-01-25,13:00,ROYALE US AWANS B,R.UN.BELLAIRE C,MM - DIVISION 4 C,
409223,2026-02-01,13:00,ROYALE US AWANS B,ROYAL BC NINANE E,MM - DIVISION 4 C,
409244,2026-02-15,11:00,BC BELLEFLAMME F,ROYALE US AWANS B,MM - DIVISION 4 C,
409263,2026-03-01,13:00,ROYALE US AWANS B,BC SPRIMONT E,MM - DIVISION 4 C,
409271,2026-03-07,19:00,HARIMALIA BC F,ROYALE US AWANS B,MM - DIVISION 4 C,
409295,2026-03-21,17:00,RBC DISON-ANDRIMONT C,ROYALE US AWANS B,MM - DIVISION 4 C,
409303,2026-03-29,13:00,ROYALE US AWANS B,ETOILE JUPILLE C,MM - DIVISION 4 C,
409314,2026-04-05,11:00,R REN. MONTEGNEE,ROYALE US AWANS B,MM - DIVISION 4 C,
409323,2026-04-12,13:00,ROYALE US AWANS B,RBC CROATIA OUPEYE,MM - DIVISION 4 C,
409336,2026-04-19,11:00,ALL. FLEMALLE C,ROYALE US AWANS B,MM - DIVISION 4 C,
