Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415012,2026-09-06,16:00,ROYAL BC NINANE A,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415024,2026-09-13,13:00,ROYAL BC WANZE,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415031,2026-09-20,11:45,ROYAL BASKET OTHEE,RBC WELKENRAEDT,DD - DIVISION 2 B,
415051,2026-10-04,11:45,ROYAL BASKET OTHEE,BC VERLAINE A,DD - DIVISION 2 B,
415066,2026-10-11,14:00,PRAYON TROOZ C,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415071,2026-10-18,11:45,ROYAL BASKET OTHEE,RBC STAVELOT,DD - DIVISION 2 B,
415082,2026-10-25,11:00,ALL. FLEMALLE B,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415103,2026-11-08,13:00,ROYAL ANS BC,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415111,2026-11-15,10:00,ROYAL BASKET OTHEE,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415126,2026-11-22,15:00,HENRI-CHAPELLE B,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415165,2026-11-29,12:00,RBC HANEFFE C,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415141,2026-12-06,11:45,ROYAL BASKET OTHEE,AVENIR JUPILLE,DD - DIVISION 2 B,
415193,2027-01-09,17:00,RBC WELKENRAEDT,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415201,2027-01-17,11:45,ROYAL BASKET OTHEE,ROYAL BC NINANE A,DD - DIVISION 2 B,
415211,2027-01-23,17:00,RBC STAVELOT,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415221,2027-01-31,11:45,ROYAL BASKET OTHEE,ROYAL BC WANZE,DD - DIVISION 2 B,
415245,2027-02-14,17:30,BC VERLAINE A,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415257,2027-02-20,17:00,R 4A AYWAILLE-HAMOIR A,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415274,2027-03-06,19:00,AVENIR JUPILLE,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415281,2027-03-14,11:45,ROYAL BASKET OTHEE,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415291,2027-03-21,11:45,ROYAL BASKET OTHEE,ROYAL ANS BC,DD - DIVISION 2 B,
415301,2027-03-28,11:45,ROYAL BASKET OTHEE,PRAYON TROOZ C,DD - DIVISION 2 B,
415151,2027-04-04,11:00,ROYAL BASKET OTHEE,RBC ALLEUR D,DD - DIVISION 2 B,
415321,2027-04-11,11:45,ROYAL BASKET OTHEE,RBC HANEFFE C,DD - DIVISION 2 B,
415337,2027-04-18,18:00,RBC ALLEUR D,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415341,2027-04-25,11:45,ROYAL BASKET OTHEE,ALL. FLEMALLE B,DD - DIVISION 2 B,
408012,2026-09-06,15:30,HARIMALIA BC D,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408024,2026-09-13,15:00,ROYAL BASKET OTHEE,RBC CROATIA OUPEYE,MM - DIVISION 4 B,
408031,2026-09-20,9:45,ROYAL BASKET OTHEE,UN HUY BASKET,MM - DIVISION 4 B,
408051,2026-10-04,9:45,ROYAL BASKET OTHEE,ORP JAUCHE B,MM - DIVISION 4 B,
408066,2026-10-11,11:00,R REN. MONTEGNEE,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408071,2026-10-18,9:45,ROYAL BASKET OTHEE,BC TORES LIEGE,MM - DIVISION 4 B,
408082,2026-10-25,14:30,CS OUTREMEUSE,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408103,2026-11-08,15:00,ROYAL ANS BC A,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408126,2026-11-21,21:00,RBC DISON-ANDRIMONT C,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408141,2026-12-06,16:00,MAIL. COMBLAIN B,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408165,2026-12-20,13:30,ROYAL MOSA AC 1941 B,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408193,2027-01-09,21:00,UN HUY BASKET,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408201,2027-01-17,9:45,ROYAL BASKET OTHEE,HARIMALIA BC D,MM - DIVISION 4 B,
408211,2027-01-24,15:00,BC TORES LIEGE,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408221,2027-02-06,19:00,RBC CROATIA OUPEYE,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408245,2027-02-13,19:00,ORP JAUCHE B,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408274,2027-03-07,9:45,ROYAL BASKET OTHEE,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408281,2027-03-14,9:45,ROYAL BASKET OTHEE,RBC DISON-ANDRIMONT C,MM - DIVISION 4 B,
408291,2027-03-21,9:45,ROYAL BASKET OTHEE,ROYAL ANS BC A,MM - DIVISION 4 B,
408301,2027-03-28,9:45,ROYAL BASKET OTHEE,R REN. MONTEGNEE,MM - DIVISION 4 B,
408321,2027-04-11,9:45,ROYAL BASKET OTHEE,ROYAL MOSA AC 1941 B,MM - DIVISION 4 B,
408341,2027-04-25,9:45,ROYAL BASKET OTHEE,CS OUTREMEUSE,MM - DIVISION 4 B,
