Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
406211,2026-01-24,19:00,RBC WELKENRAEDT A,BC SANKT VITH,MM - DIVISION 3 C,
406224,2026-01-30,21:00,BC SANKT VITH,THEUX BC B,MM - DIVISION 3 C,
406196,2026-02-06,21:00,BC REVEIL A,BC SANKT VITH,MM - DIVISION 3 C,
406243,2026-02-22,17:00,UN HUY BASKET A,BC SANKT VITH,MM - DIVISION 3 C,
406261,2026-02-28,17:00,RBC VISE C,BC SANKT VITH,MM - DIVISION 3 C,
406274,2026-03-06,21:00,BC SANKT VITH,BBC EUPEN,MM - DIVISION 3 C,
406185,2026-03-13,20:30,R 4A AYWAILLE-HAMOIR B,BC SANKT VITH,MM - DIVISION 3 C,
406294,2026-03-20,21:00,BC SANKT VITH,RBC BLEGNY A,MM - DIVISION 3 C,
406302,2026-03-28,21:00,RBC STAVELOT B,BC SANKT VITH,MM - DIVISION 3 C,
406314,2026-04-03,21:00,BC SANKT VITH,ATLAS A JUPILLE C,MM - DIVISION 3 C,
406324,2026-04-11,17:00,BC COINTE C,BC SANKT VITH,MM - DIVISION 3 C,
406334,2026-04-19,11:30,BC SANKT VITH,ESL UNITED F,MM - DIVISION 3 C,
524211,2026-01-24,11:00,ROYAL HERVE-BATTICE D,BC SANKT VITH,U 10 - MM E,
524224,2026-01-31,11:00,BC SANKT VITH,THEUX BC B,U 10 - MM E,
524263,2026-02-28,13:00,DF BC MALMEDY,BC SANKT VITH,U 10 - MM E,
524274,2026-03-07,11:00,BC SANKT VITH,BBC EUPEN,U 10 - MM E,
524302,2026-03-28,10:30,RBC STAVELOT B,BC SANKT VITH,U 10 - MM E,
524325,2026-04-11,10:30,RBC AUBEL A,BC SANKT VITH,U 10 - MM E,
524334,2026-04-19,15:30,BC SANKT VITH,HENRI-CHAPELLE B,U 10 - MM E,
490211,2026-01-25,9:30,RBC WELKENRAEDT,BC SANKT VITH,U 14 - PROV MM A,
490224,2026-01-31,13:00,BC SANKT VITH,THEUX BC B,U 14 - PROV MM A,
490233,2026-02-07,15:00,DF BC MALMEDY,BC SANKT VITH,U 14 - PROV MM A,
490274,2026-03-07,13:00,BC SANKT VITH,BBC EUPEN,U 14 - PROV MM A,
490302,2026-03-29,9:30,RBC STAVELOT,BC SANKT VITH,U 14 - PROV MM A,
490334,2026-04-19,13:30,BC SANKT VITH,ATLAS A JUPILLE B,U 14 - PROV MM A,
