Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415292,2026-03-21,19:00,AVENIR JUPILLE B,ROYAL BC NINANE B,DD - DIVISION 2 B,
415312,2026-04-04,19:00,AVENIR JUPILLE B,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415162,2026-04-06,20:00,PEPINSTER EAST BELG C,AVENIR JUPILLE B,DD - DIVISION 2 B,
415326,2026-04-12,11:00,HENRI-CHAPELLE B,AVENIR JUPILLE B,DD - DIVISION 2 B,
415332,2026-04-18,19:00,AVENIR JUPILLE B,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
404293,2026-03-22,17:00,AVENIR JUPILLE A,FLERON BBC B,MM - DIVISION 3 A,
404303,2026-03-29,15:00,ROYALE US AWANS A,AVENIR JUPILLE A,MM - DIVISION 3 A,
404313,2026-04-04,21:00,AVENIR JUPILLE A,BC BELLEFLAMME E,MM - DIVISION 3 A,
404325,2026-04-11,20:30,RB UNION LIEGE B,AVENIR JUPILLE A,MM - DIVISION 3 A,
404333,2026-04-18,21:00,AVENIR JUPILLE A,ROYAL BC WANZE C,MM - DIVISION 3 A,
411293,2026-03-21,17:00,AVENIR JUPILLE B,RBC AUBEL,MM - DIVISION 4 E,
411303,2026-03-28,18:00,R.UN.BELLAIRE B,AVENIR JUPILLE B,MM - DIVISION 4 E,
411313,2026-04-04,17:00,AVENIR JUPILLE B,BC REVEIL B,MM - DIVISION 4 E,
411325,2026-04-11,17:00,R 4A AYWAILLE-HAMOIR D,AVENIR JUPILLE B,MM - DIVISION 4 E,
411333,2026-04-18,17:00,AVENIR JUPILLE B,MAIL. COMBLAIN C,MM - DIVISION 4 E,
