Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
405016,2026-09-05,17:00,ALL. FLEMALLE B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405027,2026-09-12,20:30,RB UNION LIEGE B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405035,2026-09-20,13:30,RJS GRIVEGNEE,ROYAL BC WANZE B,MM - DIVISION 3 B,
405055,2026-10-04,13:30,RJS GRIVEGNEE,RBC VISE C,MM - DIVISION 3 B,
405062,2026-10-10,19:00,LA VILLERSOISE B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405075,2026-10-18,13:30,RJS GRIVEGNEE,AVENIR JUPILLE A,MM - DIVISION 3 B,
405083,2026-10-24,21:00,BC COINTE B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405105,2026-11-08,13:30,RJS GRIVEGNEE,BC SPRIMONT D,MM - DIVISION 3 B,
405116,2026-11-14,21:00,R HT-PRE OUGREE A,RJS GRIVEGNEE,MM - DIVISION 3 B,
405125,2026-11-22,13:30,RJS GRIVEGNEE,RBC BLEGNY B,MM - DIVISION 3 B,
405142,2026-12-05,17:00,HANNUT BC B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405153,2026-12-12,21:00,HARIMALIA BC C,RJS GRIVEGNEE,MM - DIVISION 3 B,
405165,2026-12-20,13:30,RJS GRIVEGNEE,ROYALE US AWANS A,MM - DIVISION 3 B,
405194,2027-01-10,15:00,ROYAL BC WANZE B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405205,2027-01-17,13:30,RJS GRIVEGNEE,ALL. FLEMALLE B,MM - DIVISION 3 B,
405214,2027-01-23,21:00,AVENIR JUPILLE A,RJS GRIVEGNEE,MM - DIVISION 3 B,
405225,2027-01-31,13:30,RJS GRIVEGNEE,RB UNION LIEGE B,MM - DIVISION 3 B,
405241,2027-02-13,21:00,RBC VISE C,RJS GRIVEGNEE,MM - DIVISION 3 B,
405255,2027-02-21,13:30,RJS GRIVEGNEE,R HT-PRE OUGREE A,MM - DIVISION 3 B,
405275,2027-03-07,13:30,RJS GRIVEGNEE,HANNUT BC B,MM - DIVISION 3 B,
405285,2027-03-12,20:00,RBC BLEGNY B,RJS GRIVEGNEE,MM - DIVISION 3 B,
405297,2027-03-20,21:00,BC SPRIMONT D,RJS GRIVEGNEE,MM - DIVISION 3 B,
405305,2027-03-28,13:30,RJS GRIVEGNEE,LA VILLERSOISE B,MM - DIVISION 3 B,
405321,2027-04-11,15:00,ROYALE US AWANS A,RJS GRIVEGNEE,MM - DIVISION 3 B,
405335,2027-04-18,13:30,RJS GRIVEGNEE,HARIMALIA BC C,MM - DIVISION 3 B,
405345,2027-04-25,13:30,RJS GRIVEGNEE,BC COINTE B,MM - DIVISION 3 B,
507015,2026-09-05,16:00,R HT-PRE OUGREE,RJS GRIVEGNEE,U 12 - MM H,
507026,2026-09-12,13:00,GIANTS BRAIVES C,RJS GRIVEGNEE,U 12 - MM H,
507035,2026-09-20,9:30,RJS GRIVEGNEE,BC VERLAINE B,U 12 - MM H,
507055,2026-10-04,9:30,RJS GRIVEGNEE,R REN. MONTEGNEE B,U 12 - MM H,
507062,2026-10-10,9:00,RBC ALLEUR D,RJS GRIVEGNEE,U 12 - MM H,
507105,2026-11-08,9:30,RJS GRIVEGNEE,HARIMALIA BC B,U 12 - MM H,
507116,2026-11-14,13:00,R 4A AYWAILLE-HAMOIR,RJS GRIVEGNEE,U 12 - MM H,(ho Hamoir rue du mouli
507143,2026-12-05,9:00,UN HUY BASKET C,RJS GRIVEGNEE,U 12 - MM H,
507163,2026-12-19,9:00,LA VILLERSOISE C,RJS GRIVEGNEE,U 12 - MM H,
507194,2027-01-09,13:00,BC VERLAINE B,RJS GRIVEGNEE,U 12 - MM H,
507205,2027-01-17,9:30,RJS GRIVEGNEE,R HT-PRE OUGREE,U 12 - MM H,
507225,2027-01-31,9:30,RJS GRIVEGNEE,GIANTS BRAIVES C,U 12 - MM H,
507235,2027-02-07,9:30,RJS GRIVEGNEE,R 4A AYWAILLE-HAMOIR,U 12 - MM H,
507241,2027-02-14,15:00,R REN. MONTEGNEE B,RJS GRIVEGNEE,U 12 - MM H,
507285,2027-03-14,9:30,RJS GRIVEGNEE,LA VILLERSOISE C,U 12 - MM H,
507292,2027-03-21,9:00,HARIMALIA BC B,RJS GRIVEGNEE,U 12 - MM H,
507305,2027-03-28,9:30,RJS GRIVEGNEE,RBC ALLEUR D,U 12 - MM H,
507335,2027-04-18,9:30,RJS GRIVEGNEE,UN HUY BASKET C,U 12 - MM H,
490015,2026-09-05,17:00,CRISTAL SGH B,RJS GRIVEGNEE,U 14 - PROV MM A,
490026,2026-09-12,13:00,ALL. FLEMALLE B,RJS GRIVEGNEE,U 14 - PROV MM A,
490035,2026-09-20,11:30,RJS GRIVEGNEE,VAIL. JUPILLE,U 14 - PROV MM A,
490105,2026-11-08,11:30,RJS GRIVEGNEE,HARIMALIA BC,U 14 - PROV MM A,
490116,2026-11-14,15:00,RABC ENSIVAL B,RJS GRIVEGNEE,U 14 - PROV MM A,
490125,2026-11-22,11:30,RJS GRIVEGNEE,ROYAL SPA BC,U 14 - PROV MM A,
490143,2026-12-05,13:00,PEPINSTER EAST BELG B,RJS GRIVEGNEE,U 14 - PROV MM A,
490155,2026-12-13,11:30,RJS GRIVEGNEE,ABC WAREMME B,U 14 - PROV MM A,
490163,2026-12-20,15:00,THEUX BC,RJS GRIVEGNEE,U 14 - PROV MM A,
490194,2027-01-09,13:00,VAIL. JUPILLE,RJS GRIVEGNEE,U 14 - PROV MM A,
490205,2027-01-17,11:30,RJS GRIVEGNEE,CRISTAL SGH B,U 14 - PROV MM A,
490214,2027-01-23,11:00,ABC WAREMME B,RJS GRIVEGNEE,U 14 - PROV MM A,
490225,2027-01-31,11:30,RJS GRIVEGNEE,ALL. FLEMALLE B,U 14 - PROV MM A,
490235,2027-02-07,11:30,RJS GRIVEGNEE,RABC ENSIVAL B,U 14 - PROV MM A,
490285,2027-03-14,11:30,RJS GRIVEGNEE,THEUX BC,U 14 - PROV MM A,
490292,2027-03-21,11:00,HARIMALIA BC,RJS GRIVEGNEE,U 14 - PROV MM A,
490321,2027-04-10,13:45,ROYAL SPA BC,RJS GRIVEGNEE,U 14 - PROV MM A,
490335,2027-04-18,11:30,RJS GRIVEGNEE,PEPINSTER EAST BELG B,U 14 - PROV MM A,
