Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401292,2026-03-22,13:00,THEUX BC A,ESL UNITED C,MM - DIVISION 1,
401305,2026-03-28,18:30,RB UNION LIEGE A,THEUX BC A,MM - DIVISION 1,
401312,2026-04-05,13:00,THEUX BC A,ALL. FLEMALLE A,MM - DIVISION 1,
401326,2026-04-11,20:00,MAIL. COMBLAIN B,THEUX BC A,MM - DIVISION 1,
401332,2026-04-19,13:00,THEUX BC A,RABC ENSIVAL A,MM - DIVISION 1,
406292,2026-03-22,11:00,THEUX BC B,BBC EUPEN,MM - DIVISION 3 C,
406305,2026-03-28,19:00,CRISTAL SGH B,THEUX BC B,MM - DIVISION 3 C,(Site des 18 Bonniers)
406312,2026-04-05,11:00,THEUX BC B,RBC VISE C,MM - DIVISION 3 C,
406326,2026-04-10,21:00,BC REVEIL A,THEUX BC B,MM - DIVISION 3 C,
406332,2026-04-19,11:00,THEUX BC B,RBC STAVELOT B,MM - DIVISION 3 C,
407292,2026-03-22,15:00,THEUX BC C,ROYAL BC NINANE D,MM - DIVISION 4 A,
407305,2026-03-29,11:00,BC VERLAINE,THEUX BC C,MM - DIVISION 4 A,
407312,2026-04-05,15:00,THEUX BC C,LA VILLERSOISE C,MM - DIVISION 4 A,
407326,2026-04-11,21:00,GIANTS BRAIVES A,THEUX BC C,MM - DIVISION 4 A,
407332,2026-04-19,15:00,THEUX BC C,RSW LIEGE BASKET C,MM - DIVISION 4 A,
408292,2026-03-22,17:00,THEUX BC D,CRISTAL SGH D,MM - DIVISION 4 B,
408305,2026-03-28,21:00,R HT-PRE OUGREE A,THEUX BC D,MM - DIVISION 4 B,
408312,2026-04-05,17:00,THEUX BC D,ALL. FLEMALLE D,MM - DIVISION 4 B,
408326,2026-04-12,16:00,ROYAL BC NINANE F,THEUX BC D,MM - DIVISION 4 B,(Vaux/Chèvremont)
408332,2026-04-19,17:00,THEUX BC D,PEPINSTER EAST BELG D,MM - DIVISION 4 B,
524292,2026-03-22,9:00,THEUX BC B,BBC EUPEN,U 10 - MM E,
524191,2026-04-04,11:00,ROYAL HERVE-BATTICE D,THEUX BC B,U 10 - MM E,
524322,2026-04-11,10:30,RBC STAVELOT B,THEUX BC B,U 10 - MM E,
524332,2026-04-19,9:00,THEUX BC B,DF BC MALMEDY,U 10 - MM E,
525292,2026-03-22,15:00,THEUX BC A,ATLAS A JUPILLE A,U 10 - MM F,
525322,2026-04-11,9:00,ROYAL SPA BC A,THEUX BC A,U 10 - MM F,
525332,2026-04-19,15:00,THEUX BC A,BC BELLEFLAMME C,U 10 - MM F,
500292,2026-03-21,11:00,THEUX BC B,RBC AUBEL,U 12 - MM A,
500304,2026-03-28,11:30,BC COINTE A,THEUX BC B,U 12 - MM A,
500332,2026-04-18,11:00,THEUX BC B,RBC VISE A,U 12 - MM A,
504292,2026-03-21,9:00,THEUX BC A,ROYAL BC NINANE B,U 12 - MM E,
504304,2026-03-28,12:00,BC BELLEFLAMME C,THEUX BC A,U 12 - MM E,
504322,2026-04-11,10:30,RBC STAVELOT A,THEUX BC A,U 12 - MM E,
504232,2026-04-12,9:00,THEUX BC A,RBC AUBEL B,U 12 - MM E,
480292,2026-03-22,17:00,THEUX BC A,RBC ALLEUR,U 14 - ELITES MM A,
480304,2026-04-04,13:00,COLLEGE S LOUIS A,THEUX BC A,U 14 - ELITES MM A,
490292,2026-03-21,11:00,THEUX BC B,BBC EUPEN,U 14 - PROV MM A,
490304,2026-03-28,12:30,PRAYON TROOZ,THEUX BC B,U 14 - PROV MM A,
490322,2026-04-11,14:30,RBC STAVELOT,THEUX BC B,U 14 - PROV MM A,
471303,2026-03-28,9:00,THEUX BC,HANNUT BC,U 16 - PROV MM B,
471323,2026-04-11,9:00,THEUX BC,HARIMALIA BC B,U 16 - PROV MM B,
471332,2026-04-18,15:00,RBC BLEGNY,THEUX BC,U 16 - PROV MM B,
430292,2026-03-22,13:00,THEUX BC,BBC EUPEN A,U 18 - ELITES MM A,
430322,2026-04-11,17:00,BC BELLEFLAMME A,THEUX BC,U 18 - ELITES MM A,
430332,2026-04-18,11:00,THEUX BC,RSW LIEGE BASKET B,U 18 - ELITES MM A,
420302,2026-03-28,11:00,THEUX BC,HARIMALIA BC,U 21 - MM A,
420322,2026-04-11,11:00,THEUX BC,BC BELLEFLAMME,U 21 - MM A,
420142,2026-04-19,11:00,THEUX BC,BBC EUPEN,U 21 - MM A,
550292,2026-03-21,9:00,THEUX BC,ALL. FLEMALLE B,U 7 - MM A,
550304,2026-03-28,9:00,RBC ESNEUX,THEUX BC,U 7 - MM A,
550322,2026-04-11,9:00,PEPINSTER EAST BELG A,THEUX BC,U 7 - MM A,
550332,2026-04-19,9:00,THEUX BC,BC VERVIERS,U 7 - MM A,
540322,2026-04-11,9:00,RBC STAVELOT,THEUX BC,U 8 - MM A,
540332,2026-04-19,9:00,THEUX BC,R.UN.BELLAIRE,U 8 - MM A,
