Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401327,2026-04-11,20:30,HENRI-CHAPELLE A,HARIMALIA BC A,MM - DIVISION 1,
401331,2026-04-19,13:00,HARIMALIA BC A,RB UNION LIEGE A,MM - DIVISION 1,
402327,2026-04-12,11:00,RBC ALLEUR C,HARIMALIA BC C,MM - DIVISION 2 A,
402331,2026-04-19,17:00,HARIMALIA BC C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
403327,2026-04-10,20:30,RBC ALLEUR B,HARIMALIA BC B,MM - DIVISION 2 B,
403331,2026-04-19,15:00,HARIMALIA BC B,RB TILFF B,MM - DIVISION 2 B,
405327,2026-04-11,20:30,BCM HERSTAL A,HARIMALIA BC D,MM - DIVISION 3 B,
405331,2026-04-18,19:00,HARIMALIA BC D,CRISTAL SGH C,MM - DIVISION 3 B,
409327,2026-04-11,17:00,ABC WAREMME C,HARIMALIA BC F,MM - DIVISION 4 C,
409331,2026-04-18,17:00,HARIMALIA BC F,RBC DISON-ANDRIMONT C,MM - DIVISION 4 C,
410327,2026-04-11,18:30,BCM HERSTAL C,HARIMALIA BC E,MM - DIVISION 4 D,
410331,2026-04-18,21:00,HARIMALIA BC E,RB TILFF D,MM - DIVISION 4 D,
526326,2026-04-11,15:00,R 4A AYWAILLE-HAMOIR B,HARIMALIA BC B,U 10 - MM G,(Hall de Hamoir)
526331,2026-04-19,9:00,HARIMALIA BC B,RB TILFF B,U 10 - MM G,
504326,2026-04-11,9:00,ROYAL BC NINANE B,HARIMALIA BC A,U 12 - MM E,
504331,2026-04-18,13:00,HARIMALIA BC A,CRISTAL SGH C,U 12 - MM E,
505326,2026-04-11,14:30,R HT-PRE OUGREE B,HARIMALIA BC B,U 12 - MM F,
505331,2026-04-19,9:00,HARIMALIA BC B,ROYAL MOSA AC 1941 B,U 12 - MM F,
481326,2026-04-11,11:00,ROYAL BC NINANE A,HARIMALIA BC A,U 14 - ELITES MM B,
481331,2026-04-19,15:00,HARIMALIA BC A,CRISTAL SGH A,U 14 - ELITES MM B,
493326,2026-04-11,15:00,HANNUT BC,HARIMALIA BC B,U 14 - PROV MM D,
451326,2026-04-11,11:00,COLLEGE S LOUIS A,HARIMALIA BC A,U 16 - ELITES MM B,
451331,2026-04-19,11:00,HARIMALIA BC A,R 4A AYWAILLE-HAMOIR,U 16 - ELITES MM B,
471323,2026-04-11,9:00,THEUX BC,HARIMALIA BC B,U 16 - PROV MM B,
471333,2026-04-19,17:00,HARIMALIA BC B,RBC STAVELOT,U 16 - PROV MM B,
420331,2026-04-19,11:00,HENRI-CHAPELLE,HARIMALIA BC,U 21 - MM A,
552321,2026-04-11,13:00,HARIMALIA BC,ROYAL BC WANZE,U 7 - MM C,
552335,2026-04-18,9:30,CRISTAL SGH A,HARIMALIA BC,U 7 - MM C,
541321,2026-04-11,13:00,HARIMALIA BC,BC VERVIERS,U 8 - MM B,
541335,2026-04-19,13:00,FLERON BBC,HARIMALIA BC,U 8 - MM B,
