Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
418333,2026-04-19,15:00,ETOILE JUPILLE,MAIL. COMBLAIN,DD - DIVISION 3 C,
401325,2026-04-11,18:30,RB UNION LIEGE A,ETOILE JUPILLE A,MM - DIVISION 1,
401333,2026-04-17,21:00,ETOILE JUPILLE A,MAIL. COMBLAIN B,MM - DIVISION 1,
407325,2026-04-12,11:00,BC VERLAINE,ETOILE JUPILLE B,MM - DIVISION 4 A,
407333,2026-04-17,19:00,ETOILE JUPILLE B,GIANTS BRAIVES A,MM - DIVISION 4 A,
409325,2026-04-12,13:00,RBC DISON-ANDRIMONT C,ETOILE JUPILLE C,MM - DIVISION 4 C,
409333,2026-04-19,13:00,ETOILE JUPILLE C,ROYAL BC NINANE E,MM - DIVISION 4 C,
521333,2026-04-18,11:00,ETOILE JUPILLE,BC SPRIMONT A,U 10 - MM B,
503323,2026-04-12,13:00,ALL. FLEMALLE A,ETOILE JUPILLE,U 12 - MM D,
503333,2026-04-18,13:00,ETOILE JUPILLE,BC SPRIMONT A,U 12 - MM D,
