Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
416224,2026-02-01,14:00,RBC ESNEUX C,BCM HERSTAL,DD - DIVISION 3 A,
416191,2026-02-08,15:00,LA VILLERSOISE B,BCM HERSTAL,DD - DIVISION 3 A,
416242,2026-02-14,18:30,BCM HERSTAL,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416052,2026-02-28,18:30,BCM HERSTAL,RBC ESNEUX C,DD - DIVISION 3 A,
416272,2026-03-08,12:00,BCM HERSTAL,CS OUTREMEUSE,DD - DIVISION 3 A,
416212,2026-03-14,18:30,BCM HERSTAL,ROYAL HERVE-BATTICE D,DD - DIVISION 3 A,
416152,2026-03-25,20:00,BCM HERSTAL,ROYAL BC WANZE,DD - DIVISION 3 A,
416305,2026-03-28,17:00,CRISTAL SGH B,BCM HERSTAL,DD - DIVISION 3 A,
416326,2026-04-12,13:00,ROYAL BC WANZE,BCM HERSTAL,DD - DIVISION 3 A,
405226,2026-01-31,19:00,RBC DISON-ANDRIMONT B,BCM HERSTAL A,MM - DIVISION 3 B,
405247,2026-02-14,20:30,BCM HERSTAL A,RBC BLEGNY B,MM - DIVISION 3 B,
405264,2026-02-28,20:30,BCM HERSTAL A,RBC HANEFFE B,MM - DIVISION 3 B,
405277,2026-03-07,20:30,BCM HERSTAL A,CRISTAL SGH C,MM - DIVISION 3 B,
405197,2026-03-11,20:00,BCM HERSTAL A,BC OLNE,MM - DIVISION 3 B,
405217,2026-03-14,20:30,BCM HERSTAL A,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 B,
405297,2026-03-21,20:30,BCM HERSTAL A,LA VILLERSOISE B,MM - DIVISION 3 B,
405306,2026-03-28,17:00,ROYAL BC NINANE C,BCM HERSTAL A,MM - DIVISION 3 B,(Vaux/Chèvremont)
405317,2026-04-04,20:30,BCM HERSTAL A,BC SPRIMONT D,MM - DIVISION 3 B,
405327,2026-04-11,20:30,BCM HERSTAL A,HARIMALIA BC D,MM - DIVISION 3 B,
405334,2026-04-19,15:00,BC BELLEFLAMME D,BCM HERSTAL A,MM - DIVISION 3 B,
408226,2026-01-31,19:00,CRISTAL SGH D,BCM HERSTAL B,MM - DIVISION 4 B,
408067,2026-02-14,17:00,HANNUT BC C,BCM HERSTAL B,MM - DIVISION 4 B,
408077,2026-02-23,20:00,BCM HERSTAL B,RBC AWANS B,MM - DIVISION 4 B,
408264,2026-03-01,14:30,CS OUTREMEUSE,BCM HERSTAL B,MM - DIVISION 4 B,
408277,2026-03-08,10:00,BCM HERSTAL B,R HT-PRE OUGREE A,MM - DIVISION 4 B,
408217,2026-03-15,10:00,BCM HERSTAL B,ROYAL HERVE-BATTICE C,MM - DIVISION 4 B,
408297,2026-03-22,10:00,BCM HERSTAL B,ALL. FLEMALLE D,MM - DIVISION 4 B,
408306,2026-03-29,16:00,ROYAL BC NINANE F,BCM HERSTAL B,MM - DIVISION 4 B,(Vaux/Chèvremont)
408317,2026-04-05,10:00,BCM HERSTAL B,PEPINSTER EAST BELG D,MM - DIVISION 4 B,
408334,2026-04-19,10:00,BCM HERSTAL B,PRAYON TROOZ B,MM - DIVISION 4 B,
410226,2026-01-31,21:00,R HT-PRE OUGREE B,BCM HERSTAL C,MM - DIVISION 4 D,
410247,2026-02-14,18:30,BCM HERSTAL C,ORP JAUCHE B,MM - DIVISION 4 D,
410117,2026-02-21,18:30,BCM HERSTAL C,ALL. FLEMALLE E,MM - DIVISION 4 D,
410264,2026-03-01,9:00,ALL. FLEMALLE E,BCM HERSTAL C,MM - DIVISION 4 D,
410217,2026-03-14,18:30,BCM HERSTAL C,CRISTAL SGH E,MM - DIVISION 4 D,
410197,2026-03-18,21:00,BCM HERSTAL C,ROYAL ANS BC A,MM - DIVISION 4 D,
410297,2026-03-21,18:30,BCM HERSTAL C,BC TORES LIEGE,MM - DIVISION 4 D,
410277,2026-03-25,21:00,BCM HERSTAL C,RB TILFF D,MM - DIVISION 4 D,
410306,2026-03-28,19:00,GIANTS BRAIVES B,BCM HERSTAL C,MM - DIVISION 4 D,
410317,2026-04-04,18:30,BCM HERSTAL C,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410327,2026-04-11,18:30,BCM HERSTAL C,HARIMALIA BC E,MM - DIVISION 4 D,
410334,2026-04-18,19:00,BC COINTE D,BCM HERSTAL C,MM - DIVISION 4 D,
526226,2026-01-31,15:00,R 4A AYWAILLE-HAMOIR B,BCM HERSTAL,U 10 - MM G,(Hall de Hamoir)
526196,2026-02-14,9:00,ROYAL BC NINANE B,BCM HERSTAL,U 10 - MM G,
526264,2026-02-28,9:00,BCM HERSTAL,CRISTAL SGH F,U 10 - MM G,
526273,2026-03-14,9:00,BCM HERSTAL,ALL. FLEMALLE D,U 10 - MM G,
526293,2026-03-21,9:00,BCM HERSTAL,RBC AUBEL B,U 10 - MM G,
526305,2026-03-28,14:00,RB TILFF B,BCM HERSTAL,U 10 - MM G,
526233,2026-04-18,9:00,BCM HERSTAL,PRAYON TROOZ A,U 10 - MM G,
505226,2026-01-31,14:30,R HT-PRE OUGREE B,BCM HERSTAL A,U 12 - MM F,
505233,2026-02-14,10:30,BCM HERSTAL A,PRAYON TROOZ B,U 12 - MM F,
505293,2026-03-21,10:30,BCM HERSTAL A,RBC DISON-ANDRIMONT B,U 12 - MM F,
505305,2026-03-28,9:30,ROYAL MOSA AC 1941 B,BCM HERSTAL A,U 12 - MM F,
505273,2026-04-04,10:30,BCM HERSTAL A,HENRI-CHAPELLE B,U 12 - MM F,
505333,2026-04-18,10:30,BCM HERSTAL A,RABC ENSIVAL A,U 12 - MM F,
506196,2026-02-14,12:00,MAIL. COMBLAIN,BCM HERSTAL B,U 12 - MM G,
506264,2026-02-28,12:00,BC BELLEFLAMME C,BCM HERSTAL B,U 12 - MM G,
506053,2026-03-14,10:30,BCM HERSTAL B,R 4A AYWAILLE-HAMOIR B,U 12 - MM G,
506293,2026-03-21,14:30,BCM HERSTAL B,ROYAL HERVE-BATTICE D,U 12 - MM G,
506273,2026-04-04,10:30,BCM HERSTAL B,HENRI-CHAPELLE C,U 12 - MM G,
506113,2026-04-05,10:00,BCM HERSTAL B,BC BELLEFLAMME C,U 12 - MM G,
600023,2026-02-07,17:00,DF BC MALMEDY,BCM HERSTAL,U 14 - DD A,
600196,2026-02-14,12:30,BCM HERSTAL,DF BC MALMEDY,U 14 - DD A,
600265,2026-02-28,11:00,RBC DISON-ANDRIMONT,BCM HERSTAL,U 14 - DD A,
600116,2026-03-14,12:30,BCM HERSTAL,RBC DISON-ANDRIMONT,U 14 - DD A,
600296,2026-03-21,12:30,BCM HERSTAL,ROYAL SPA BC,U 14 - DD A,
600306,2026-03-28,12:30,BCM HERSTAL,ROYAL HERVE-BATTICE,U 14 - DD A,
600216,2026-04-04,12:30,BCM HERSTAL,CRISTAL SGH,U 14 - DD A,
600236,2026-04-05,14:00,BCM HERSTAL,HENRI-CHAPELLE,U 14 - DD A,
600321,2026-04-11,17:00,RBC BLEGNY,BCM HERSTAL,U 14 - DD A,
600276,2026-04-12,10:00,BCM HERSTAL,PRAYON TROOZ,U 14 - DD A,
493226,2026-01-31,11:00,HANNUT BC,BCM HERSTAL,U 14 - PROV MM D,
493196,2026-02-14,9:00,ORP JAUCHE,BCM HERSTAL,U 14 - PROV MM D,
493264,2026-02-28,10:30,RBC ESNEUX A,BCM HERSTAL,U 14 - PROV MM D,
493053,2026-03-01,10:00,BCM HERSTAL,HANNUT BC,U 14 - PROV MM D,
493113,2026-03-14,12:30,BCM HERSTAL,RBC ESNEUX A,U 14 - PROV MM D,
493273,2026-04-04,12:30,BCM HERSTAL,ALL. FLEMALLE B,U 14 - PROV MM D,
493323,2026-04-11,15:00,RBC AWANS,BCM HERSTAL,U 14 - PROV MM D,
493333,2026-04-18,12:30,BCM HERSTAL,RABC ENSIVAL A,U 14 - PROV MM D,
591056,2026-01-31,9:00,ORP JAUCHE,BCM HERSTAL,U 16 - DD B,
591234,2026-02-07,9:00,LA VILLERSOISE,BCM HERSTAL,U 16 - DD B,
591193,2026-02-14,16:30,BCM HERSTAL,ROYAL BC NINANE,U 16 - DD B,
591263,2026-02-28,10:30,BCM HERSTAL,PRAYON TROOZ,U 16 - DD B,
591103,2026-03-07,14:30,BCM HERSTAL,ALL. FLEMALLE C,U 16 - DD B,
591295,2026-03-21,9:00,ABC WAREMME,BCM HERSTAL,U 16 - DD B,
591303,2026-03-28,14:30,BCM HERSTAL,ALL. FLEMALLE A,U 16 - DD B,
591123,2026-04-04,14:30,BCM HERSTAL,RBC VISE A,U 16 - DD B,
