Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417313,2026-04-04,19:00,RBC AWANS,GIANTS BRAIVES,DD - DIVISION 3 B,
417324,2026-04-11,17:00,GIANTS BRAIVES,RBC HANEFFE D,DD - DIVISION 3 B,
503306,2026-04-04,9:00,GIANTS BRAIVES B,ABC WAREMME D,Forfait visité,
407311,2026-04-04,21:00,RBC VISE D,GIANTS BRAIVES A,MM - DIVISION 4 A,
407326,2026-04-11,21:00,GIANTS BRAIVES A,THEUX BC C,MM - DIVISION 4 A,
407333,2026-04-17,19:00,ETOILE JUPILLE B,GIANTS BRAIVES A,MM - DIVISION 4 A,
410182,2026-04-02,19:30,ROYAL BASKET OTHEE,GIANTS BRAIVES B,MM - DIVISION 4 D,
410311,2026-04-05,11:00,HARIMALIA BC E,GIANTS BRAIVES B,MM - DIVISION 4 D,
410326,2026-04-11,19:00,GIANTS BRAIVES B,UN HUY BASKET B,MM - DIVISION 4 D,
410333,2026-04-18,20:00,ROYAL ANS BC A,GIANTS BRAIVES B,MM - DIVISION 4 D,
521321,2026-04-11,11:00,RBC BLEGNY B,GIANTS BRAIVES A,U 10 - MM B,
529321,2026-04-11,16:30,RBC ALLEUR B,GIANTS BRAIVES B,U 10 - MM J,
529334,2026-04-18,9:00,BC COINTE C,GIANTS BRAIVES B,U 10 - MM J,
530326,2026-04-12,9:00,GIANTS BRAIVES C,RBC ALLEUR A,U 10 - MM K,
530336,2026-04-19,13:00,GIANTS BRAIVES C,RBC HANEFFE A,U 10 - MM K,
502076,2026-04-11,11:00,GIANTS BRAIVES A,ROYAL SPA BC,U 12 - MM C,
502334,2026-04-18,9:00,RBC ESNEUX,GIANTS BRAIVES A,U 12 - MM C,
503306,2026-04-04,9:00,GIANTS BRAIVES B,ABC WAREMME D,U 12 - MM D,
503334,2026-04-18,10:30,LA VILLERSOISE B,GIANTS BRAIVES B,U 12 - MM D,
507292,2026-04-04,11:00,RABC ENSIVAL B,GIANTS BRAIVES C,U 12 - MM H,
507326,2026-04-12,11:00,GIANTS BRAIVES C,RBC ALLEUR A,U 12 - MM H,
507336,2026-04-19,11:00,GIANTS BRAIVES C,RBC HANEFFE,U 12 - MM H,
492326,2026-04-11,13:00,GIANTS BRAIVES,RBC BLEGNY B,U 14 - PROV MM C,
492336,2026-04-18,15:00,GIANTS BRAIVES,ROYAL BC WANZE,U 14 - PROV MM C,
AW167020,2026-04-04,12:45,BBC BRAINOIS,GIANTS BRAIVES,U 14 - SILVER REGIONAUX E,
AW167017,2026-04-11,15:00,GIANTS BRAIVES,R UAA ETTERBEEK,U 14 - SILVER REGIONAUX E,
AW167024,2026-04-18,12:30,FRIENDLY BULLS XL,GIANTS BRAIVES,U 14 - SILVER REGIONAUX E,
450326,2026-04-11,9:00,GIANTS BRAIVES A,RBC VISE A,U 16 - ELITES MM A,
472321,2026-04-11,13:00,ABC WAREMME B,GIANTS BRAIVES,U 16 - PROV MM C,
472334,2026-04-19,12:00,MARCHIN BASKET,GIANTS BRAIVES,U 16 - PROV MM C,
431215,2026-04-04,15:00,R 4A AYWAILLE-HAMOIR,GIANTS BRAIVES,U 18 - ELITES MM B,
431326,2026-04-12,13:00,GIANTS BRAIVES,COLLEGE S LOUIS,U 18 - ELITES MM B,
431336,2026-04-18,11:00,GIANTS BRAIVES,RBC HANEFFE,U 18 - ELITES MM B,
552326,2026-04-12,9:00,GIANTS BRAIVES,RB TILFF B,U 7 - MM C,
552336,2026-04-19,9:00,GIANTS BRAIVES,RBC HANEFFE,U 7 - MM C,
545336,2026-04-19,9:00,GIANTS BRAIVES,RB TILFF A,U 8 - MM F,
