Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414221,2026-02-01,13:00,LA VILLERSOISE A,ABC WAREMME A,DD - DIVISION 2 A,
414246,2026-02-14,19:00,ATLAS A JUPILLE,LA VILLERSOISE A,DD - DIVISION 2 A,
414192,2026-02-22,17:00,LA VILLERSOISE A,RBC STAVELOT,DD - DIVISION 2 A,
414261,2026-03-01,17:00,LA VILLERSOISE A,RBC HANEFFE B,DD - DIVISION 2 A,
414297,2026-03-20,21:00,RBC BLEGNY B,LA VILLERSOISE A,DD - DIVISION 2 A,
414301,2026-03-29,14:00,LA VILLERSOISE A,ROYAL BC NINANE A,DD - DIVISION 2 A,
414312,2026-04-04,19:00,BC SPRIMONT B,LA VILLERSOISE A,DD - DIVISION 2 A,
414321,2026-04-12,17:00,LA VILLERSOISE A,COLLEGE S LOUIS,DD - DIVISION 2 A,
414335,2026-04-19,13:00,LA VILLERSOISE A,PRAYON TROOZ B,DD - DIVISION 2 A,
416225,2026-01-31,17:00,R 4A AYWAILLE-HAMOIR B,LA VILLERSOISE B,DD - DIVISION 3 A,
416191,2026-02-08,15:00,LA VILLERSOISE B,BCM HERSTAL,DD - DIVISION 3 A,
416267,2026-03-13,19:00,RBC BLEGNY C,LA VILLERSOISE B,DD - DIVISION 3 A,
416304,2026-03-29,16:30,CS OUTREMEUSE,LA VILLERSOISE B,DD - DIVISION 3 A,
416311,2026-04-05,15:00,LA VILLERSOISE B,ROYAL BC WANZE,DD - DIVISION 3 A,
416327,2026-04-11,21:00,ABC WAREMME C,LA VILLERSOISE B,DD - DIVISION 3 A,
416331,2026-04-19,15:00,LA VILLERSOISE B,CRISTAL SGH B,DD - DIVISION 3 A,
404225,2026-02-01,13:00,FLERON BBC B,LA VILLERSOISE A,MM - DIVISION 3 A,
404241,2026-02-15,17:00,LA VILLERSOISE A,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
404267,2026-02-28,21:00,HANNUT BC B,LA VILLERSOISE A,MM - DIVISION 3 A,
404271,2026-03-08,17:00,LA VILLERSOISE A,ROYALE US AWANS A,MM - DIVISION 3 A,
404191,2026-03-14,19:00,LA VILLERSOISE A,RJS GRIVEGNEE,MM - DIVISION 3 A,
404291,2026-03-22,17:00,LA VILLERSOISE A,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404304,2026-03-28,19:00,BC BELLEFLAMME E,LA VILLERSOISE A,MM - DIVISION 3 A,
404311,2026-04-05,17:00,LA VILLERSOISE A,ROYAL BC WANZE C,MM - DIVISION 3 A,
404327,2026-04-11,18:30,HENRI-CHAPELLE B,LA VILLERSOISE A,MM - DIVISION 3 A,
404331,2026-04-19,17:00,LA VILLERSOISE A,RB UNION LIEGE B,MM - DIVISION 3 A,
405221,2026-01-31,19:00,LA VILLERSOISE B,CRISTAL SGH C,MM - DIVISION 3 B,
405246,2026-02-15,13:00,ROYAL BC NINANE C,LA VILLERSOISE B,MM - DIVISION 3 B,(Vaux/Chèvremont)
405192,2026-02-21,17:00,BC SPRIMONT D,LA VILLERSOISE B,MM - DIVISION 3 B,
405261,2026-02-28,19:00,LA VILLERSOISE B,BC BELLEFLAMME D,MM - DIVISION 3 B,
405273,2026-03-05,21:00,BC OLNE,LA VILLERSOISE B,MM - DIVISION 3 B,
405312,2026-03-14,20:00,RABC ENSIVAL B,LA VILLERSOISE B,MM - DIVISION 3 B,
405297,2026-03-21,20:30,BCM HERSTAL A,LA VILLERSOISE B,MM - DIVISION 3 B,
405301,2026-03-28,21:00,LA VILLERSOISE B,RBC DISON-ANDRIMONT B,MM - DIVISION 3 B,
405321,2026-04-11,21:00,LA VILLERSOISE B,RBC BLEGNY B,MM - DIVISION 3 B,
405335,2026-04-18,19:00,R 4A AYWAILLE-HAMOIR A,LA VILLERSOISE B,MM - DIVISION 3 B,
407221,2026-01-31,21:00,LA VILLERSOISE C,BC VERLAINE,MM - DIVISION 4 A,
407246,2026-02-14,21:00,GIANTS BRAIVES A,LA VILLERSOISE C,MM - DIVISION 4 A,
