Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
416264,2026-03-01,16:30,CS OUTREMEUSE,ABC WAREMME C,DD - DIVISION 3 A,
416272,2026-03-08,12:00,BCM HERSTAL,CS OUTREMEUSE,DD - DIVISION 3 A,
416296,2026-03-22,13:00,ROYAL BC WANZE,CS OUTREMEUSE,DD - DIVISION 3 A,
416304,2026-03-29,16:30,CS OUTREMEUSE,LA VILLERSOISE B,DD - DIVISION 3 A,
416313,2026-04-05,13:00,ROYAL HERVE-BATTICE D,CS OUTREMEUSE,DD - DIVISION 3 A,
416324,2026-04-12,16:30,CS OUTREMEUSE,RBC ESNEUX C,DD - DIVISION 3 A,
416337,2026-04-18,21:00,RBC BLEGNY C,CS OUTREMEUSE,DD - DIVISION 3 A,
408244,2026-02-15,14:30,CS OUTREMEUSE,RBC AWANS B,MM - DIVISION 4 B,
408264,2026-03-01,14:30,CS OUTREMEUSE,BCM HERSTAL B,MM - DIVISION 4 B,
408272,2026-03-07,19:00,THEUX BC D,CS OUTREMEUSE,MM - DIVISION 4 B,
408296,2026-03-22,16:00,ROYAL BC NINANE F,CS OUTREMEUSE,MM - DIVISION 4 B,(Vaux/Chèvremont)
408313,2026-04-05,17:00,ROYAL ANS BC B,CS OUTREMEUSE,MM - DIVISION 4 B,
408324,2026-04-12,14:30,CS OUTREMEUSE,PRAYON TROOZ B,MM - DIVISION 4 B,
408337,2026-04-18,17:00,HANNUT BC C,CS OUTREMEUSE,MM - DIVISION 4 B,
