Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
418185,2026-04-04,17:00,DF BC MALMEDY,PRAYON TROOZ C,DD - DIVISION 3 C,
418293,2026-04-05,15:00,ETOILE JUPILLE,DF BC MALMEDY,DD - DIVISION 3 C,
418145,2026-04-11,17:00,DF BC MALMEDY,ETOILE JUPILLE,DD - DIVISION 3 C,
411301,2026-03-29,13:00,ROYAL SPA BC E,DF BC MALMEDY,MM - DIVISION 4 E,
411316,2026-04-04,19:00,DF BC MALMEDY,RBC BLEGNY C,MM - DIVISION 4 E,
411322,2026-04-11,19:00,RBC STAVELOT C,DF BC MALMEDY,MM - DIVISION 4 E,
524303,2026-03-28,13:00,DF BC MALMEDY,RBC AUBEL A,U 10 - MM E,
524332,2026-04-19,9:00,THEUX BC B,DF BC MALMEDY,U 10 - MM E,
504305,2026-03-28,13:00,CRISTAL SGH C,DF BC MALMEDY,U 12 - MM E,
504333,2026-04-04,13:00,DF BC MALMEDY,RBC STAVELOT A,U 12 - MM E,
600305,2026-03-28,11:00,RBC DISON-ANDRIMONT,DF BC MALMEDY,U 14 - DD A,
600011,2026-04-05,15:00,ROYAL HERVE-BATTICE,DF BC MALMEDY,U 14 - DD A,
490333,2026-04-04,15:00,DF BC MALMEDY,RBC STAVELOT,U 14 - PROV MM A,
490023,2026-04-11,13:00,DF BC MALMEDY,ATLAS A JUPILLE B,U 14 - PROV MM A,
470303,2026-03-28,15:00,DF BC MALMEDY,BBC EUPEN,U 16 - PROV MM A,
470323,2026-04-11,15:00,DF BC MALMEDY,BCM HERSTAL,U 16 - PROV MM A,
470332,2026-04-19,11:00,PEPINSTER EAST BELG B,DF BC MALMEDY,U 16 - PROV MM A,
