Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
774117,2026-02-08,10:00,BC VERLAINE,HENRI-CHAPELLE,CPE PROV PUPILLES DD,(Salle de Grivegnée)
415215,2026-01-24,20:45,BC VERLAINE A,RBC ALLEUR D,DD - DIVISION 2 B,
415221,2026-01-30,20:15,R.UN.BELLAIRE B,BC VERLAINE A,DD - DIVISION 2 B,
415195,2026-02-07,20:45,BC VERLAINE A,ROYAL BC NINANE B,DD - DIVISION 2 B,
415245,2026-02-11,19:30,BC VERLAINE A,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415265,2026-02-28,20:45,BC VERLAINE A,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415277,2026-03-07,20:00,ABC WAREMME B,BC VERLAINE A,DD - DIVISION 2 B,
415295,2026-03-21,21:00,BC VERLAINE A,VAIL. JUPILLE,DD - DIVISION 2 B,
415305,2026-03-28,20:45,BC VERLAINE A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415315,2026-04-05,17:00,CRISTAL SGH A,BC VERLAINE A,DD - DIVISION 2 B,
415325,2026-04-11,20:45,BC VERLAINE A,ROYAL ANS BC,DD - DIVISION 2 B,
415331,2026-04-18,21:00,RBC VISE A,BC VERLAINE A,DD - DIVISION 2 B,(Salle de Fourons)
417184,2026-02-05,19:00,GIANTS BRAIVES,BC VERLAINE B,DD - DIVISION 3 B,
417265,2026-02-28,18:45,BC VERLAINE B,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417277,2026-03-07,17:00,ORP JAUCHE,BC VERLAINE B,DD - DIVISION 3 B,
417305,2026-03-22,17:00,BC VERLAINE B,UN HUY BASKET C,DD - DIVISION 3 B,
417315,2026-04-01,19:00,REBOND NEUVILLE,BC VERLAINE B,DD - DIVISION 3 B,
417245,2026-04-04,18:45,BC VERLAINE B,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417325,2026-04-11,18:45,BC VERLAINE B,RBC AWANS,DD - DIVISION 3 B,
417331,2026-04-19,13:00,ALL. FLEMALLE B,BC VERLAINE B,DD - DIVISION 3 B,
407215,2026-01-25,11:00,BC VERLAINE,ORP JAUCHE A,MM - DIVISION 4 A,
407221,2026-01-31,21:00,LA VILLERSOISE C,BC VERLAINE,MM - DIVISION 4 A,
407245,2026-02-15,11:00,BC VERLAINE,RSW LIEGE BASKET C,MM - DIVISION 4 A,
407184,2026-02-21,21:00,RBC DISON-ANDRIMONT D,BC VERLAINE,MM - DIVISION 4 A,
407265,2026-03-01,11:00,BC VERLAINE,GIANTS BRAIVES A,MM - DIVISION 4 A,
407277,2026-03-06,20:30,RBC ALLEUR D,BC VERLAINE,MM - DIVISION 4 A,
407331,2026-03-14,21:00,RBC VISE D,BC VERLAINE,MM - DIVISION 4 A,
407295,2026-03-22,11:00,BC VERLAINE,VAIL. JUPILLE C,MM - DIVISION 4 A,
407305,2026-03-29,11:00,BC VERLAINE,THEUX BC C,MM - DIVISION 4 A,
