Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW248030,2026-01-31,13:30,PDL CHARLEROI A,EAST BELGIUM BCA,COUPE AWBB U14 - FILLES,(Salle Waremme)
AW247061,2026-01-31,15:30,EAST BELGIUM BCA B,ROYAL BC CINEY A,COUPE AWBB U16 - FILLES,(Salle Waremme)
AW179012,2026-02-08,15:30,LADIES CHARLEROI,EAST BELGIUM BCA,U 14 - GOLD REGIONALES A,
AW179013,2026-02-14,13:00,EAST BELGIUM BCA,ROYAL BC CINEY,U 14 - GOLD REGIONALES A,
AW179029,2026-03-07,15:45,ROYAL BC CINEY,EAST BELGIUM BCA,U 14 - GOLD REGIONALES A,
AW179025,2026-03-15,13:00,EAST BELGIUM BCA,LADIES CHARLEROI,U 14 - GOLD REGIONALES A,
AW179019,2026-03-21,13:00,EAST BELGIUM BCA,MONS CAPITALE,U 14 - GOLD REGIONALES A,
AW179001,2026-03-28,15:00,EAST BELGIUM BCA,RCS NATOYE,U 14 - GOLD REGIONALES A,
AW179017,2026-04-11,9:30,RCS NATOYE,EAST BELGIUM BCA,U 14 - GOLD REGIONALES A,
AW179007,2026-04-18,13:00,EAST BELGIUM BCA,TOURNAI WAPITI,U 14 - GOLD REGIONALES A,
AW167004,2026-02-01,13:00,EAST BELGIUM BCA,R EXC BRUXELLES,U 14 - SILVER REGIONAUX E,
AW167010,2026-02-08,13:00,EAST BELGIUM BCA,GIANTS BRAIVES,U 14 - SILVER REGIONAUX E,
AW167028,2026-03-08,13:00,EAST BELGIUM BCA,FRIENDLY BULLS XL,U 14 - SILVER REGIONAUX E,
AW167026,2026-03-14,13:00,GIANTS BRAIVES,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
AW167021,2026-04-04,11:00,R EXC BRUXELLES,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
AW167016,2026-04-12,13:00,EAST BELGIUM BCA,BBC BRAINOIS,U 14 - SILVER REGIONAUX E,
AW167007,2026-04-19,11:00,R UAA ETTERBEEK,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
AW167015,2026-04-26,11:30,FRIENDLY BULLS XL,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
ING1412AEB,2026-01-31,12:30,EAST BELGIUM BCA,UCCLE EUROPE,U 14 MM - NATIONAUX A,
ING1412ADE,2026-02-01,11:00,BER. BLANKENBERGE,EAST BELGIUM BCA,U 14 MM - NATIONAUX A,
ING1412ACE,2026-02-07,14:30,GEMBO BORGERHOUT,EAST BELGIUM BCA,U 14 MM - NATIONAUX A,
ING1412ABE,2026-02-21,11:00,UCCLE EUROPE,EAST BELGIUM BCA,U 14 MM - NATIONAUX A,
ING1412AEA,2026-02-28,14:30,EAST BELGIUM BCA,R.B.C. BELGRADE,U 14 MM - NATIONAUX A,
ING1412AEF,2026-03-15,15:00,EAST BELGIUM BCA,BBC FALCO GENT,U 14 MM - NATIONAUX A,
ING1412AED,2026-03-29,15:00,EAST BELGIUM BCA,BER. BLANKENBERGE,U 14 MM - NATIONAUX A,
ING1412AEC,2026-04-12,15:00,EAST BELGIUM BCA,GEMBO BORGERHOUT,U 14 MM - NATIONAUX A,
ING1412AAE,2026-04-18,16:00,R.B.C. BELGRADE,EAST BELGIUM BCA,U 14 MM - NATIONAUX A,
