Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
402242,2026-02-15,17:00,BC SPRIMONT C,FLERON BBC A,MM - DIVISION 2 A,
402266,2026-02-28,19:00,ESL UNITED E,FLERON BBC A,MM - DIVISION 2 A,
402275,2026-03-08,13:00,FLERON BBC A,RBC STAVELOT A,MM - DIVISION 2 A,
402225,2026-03-12,21:00,FLERON BBC A,HARIMALIA BC C,MM - DIVISION 2 A,
402185,2026-03-15,13:00,FLERON BBC A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402293,2026-03-21,21:00,RBC AWANS A,FLERON BBC A,MM - DIVISION 2 A,
402307,2026-03-28,19:00,RBC VISE A,FLERON BBC A,MM - DIVISION 2 A,
402315,2026-04-05,11:00,FLERON BBC A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402323,2026-04-11,21:00,ROYAL SPA BC C,FLERON BBC A,MM - DIVISION 2 A,
402335,2026-04-19,11:00,FLERON BBC A,ABC WAREMME B,MM - DIVISION 2 A,
404242,2026-02-15,12:45,RJS GRIVEGNEE,FLERON BBC B,MM - DIVISION 3 A,
404266,2026-02-28,19:00,R 4A AYWAILLE-HAMOIR C,FLERON BBC B,MM - DIVISION 3 A,(Hall de Hamoir)
404275,2026-03-08,15:00,FLERON BBC B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404185,2026-03-15,11:00,FLERON BBC B,RB TILFF C,MM - DIVISION 3 A,
404293,2026-03-22,17:00,AVENIR JUPILLE A,FLERON BBC B,MM - DIVISION 3 A,
404307,2026-03-28,21:00,HANNUT BC B,FLERON BBC B,MM - DIVISION 3 A,
404315,2026-04-05,13:00,FLERON BBC B,RB UNION LIEGE B,MM - DIVISION 3 A,
404323,2026-04-12,15:00,ROYALE US AWANS A,FLERON BBC B,MM - DIVISION 3 A,
404335,2026-04-19,13:00,FLERON BBC B,ALL. FLEMALLE B,MM - DIVISION 3 A,
520266,2026-03-01,11:00,HENRI-CHAPELLE A,FLERON BBC,U 10 - MM A,
520275,2026-03-08,10:00,FLERON BBC,RBC STAVELOT A,U 10 - MM A,
520065,2026-03-15,10:00,FLERON BBC,PEPINSTER EAST BELG D,U 10 - MM A,
520293,2026-03-21,11:30,RSW LIEGE BASKET,FLERON BBC,U 10 - MM A,
520303,2026-03-28,9:00,BC BELLEFLAMME A,FLERON BBC,U 10 - MM A,
520335,2026-04-19,10:00,FLERON BBC,ROYAL SPA BC C,U 10 - MM A,
507195,2026-02-14,11:00,ABC WAREMME B,FLERON BBC,U 12 - MM H,
507266,2026-03-01,11:00,GIANTS BRAIVES C,FLERON BBC,U 12 - MM H,
507205,2026-03-08,11:30,FLERON BBC,RBC HANEFFE,U 12 - MM H,
507065,2026-03-15,11:30,FLERON BBC,RABC ENSIVAL B,U 12 - MM H,
507293,2026-03-21,12:00,R.UN.BELLAIRE,FLERON BBC,U 12 - MM H,
507325,2026-04-12,11:30,FLERON BBC,RBC ESNEUX B,U 12 - MM H,
507335,2026-04-19,11:30,FLERON BBC,ALL. FLEMALLE E,U 12 - MM H,
541195,2026-02-14,11:15,CRISTAL SGH B,FLERON BBC,U 8 - MM B,
541266,2026-02-28,9:00,ATLAS A JUPILLE,FLERON BBC,U 8 - MM B,
541275,2026-03-08,13:00,FLERON BBC,PEPINSTER EAST BELG A,U 8 - MM B,
541025,2026-03-15,13:00,FLERON BBC,CRISTAL SGH B,U 8 - MM B,
541293,2026-03-21,9:00,BCM HERSTAL,FLERON BBC,U 8 - MM B,
541325,2026-04-12,13:00,FLERON BBC,RBC DISON-ANDRIMONT,U 8 - MM B,
541335,2026-04-19,13:00,FLERON BBC,HARIMALIA BC,U 8 - MM B,
