Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW245033,2026-09-26,15:00,CONDROZ MODAVE BB,ECOLE EUROPEENNE,COUPE AWBB U12 -GARCONS,
AW244042,2026-09-26,9:00,R EXC BRUXELLES,CONDROZ MODAVE BB,COUPE AWBB U14 - GARCONS,
AW243045,2026-09-26,13:00,CONDROZ MODAVE BB B,BC SPRIMONT A,COUPE AWBB U16 - GARCONS,
AW243037,2026-09-27,16:00,BC FRAIRE-PHILIPPEVILLE,CONDROZ MODAVE BB A,COUPE AWBB U16 - GARCONS,
522053,2026-10-03,13:30,CONDROZ MODAVE BB,BC SPRIMONT B,U 10 - MM C,
522064,2026-10-11,9:00,ROYAL BC WANZE A,CONDROZ MODAVE BB,U 10 - MM C,
522101,2026-11-08,9:00,LA VILLERSOISE A,CONDROZ MODAVE BB,U 10 - MM C,
522113,2026-11-14,13:30,CONDROZ MODAVE BB,ABC WAREMME A,U 10 - MM C,
522122,2026-11-21,10:30,BC BELLEFLAMME B,CONDROZ MODAVE BB,U 10 - MM C,
522143,2026-12-05,13:30,CONDROZ MODAVE BB,RB TILFF B,U 10 - MM C,
522153,2026-12-12,13:30,CONDROZ MODAVE BB,ROYAL ANS BC A,U 10 - MM C,
522165,2026-12-19,9:00,BC COINTE A,CONDROZ MODAVE BB,U 10 - MM C,
522206,2027-01-16,10:30,R 4A AYWAILLE-HAMOIR C,CONDROZ MODAVE BB,U 10 - MM C,
522213,2027-01-23,9:00,ROYAL ANS BC A,CONDROZ MODAVE BB,U 10 - MM C,
522222,2027-01-30,10:30,BC CRISNEE,CONDROZ MODAVE BB,U 10 - MM C,
522234,2027-02-06,9:00,ABC WAREMME A,CONDROZ MODAVE BB,U 10 - MM C,
522246,2027-02-13,15:30,BC SPRIMONT B,CONDROZ MODAVE BB,U 10 - MM C,
522283,2027-03-13,13:30,CONDROZ MODAVE BB,BC COINTE A,U 10 - MM C,
522293,2027-03-20,13:30,CONDROZ MODAVE BB,LA VILLERSOISE A,U 10 - MM C,
522303,2027-03-27,13:30,CONDROZ MODAVE BB,ROYAL BC WANZE A,U 10 - MM C,
522323,2027-04-10,9:30,CONDROZ MODAVE BB,BC BELLEFLAMME B,U 10 - MM C,
522335,2027-04-18,13:00,RB TILFF B,CONDROZ MODAVE BB,U 10 - MM C,
500057,2026-10-03,9:30,CONDROZ MODAVE BB,RBC ESNEUX A,U 12 - MM A,
500067,2026-10-10,15:00,ALL. FLEMALLE A,CONDROZ MODAVE BB,U 12 - MM A,
500081,2026-10-24,11:00,GIANTS BRAIVES A,CONDROZ MODAVE BB,U 12 - MM A,
500105,2026-11-08,9:00,RBC VISE A,CONDROZ MODAVE BB,U 12 - MM A,
500117,2026-11-14,9:30,CONDROZ MODAVE BB,ETOILE JUPILLE,U 12 - MM A,
500122,2026-11-22,15:00,ROYAL HERVE-BATTICE B,CONDROZ MODAVE BB,U 12 - MM A,
500147,2026-12-05,9:30,CONDROZ MODAVE BB,ROYAL HERVE-BATTICE A,U 12 - MM A,
500151,2026-12-12,9:30,CONDROZ MODAVE BB,RSW LIEGE BASKET,U 12 - MM A,
500167,2026-12-19,9:30,CONDROZ MODAVE BB,BC BELLEFLAMME,U 12 - MM A,
500347,2027-01-09,9:30,CONDROZ MODAVE BB,GIANTS BRAIVES A,U 12 - MM A,
500207,2027-01-16,12:30,LA VILLERSOISE A,CONDROZ MODAVE BB,U 12 - MM A,
500227,2027-01-30,9:30,CONDROZ MODAVE BB,CRISTAL SGH A,U 12 - MM A,
500246,2027-02-13,9:00,RBC ESNEUX A,CONDROZ MODAVE BB,U 12 - MM A,
500254,2027-02-20,13:00,ETOILE JUPILLE,CONDROZ MODAVE BB,U 12 - MM A,
500276,2027-03-07,13:00,ROYAL HERVE-BATTICE A,CONDROZ MODAVE BB,U 12 - MM A,
