Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
406016,2026-09-04,21:00,BC REVEIL,RBC BLEGNY A,MM - DIVISION 3 C,
406026,2026-09-11,19:00,BC REVEIL,BBC EUPEN A,MM - DIVISION 3 C,
406034,2026-09-20,12:15,RBC AUBEL,BC REVEIL,MM - DIVISION 3 C,
406057,2026-10-02,21:00,BC SANKT VITH,BC REVEIL,MM - DIVISION 3 C,
406066,2026-10-09,19:00,BC REVEIL,R.UN.BELLAIRE B,MM - DIVISION 3 C,
406073,2026-10-17,19:00,RABC ENSIVAL C,BC REVEIL,MM - DIVISION 3 C,
406086,2026-10-23,20:00,BC REVEIL,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406106,2026-11-07,19:00,BC REVEIL,CRISTAL SGH B,MM - DIVISION 3 C,
406115,2026-11-14,17:00,RB TILFF C,BC REVEIL,MM - DIVISION 3 C,
406127,2026-11-22,13:00,FLERON BBC B,BC REVEIL,MM - DIVISION 3 C,
406146,2026-12-04,19:00,BC REVEIL,RBC STAVELOT B,MM - DIVISION 3 C,
406156,2026-12-12,17:00,BC REVEIL,ROYAL BC NINANE C,MM - DIVISION 3 C,
406163,2026-12-19,17:00,BC VERVIERS D,BC REVEIL,MM - DIVISION 3 C,
406196,2027-01-08,21:00,BC REVEIL,RBC AUBEL,MM - DIVISION 3 C,
406205,2027-01-15,21:00,RBC BLEGNY A,BC REVEIL,MM - DIVISION 3 C,
406216,2027-01-22,20:00,BC REVEIL,RABC ENSIVAL C,MM - DIVISION 3 C,
406226,2027-01-30,18:00,BBC EUPEN A,BC REVEIL,MM - DIVISION 3 C,
406246,2027-02-12,20:00,BC REVEIL,BC SANKT VITH,MM - DIVISION 3 C,
406256,2027-02-20,21:00,BC REVEIL,RB TILFF C,MM - DIVISION 3 C,
406271,2027-03-05,19:00,RBC STAVELOT B,BC REVEIL,MM - DIVISION 3 C,
406286,2027-03-12,20:00,BC REVEIL,FLERON BBC B,MM - DIVISION 3 C,
406294,2027-03-21,13:00,CRISTAL SGH B,BC REVEIL,MM - DIVISION 3 C,
406301,2027-03-27,20:00,R.UN.BELLAIRE B,BC REVEIL,MM - DIVISION 3 C,
406326,2027-04-09,20:00,BC REVEIL,BC VERVIERS D,MM - DIVISION 3 C,
406332,2027-04-17,19:00,ROYAL BC NINANE C,BC REVEIL,MM - DIVISION 3 C,
406342,2027-04-24,19:00,RBC WELKENRAEDT A,BC REVEIL,MM - DIVISION 3 C,
812003,2026-08-22,21:00,BC REVEIL A,BC BELLEFLAMME E (+ 5),PROVINCIALE MM - POULE L,
