Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
183,2026-03-28,20:45,MAIL. COMBLAIN (+  10),ESL UNITED A,COUPE AWBB MESSIEURS,
401292,2026-03-22,13:00,THEUX BC A,ESL UNITED C,MM - DIVISION 1,
401301,2026-03-26,20:30,ALL. FLEMALLE A,ESL UNITED C,MM - DIVISION 1,
401316,2026-04-04,21:00,ESL UNITED C,HANNUT BC A,MM - DIVISION 1,
401322,2026-04-11,20:30,RABC ENSIVAL A,ESL UNITED C,MM - DIVISION 1,
401336,2026-04-17,19:00,ESL UNITED C,BC BELLEFLAMME B,MM - DIVISION 1,
402292,2026-03-21,21:00,BC SPRIMONT C,ESL UNITED E,MM - DIVISION 2 A,
402301,2026-03-28,17:00,ABC WAREMME B,ESL UNITED E,MM - DIVISION 2 A,
402316,2026-04-04,19:00,ESL UNITED E,RBC VISE A,MM - DIVISION 2 A,
402322,2026-04-12,9:30,RBC STAVELOT A,ESL UNITED E,MM - DIVISION 2 A,
402336,2026-04-18,19:00,ESL UNITED E,ROYAL SPA BC C,MM - DIVISION 2 A,
403337,2026-03-14,17:00,RBC VISE B,ESL UNITED D,MM - DIVISION 2 B,
403296,2026-03-22,11:00,BC VERVIERS C,ESL UNITED D,MM - DIVISION 2 B,
403304,2026-03-29,14:00,ESL UNITED D,HARIMALIA BC B,MM - DIVISION 2 B,
403313,2026-04-03,20:15,R.UN.BELLAIRE A,ESL UNITED D,MM - DIVISION 2 B,
403324,2026-04-12,14:00,ESL UNITED D,PRAYON TROOZ A,MM - DIVISION 2 B,
406306,2026-03-13,19:00,BC REVEIL A,ESL UNITED F,MM - DIVISION 3 C,
406297,2026-03-22,11:00,ESL UNITED F,RBC VISE C,MM - DIVISION 3 C,
406317,2026-04-04,17:00,ESL UNITED F,RBC STAVELOT B,MM - DIVISION 3 C,
406327,2026-04-12,12:30,ESL UNITED F,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406334,2026-04-19,11:30,BC SANKT VITH,ESL UNITED F,MM - DIVISION 3 C,
AW101156,2026-03-15,11:00,BC SPRIMONT B,ESL UNITED B,MM - REGIONALE 1,
AW101172,2026-04-11,19:30,BC VERVIERS A,ESL UNITED B,MM - REGIONALE 1,
AW101122,2026-04-15,20:30,RPC ANDERLECHT,ESL UNITED B,MM - REGIONALE 1,
AW101179,2026-04-17,21:00,ESL UNITED B,BB GEMBLOUX,MM - REGIONALE 1,
AW101165,2026-04-24,20:00,ESL UNITED B,RSW LIEGE BASKET A,MM - REGIONALE 1,
NAHSE21BGA,2026-03-15,16:00,ESL UNITED A,ROYAL NIVELLES,TOP DIVISION MEN 2 B,
NAHSE21BKG,2026-03-20,21:00,HASSELT BT,ESL UNITED A,TOP DIVISION MEN 2 B,
NAHSE21BFG,2026-03-27,21:00,GUCO LIER B,ESL UNITED A,TOP DIVISION MEN 2 B,
NAHSE21BGH,2026-04-12,16:00,ESL UNITED A,R.B.C. BELGRADE,TOP DIVISION MEN 2 B,
NAHSE21BNG,2026-04-19,18:00,STEVOORT BBC,ESL UNITED A,TOP DIVISION MEN 2 B,
AW161025,2026-03-15,13:00,ESL UNITED,RBC HANEFFE,U 14 - GOLD REGIONAUX A,
AW161019,2026-03-22,17:00,ESL UNITED,BC GENAPPE,U 14 - GOLD REGIONAUX A,
AW161006,2026-04-04,17:00,BC GENAPPE,ESL UNITED,U 14 - GOLD REGIONAUX A,
AW161017,2026-04-12,9:00,BC SPRIMONT,ESL UNITED,U 14 - GOLD REGIONAUX A,
AW161007,2026-04-19,11:00,ESL UNITED,ROYAL NIVELLES,U 14 - GOLD REGIONAUX A,
INJ1612ADB,2026-03-14,16:00,ANTWERP GIANTS,ESL UNITED,U 16 MM - NATIONAUX A,
INJ1612ABA,2026-03-21,13:00,ESL UNITED,R.B.C. BELGRADE,U 16 MM - NATIONAUX A,
INJ1612ABF,2026-04-12,16:30,ESL UNITED,BBC FALCO GENT,U 16 MM - NATIONAUX A,
INJ1612ACB,2026-04-18,11:00,GUCO LIER,ESL UNITED,U 16 MM - NATIONAUX A,
AW150025,2026-03-15,11:00,ESL UNITED,RBC HANEFFE,U 18 - GOLD REGIONAUX A,
AW150019,2026-03-22,15:00,ESL UNITED,RCS NATOYE,U 18 - GOLD REGIONAUX A,
AW150017,2026-04-11,14:30,CANTER SCHAERBEEK,ESL UNITED,U 18 - GOLD REGIONAUX A,
AW150007,2026-04-19,9:00,ESL UNITED,DPK CARNIERES,U 18 - GOLD REGIONAUX A,
INJ2112BFC,2026-03-14,11:00,ESL UNITED,ROYAL IV BRUSSELS,U 21 MM - NATIONAUX B,
INJ2112BEF,2026-03-21,11:00,BAVI VILVOORDE,ESL UNITED,U 21 MM - NATIONAUX B,
INJ2112BFA,2026-03-28,11:00,ESL UNITED,BBC FALCO GENT,U 21 MM - NATIONAUX B,
INJ2112BCF,2026-04-11,11:00,ROYAL IV BRUSSELS,ESL UNITED,U 21 MM - NATIONAUX B,
