Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
493016,2026-09-06,9:00,R REN. MONTEGNEE,MARCHIN BASKET,U 14 - PROV MM D,
493056,2026-10-03,16:00,R HT-PRE OUGREE,MARCHIN BASKET,U 14 - PROV MM D,
493114,2026-11-15,9:00,ROYAL BC WANZE,MARCHIN BASKET,U 14 - PROV MM D,
493123,2026-11-22,12:00,MARCHIN BASKET,HANNUT BC,U 14 - PROV MM D,
493213,2026-11-29,12:00,MARCHIN BASKET,UN HUY BASKET,U 14 - PROV MM D,
493145,2026-12-05,13:00,LA VILLERSOISE,MARCHIN BASKET,U 14 - PROV MM D,
493153,2026-12-12,13:00,UN HUY BASKET,MARCHIN BASKET,U 14 - PROV MM D,
493163,2026-12-20,12:00,MARCHIN BASKET,ORP JAUCHE,U 14 - PROV MM D,
493203,2027-01-17,12:00,MARCHIN BASKET,R REN. MONTEGNEE,U 14 - PROV MM D,
493233,2027-02-07,12:00,MARCHIN BASKET,ROYAL BC WANZE,U 14 - PROV MM D,
493243,2027-02-14,12:00,MARCHIN BASKET,R HT-PRE OUGREE,U 14 - PROV MM D,
493285,2027-03-13,15:00,ORP JAUCHE,MARCHIN BASKET,U 14 - PROV MM D,
493304,2027-03-28,13:00,BC VERLAINE,MARCHIN BASKET,U 14 - PROV MM D,
493063,2027-04-04,12:00,MARCHIN BASKET,BC VERLAINE,U 14 - PROV MM D,
493322,2027-04-10,15:00,HANNUT BC,MARCHIN BASKET,U 14 - PROV MM D,
493333,2027-04-18,12:00,MARCHIN BASKET,LA VILLERSOISE,U 14 - PROV MM D,
471015,2026-09-06,12:00,MARCHIN BASKET,RBC ESNEUX B,U 16 - PROV MM B,
471025,2026-09-13,12:00,MARCHIN BASKET,R 4A AYWAILLE-HAMOIR,U 16 - PROV MM B,
471034,2026-09-19,14:00,MAIL. COMBLAIN,MARCHIN BASKET,U 16 - PROV MM B,
471051,2026-10-03,15:00,ATLAS A JUPILLE B,MARCHIN BASKET,U 16 - PROV MM B,
471065,2026-10-11,12:00,MARCHIN BASKET,PEPINSTER EAST BELG B,U 16 - PROV MM B,
471145,2026-12-06,12:00,MARCHIN BASKET,UN HUY BASKET,U 16 - PROV MM B,
471154,2026-12-12,15:00,VAIL. JUPILLE,MARCHIN BASKET,U 16 - PROV MM B,
471165,2026-12-20,16:30,MARCHIN BASKET,ROYAL ANS BC,U 16 - PROV MM B,
471195,2027-01-10,12:00,MARCHIN BASKET,MAIL. COMBLAIN,U 16 - PROV MM B,
471205,2027-01-16,11:00,RBC ESNEUX B,MARCHIN BASKET,U 16 - PROV MM B,
471215,2027-01-24,12:00,MARCHIN BASKET,VAIL. JUPILLE,U 16 - PROV MM B,
471226,2027-01-30,17:00,R 4A AYWAILLE-HAMOIR,MARCHIN BASKET,U 16 - PROV MM B,(ho Hamoir rue du mouli
471283,2027-03-14,17:00,ROYAL ANS BC,MARCHIN BASKET,U 16 - PROV MM B,
471302,2027-03-27,15:00,PEPINSTER EAST BELG B,MARCHIN BASKET,U 16 - PROV MM B,
471245,2027-04-04,16:30,MARCHIN BASKET,ATLAS A JUPILLE B,U 16 - PROV MM B,
471333,2027-04-17,11:00,UN HUY BASKET,MARCHIN BASKET,U 16 - PROV MM B,
440035,2026-09-20,16:30,MARCHIN BASKET,HARIMALIA BC,U 18 - PROV MM A,
440055,2026-10-04,16:30,MARCHIN BASKET,RBC STAVELOT,U 18 - PROV MM A,
440062,2026-10-10,17:00,LA VILLERSOISE,MARCHIN BASKET,U 18 - PROV MM A,
440105,2026-11-08,16:30,MARCHIN BASKET,ALL. FLEMALLE C,U 18 - PROV MM A,
440116,2026-11-14,12:00,R HT-PRE OUGREE,MARCHIN BASKET,U 18 - PROV MM A,
440125,2026-11-22,16:30,MARCHIN BASKET,ROYAL SPA BC,U 18 - PROV MM A,
440235,2026-11-29,17:00,MARCHIN BASKET,R HT-PRE OUGREE,U 18 - PROV MM A,
440143,2026-12-06,13:00,ROYAL ANS BC,MARCHIN BASKET,U 18 - PROV MM A,
440163,2026-12-19,9:00,THEUX BC,MARCHIN BASKET,U 18 - PROV MM A,
440194,2027-01-10,13:00,HARIMALIA BC,MARCHIN BASKET,U 18 - PROV MM A,
440241,2027-02-14,13:00,RBC STAVELOT,MARCHIN BASKET,U 18 - PROV MM A,
440285,2027-03-14,16:30,MARCHIN BASKET,THEUX BC,U 18 - PROV MM A,
440292,2027-03-21,15:00,ALL. FLEMALLE C,MARCHIN BASKET,U 18 - PROV MM A,
440305,2027-03-28,16:30,MARCHIN BASKET,LA VILLERSOISE,U 18 - PROV MM A,
440321,2027-04-10,15:00,ROYAL SPA BC,MARCHIN BASKET,U 18 - PROV MM A,
440335,2027-04-18,16:30,MARCHIN BASKET,ROYAL ANS BC,U 18 - PROV MM A,
420015,2026-09-06,16:30,MARCHIN BASKET,RBC DISON-ANDRIMONT,U 21 - MM,
420025,2026-09-13,16:30,MARCHIN BASKET,BBC EUPEN,U 21 - MM,
420037,2026-09-19,13:00,R 4A AYWAILLE-HAMOIR,MARCHIN BASKET,U 21 - MM,
420051,2026-10-03,15:00,ROYAL SPA BC,MARCHIN BASKET,U 21 - MM,
420065,2026-10-11,16:30,MARCHIN BASKET,ROYAL BC NINANE,U 21 - MM,
420074,2026-10-18,13:00,ROYAL BC WANZE,MARCHIN BASKET,U 21 - MM,
420085,2026-10-25,16:30,MARCHIN BASKET,ROYAL ANS BC,U 21 - MM,
420095,2026-11-01,16:30,MARCHIN BASKET,RBC ESNEUX,U 21 - MM,
420107,2026-11-07,16:30,HENRI-CHAPELLE,MARCHIN BASKET,U 21 - MM,
420115,2026-11-15,16:30,MARCHIN BASKET,BC SPRIMONT,U 21 - MM,
420124,2026-11-21,16:00,MAIL. COMBLAIN,MARCHIN BASKET,U 21 - MM,
420132,2026-11-29,13:00,BC COINTE,MARCHIN BASKET,U 21 - MM,
420145,2026-12-06,16:30,MARCHIN BASKET,RBC ALLEUR,U 21 - MM,
420155,2026-12-13,12:00,MARCHIN BASKET,THEUX BC,U 21 - MM,
420161,2026-12-19,17:00,RBC AWANS,MARCHIN BASKET,U 21 - MM,
420195,2027-01-10,16:30,MARCHIN BASKET,R 4A AYWAILLE-HAMOIR,U 21 - MM,
420206,2027-01-16,15:00,RBC DISON-ANDRIMONT,MARCHIN BASKET,U 21 - MM,
420305,2027-01-17,16:30,MARCHIN BASKET,MAIL. COMBLAIN,U 21 - MM,
420215,2027-01-24,16:30,MARCHIN BASKET,BC COINTE,U 21 - MM,
420228,2027-01-31,10:00,BBC EUPEN,MARCHIN BASKET,U 21 - MM,
420235,2027-02-07,16:30,MARCHIN BASKET,ROYAL BC WANZE,U 21 - MM,
420245,2027-02-14,16:30,MARCHIN BASKET,ROYAL SPA BC,U 21 - MM,
420256,2027-02-21,11:00,BC SPRIMONT,MARCHIN BASKET,U 21 - MM,
420278,2027-03-07,17:00,RBC ALLEUR,MARCHIN BASKET,U 21 - MM,
420285,2027-03-13,15:00,RBC ESNEUX,MARCHIN BASKET,U 21 - MM,
420295,2027-03-21,12:00,MARCHIN BASKET,HENRI-CHAPELLE,U 21 - MM,
420312,2027-04-04,12:00,ROYAL BC NINANE,MARCHIN BASKET,U 21 - MM,
420325,2027-04-11,16:30,MARCHIN BASKET,RBC AWANS,U 21 - MM,
420333,2027-04-17,11:00,THEUX BC,MARCHIN BASKET,U 21 - MM,
420343,2027-04-25,15:00,ROYAL ANS BC,MARCHIN BASKET,U 21 - MM,
