Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
411023,2026-09-12,19:30,THUNDER CONDROZ,PEPINSTER EAST BELG D,MM - DIVISION 4 E,
411031,2026-09-26,18:00,R.UN.BELLAIRE C,THUNDER CONDROZ,MM - DIVISION 4 E,
411064,2026-10-11,12:00,VAIL. JUPILLE C,THUNDER CONDROZ,MM - DIVISION 4 E,
411073,2026-10-17,19:30,THUNDER CONDROZ,ROYAL HERVE-BATTICE C,MM - DIVISION 4 E,
411085,2026-10-24,20:00,RBC ESNEUX,THUNDER CONDROZ,MM - DIVISION 4 E,
411013,2026-10-31,19:30,THUNDER CONDROZ,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 4 E,
411113,2026-11-14,19:30,THUNDER CONDROZ,BC BELLEFLAMME F,MM - DIVISION 4 E,
411124,2026-11-21,17:00,PRAYON TROOZ C,THUNDER CONDROZ,MM - DIVISION 4 E,
411166,2026-11-28,17:00,RBC HANEFFE B,THUNDER CONDROZ,MM - DIVISION 4 E,
411143,2026-12-05,19:30,THUNDER CONDROZ,THEUX BC D,MM - DIVISION 4 E,
411153,2026-12-12,19:30,THUNDER CONDROZ,RB TILFF D,MM - DIVISION 4 E,
411193,2027-01-09,19:30,THUNDER CONDROZ,R.UN.BELLAIRE C,MM - DIVISION 4 E,
411207,2027-01-16,19:00,R 4A AYWAILLE-HAMOIR C,THUNDER CONDROZ,MM - DIVISION 4 E,
411216,2027-01-23,19:00,ROYAL HERVE-BATTICE C,THUNDER CONDROZ,MM - DIVISION 4 E,
411222,2027-01-30,19:00,PEPINSTER EAST BELG D,THUNDER CONDROZ,MM - DIVISION 4 E,
411252,2027-02-20,19:00,BC BELLEFLAMME F,THUNDER CONDROZ,MM - DIVISION 4 E,
411273,2027-03-07,17:00,THEUX BC D,THUNDER CONDROZ,MM - DIVISION 4 E,
411283,2027-03-13,19:30,THUNDER CONDROZ,PRAYON TROOZ C,MM - DIVISION 4 E,
411303,2027-03-27,19:30,THUNDER CONDROZ,VAIL. JUPILLE C,MM - DIVISION 4 E,
411323,2027-04-10,19:30,THUNDER CONDROZ,RBC HANEFFE B,MM - DIVISION 4 E,
411335,2027-04-16,20:45,RB TILFF D,THUNDER CONDROZ,MM - DIVISION 4 E,
411343,2027-04-24,19:30,THUNDER CONDROZ,RBC ESNEUX,MM - DIVISION 4 E,
817002,2026-08-15,19:30,THUNDER CONDROZ,R 4A AYWAILLE-HAMOIR C,PROVINCIALE MM - POULE Q,
817004,2026-08-22,19:30,THUNDER CONDROZ (+ 10),PRAYON TROOZ A,PROVINCIALE MM - POULE Q,
817006,2026-08-30,15:00,THEUX BC B,THUNDER CONDROZ (+ 5),PROVINCIALE MM - POULE Q,
504023,2026-09-12,16:30,ATLAS A JUPILLE,THUNDER CONDROZ,U 12 - MM E,
504031,2026-09-19,11:00,RBC AWANS,THUNDER CONDROZ,U 12 - MM E,
504053,2026-10-03,17:00,THUNDER CONDROZ,ALL. FLEMALLE E,U 12 - MM E,
504064,2026-10-11,10:30,ROYAL BC WANZE B,THUNDER CONDROZ,U 12 - MM E,
504143,2026-10-17,17:00,THUNDER CONDROZ,ORP JAUCHE,U 12 - MM E,
504101,2026-11-07,11:30,ROYAL MOSA AC 1941 B,THUNDER CONDROZ,U 12 - MM E,
504122,2026-11-21,14:45,RBC ALLEUR A,THUNDER CONDROZ,U 12 - MM E,
504193,2026-11-28,17:00,THUNDER CONDROZ,RBC AWANS,U 12 - MM E,
504153,2026-12-12,17:00,THUNDER CONDROZ,UN HUY BASKET B,U 12 - MM E,
504165,2026-12-19,13:00,ABC WAREMME C,THUNDER CONDROZ,U 12 - MM E,
504213,2027-01-23,13:00,UN HUY BASKET B,THUNDER CONDROZ,U 12 - MM E,
504222,2027-01-30,17:00,THUNDER CONDROZ,ATLAS A JUPILLE,U 12 - MM E,
504246,2027-02-13,13:00,ALL. FLEMALLE E,THUNDER CONDROZ,U 12 - MM E,
504293,2027-02-27,17:00,THUNDER CONDROZ,ROYAL MOSA AC 1941 B,U 12 - MM E,
504283,2027-03-13,17:00,THUNDER CONDROZ,ABC WAREMME C,U 12 - MM E,
504303,2027-03-27,17:00,THUNDER CONDROZ,ROYAL BC WANZE B,U 12 - MM E,
504323,2027-04-10,17:00,THUNDER CONDROZ,RBC ALLEUR A,U 12 - MM E,
504335,2027-04-17,13:00,ORP JAUCHE,THUNDER CONDROZ,U 12 - MM E,
