Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415203,2026-01-18,13:00,ROYAL ANS BC,RBC VISE A,DD - DIVISION 2 B,
415212,2026-01-24,19:00,AVENIR JUPILLE B,ROYAL ANS BC,DD - DIVISION 2 B,
415227,2026-02-01,13:00,RBC ALLEUR D,ROYAL ANS BC,DD - DIVISION 2 B,
415197,2026-02-07,20:00,ABC WAREMME B,ROYAL ANS BC,DD - DIVISION 2 B,
415073,2026-02-08,14:00,ROYAL ANS BC,ROYAL BC NINANE B,DD - DIVISION 2 B,
415243,2026-02-15,13:00,ROYAL ANS BC,RBC HANEFFE C,DD - DIVISION 2 B,
415262,2026-02-28,17:00,PEPINSTER EAST BELG C,ROYAL ANS BC,DD - DIVISION 2 B,
415273,2026-03-08,13:00,ROYAL ANS BC,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415293,2026-03-22,13:00,ROYAL ANS BC,CRISTAL SGH A,DD - DIVISION 2 B,
415303,2026-03-29,17:00,VAIL. JUPILLE,ROYAL ANS BC,DD - DIVISION 2 B,
415313,2026-04-05,13:00,ROYAL ANS BC,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415325,2026-04-11,20:45,BC VERLAINE A,ROYAL ANS BC,DD - DIVISION 2 B,
415333,2026-04-19,13:00,ROYAL ANS BC,HENRI-CHAPELLE B,DD - DIVISION 2 B,
408212,2026-01-25,17:00,THEUX BC D,ROYAL ANS BC B,MM - DIVISION 4 B,
408227,2026-01-31,17:00,HANNUT BC C,ROYAL ANS BC B,MM - DIVISION 4 B,
408243,2026-02-15,17:00,ROYAL ANS BC B,PRAYON TROOZ B,MM - DIVISION 4 B,
408262,2026-03-01,11:00,PEPINSTER EAST BELG D,ROYAL ANS BC B,MM - DIVISION 4 B,
408273,2026-03-08,15:00,ROYAL ANS BC B,ALL. FLEMALLE D,MM - DIVISION 4 B,
408293,2026-03-22,17:00,ROYAL ANS BC B,ROYAL HERVE-BATTICE C,MM - DIVISION 4 B,
408303,2026-03-28,19:00,RBC AWANS B,ROYAL ANS BC B,MM - DIVISION 4 B,
408313,2026-04-05,17:00,ROYAL ANS BC B,CS OUTREMEUSE,MM - DIVISION 4 B,
408325,2026-04-11,21:00,R HT-PRE OUGREE A,ROYAL ANS BC B,MM - DIVISION 4 B,
408333,2026-04-19,17:00,ROYAL ANS BC B,ROYAL BC NINANE F,MM - DIVISION 4 B,
410203,2026-01-18,15:00,ROYAL ANS BC A,HARIMALIA BC E,MM - DIVISION 4 D,
410212,2026-01-25,15:00,UN HUY BASKET B,ROYAL ANS BC A,MM - DIVISION 4 D,
