Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW205002,2026-08-16,13:00,OLYMPIC MSM B,MAIL. COMBLAIN,AWBB MM - POULE E,
AW205004,2026-08-22,20:00,MAIL. COMBLAIN,HANNUT BC,AWBB MM - POULE E,
AW205006,2026-08-29,21:00,PEPINSTER EAST BELG,MAIL. COMBLAIN,AWBB MM - POULE E,
417052,2026-10-03,18:30,DF BC MALMEDY,MAIL. COMBLAIN,DD - DIVISION 3 B,
417065,2026-10-10,18:30,ABC WAREMME C,MAIL. COMBLAIN,DD - DIVISION 3 B,
417035,2026-10-17,18:30,BCM HERSTAL,MAIL. COMBLAIN,DD - DIVISION 3 B,
417024,2026-10-23,20:00,MAIL. COMBLAIN,RBC AWANS B,DD - DIVISION 3 B,
417106,2026-11-07,17:00,RBC DISON-ANDRIMONT B,MAIL. COMBLAIN,DD - DIVISION 3 B,
417114,2026-11-13,20:00,MAIL. COMBLAIN,ATLAS A JUPILLE B,DD - DIVISION 3 B,
417123,2026-11-21,19:00,ATLAS A JUPILLE B,MAIL. COMBLAIN,DD - DIVISION 3 B,
417144,2026-12-04,20:00,MAIL. COMBLAIN,HENRI-CHAPELLE C,DD - DIVISION 3 B,
417154,2026-12-11,20:00,MAIL. COMBLAIN,ABC WAREMME C,DD - DIVISION 3 B,
417166,2026-12-19,17:00,R 4A AYWAILLE-HAMOIR B,MAIL. COMBLAIN,DD - DIVISION 3 B,
417194,2027-01-08,20:00,MAIL. COMBLAIN,BCM HERSTAL,DD - DIVISION 3 B,
417214,2027-01-22,20:00,MAIL. COMBLAIN,RBC ESNEUX C,DD - DIVISION 3 B,
417221,2027-01-30,21:00,RBC AWANS B,MAIL. COMBLAIN,DD - DIVISION 3 B,
417244,2027-02-12,20:00,MAIL. COMBLAIN,DF BC MALMEDY,DD - DIVISION 3 B,
417251,2027-02-20,18:30,HENRI-CHAPELLE C,MAIL. COMBLAIN,DD - DIVISION 3 B,
417284,2027-03-12,20:00,MAIL. COMBLAIN,CS OUTREMEUSE,DD - DIVISION 3 B,
417294,2027-03-19,20:00,MAIL. COMBLAIN,RBC DISON-ANDRIMONT B,DD - DIVISION 3 B,
417303,2027-03-27,18:00,RBC ESNEUX C,MAIL. COMBLAIN,DD - DIVISION 3 B,
417324,2027-04-09,20:00,MAIL. COMBLAIN,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 B,
417332,2027-04-18,16:30,CS OUTREMEUSE,MAIL. COMBLAIN,DD - DIVISION 3 B,
408015,2026-09-05,19:00,ORP JAUCHE B,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408021,2026-09-13,15:00,BC TORES LIEGE,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408034,2026-09-19,18:00,MAIL. COMBLAIN B,R REN. MONTEGNEE,MM - DIVISION 4 B,
408054,2026-10-03,18:00,MAIL. COMBLAIN B,CS OUTREMEUSE,MM - DIVISION 4 B,
408063,2026-10-11,15:00,ROYAL ANS BC A,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408075,2026-10-18,13:30,ROYAL MOSA AC 1941 B,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408084,2026-10-24,18:00,MAIL. COMBLAIN B,RBC DISON-ANDRIMONT C,MM - DIVISION 4 B,
408104,2026-11-07,18:00,MAIL. COMBLAIN B,HARIMALIA BC D,MM - DIVISION 4 B,
408124,2026-11-21,18:00,MAIL. COMBLAIN B,UN HUY BASKET,MM - DIVISION 4 B,
408141,2026-12-06,16:00,MAIL. COMBLAIN B,ROYAL BASKET OTHEE,MM - DIVISION 4 B,
408154,2026-12-12,19:00,RBC CROATIA OUPEYE,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408196,2027-01-10,11:00,R REN. MONTEGNEE,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408204,2027-01-16,18:00,MAIL. COMBLAIN B,ORP JAUCHE B,MM - DIVISION 4 B,
408224,2027-01-30,18:00,MAIL. COMBLAIN B,BC TORES LIEGE,MM - DIVISION 4 B,
408214,2027-02-06,18:00,MAIL. COMBLAIN B,ROYAL MOSA AC 1941 B,MM - DIVISION 4 B,
408242,2027-02-14,14:30,CS OUTREMEUSE,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408274,2027-03-07,9:45,ROYAL BASKET OTHEE,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408283,2027-03-13,21:00,UN HUY BASKET,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408292,2027-03-21,15:30,HARIMALIA BC D,MAIL. COMBLAIN B,MM - DIVISION 4 B,
408304,2027-03-27,18:00,MAIL. COMBLAIN B,ROYAL ANS BC A,MM - DIVISION 4 B,
408334,2027-04-17,18:00,MAIL. COMBLAIN B,RBC CROATIA OUPEYE,MM - DIVISION 4 B,
408346,2027-04-24,21:00,RBC DISON-ANDRIMONT C,MAIL. COMBLAIN B,MM - DIVISION 4 B,
AW101005,2026-09-05,20:30,BC SAINT-HUBERT,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101015,2026-09-11,21:00,UNITED B WOLUWE,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101011,2026-09-19,20:00,MAIL. COMBLAIN A,CENTRE GAUME RULLES,MM - REGIONALE 2 A,
AW101025,2026-10-03,20:00,MAIL. COMBLAIN A,PEPINSTER EAST BELG B,MM - REGIONALE 2 A,
AW101031,2026-10-09,21:00,UCCLE EUROPE,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101040,2026-10-16,21:00,ESL UNITED B,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101046,2026-10-24,20:00,MAIL. COMBLAIN A,BC ERPENT,MM - REGIONALE 2 A,
AW101060,2026-11-07,20:00,MAIL. COMBLAIN A,ROYAL GALLIA BEEZ,MM - REGIONALE 2 A,
AW101056,2026-11-14,21:00,CHALET WOL ST PIERRE,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101074,2026-11-21,20:00,MAIL. COMBLAIN A,CANTER SCHAERBEEK,MM - REGIONALE 2 A,
AW101064,2026-12-05,19:00,ROYAL SPA BC A,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101088,2026-12-19,20:00,MAIL. COMBLAIN A,BC SPRIMONT B,MM - REGIONALE 2 A,
AW101104,2027-01-09,20:30,CENTRE GAUME RULLES,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101095,2027-01-16,20:00,MAIL. COMBLAIN A,BC SAINT-HUBERT,MM - REGIONALE 2 A,
AW101109,2027-01-30,20:00,MAIL. COMBLAIN A,UNITED B WOLUWE,MM - REGIONALE 2 A,
AW101130,2027-02-06,20:00,MAIL. COMBLAIN A,ESL UNITED B,MM - REGIONALE 2 A,
AW101114,2027-02-13,21:00,PEPINSTER EAST BELG B,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101144,2027-02-20,20:00,MAIL. COMBLAIN A,CHALET WOL ST PIERRE,MM - REGIONALE 2 A,
AW101164,2027-02-28,17:00,CANTER SCHAERBEEK,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101158,2027-03-06,20:00,MAIL. COMBLAIN A,ROYAL SPA BC A,MM - REGIONALE 2 A,
AW101149,2027-03-20,20:30,ROYAL GALLIA BEEZ,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101123,2027-04-03,20:00,MAIL. COMBLAIN A,UCCLE EUROPE,MM - REGIONALE 2 A,
AW101182,2027-04-11,11:00,BC SPRIMONT B,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
AW101139,2027-04-24,19:00,BC ERPENT,MAIL. COMBLAIN A,MM - REGIONALE 2 A,
521014,2026-09-05,11:30,CRISTAL SGH A,MAIL. COMBLAIN,U 10 - MM B,
521021,2026-09-12,9:00,RSW LIEGE BASKET,MAIL. COMBLAIN,U 10 - MM B,
