Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760562,2026-02-08,14:30,HANNUT BC,R.UN.BELLAIRE A,CPE PROV DAMES,(Salle de Grivegnée)
413197,2026-02-06,19:00,RBC BLEGNY A,R.UN.BELLAIRE A,DD - DIVISION 1,
413243,2026-02-14,18:00,R.UN.BELLAIRE A,BC BELLEFLAMME B,DD - DIVISION 1,
413212,2026-02-21,19:00,BC SPRIMONT A,R.UN.BELLAIRE A,DD - DIVISION 1,
413262,2026-03-01,15:00,PEPINSTER EAST BELG B,R.UN.BELLAIRE A,DD - DIVISION 1,
413153,2026-03-04,20:15,R.UN.BELLAIRE A,RBC ALLEUR C,DD - DIVISION 1,
413273,2026-03-07,18:00,R.UN.BELLAIRE A,ROYAL SPA BC A,DD - DIVISION 1,
413186,2026-03-10,20:00,R HT-PRE OUGREE A,R.UN.BELLAIRE A,DD - DIVISION 1,
413293,2026-03-21,18:00,R.UN.BELLAIRE A,RBC CROATIA OUPEYE,DD - DIVISION 1,
413303,2026-03-28,17:00,RABC ENSIVAL A,R.UN.BELLAIRE A,DD - DIVISION 1,
413313,2026-04-04,18:00,R.UN.BELLAIRE A,RBC ESNEUX B,DD - DIVISION 1,
413325,2026-04-11,18:30,RBC ALLEUR C,R.UN.BELLAIRE A,DD - DIVISION 1,
413333,2026-04-18,18:00,R.UN.BELLAIRE A,HENRI-CHAPELLE,DD - DIVISION 1,
415246,2026-02-14,20:00,R.UN.BELLAIRE B,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415261,2026-03-01,11:00,R.UN.BELLAIRE B,RBC HANEFFE C,DD - DIVISION 2 B,
415273,2026-03-08,13:00,ROYAL ANS BC,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415297,2026-03-21,20:00,ABC WAREMME B,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415301,2026-03-27,20:15,R.UN.BELLAIRE B,ROYAL BC NINANE B,DD - DIVISION 2 B,
415312,2026-04-04,19:00,AVENIR JUPILLE B,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415321,2026-04-12,11:00,R.UN.BELLAIRE B,RBC ALLEUR D,DD - DIVISION 2 B,
415161,2026-04-18,20:00,R.UN.BELLAIRE B,CRISTAL SGH A,DD - DIVISION 2 B,
403243,2026-02-06,20:15,R.UN.BELLAIRE A,PRAYON TROOZ A,MM - DIVISION 2 B,
403262,2026-02-28,19:00,PEPINSTER EAST BELG C,R.UN.BELLAIRE A,MM - DIVISION 2 B,
403273,2026-03-06,20:15,R.UN.BELLAIRE A,ROYAL SPA BC B,MM - DIVISION 2 B,
403203,2026-03-13,20:15,R.UN.BELLAIRE A,HARIMALIA BC B,MM - DIVISION 2 B,
403303,2026-03-29,11:00,VAIL. JUPILLE A,R.UN.BELLAIRE A,MM - DIVISION 2 B,
403313,2026-04-03,20:15,R.UN.BELLAIRE A,ESL UNITED D,MM - DIVISION 2 B,
403293,2026-04-09,20:00,R.UN.BELLAIRE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403325,2026-04-11,19:00,RB TILFF B,R.UN.BELLAIRE A,MM - DIVISION 2 B,
403333,2026-04-17,20:15,R.UN.BELLAIRE A,BC VERVIERS C,MM - DIVISION 2 B,
409192,2026-02-07,20:00,R.UN.BELLAIRE C,ROYAL SPA BC D,MM - DIVISION 4 C,
409076,2026-02-08,11:00,ROYAL BC NINANE E,R.UN.BELLAIRE C,MM - DIVISION 4 C,(Vaux/Chèvremont)
409245,2026-02-14,17:00,RBC DISON-ANDRIMONT C,R.UN.BELLAIRE C,MM - DIVISION 4 C,
409182,2026-02-21,20:00,R.UN.BELLAIRE C,ROYAL BC NINANE E,MM - DIVISION 4 C,
409262,2026-02-28,20:00,R.UN.BELLAIRE C,ETOILE JUPILLE C,MM - DIVISION 4 C,
409275,2026-03-07,19:00,RBC CROATIA OUPEYE,R.UN.BELLAIRE C,MM - DIVISION 4 C,
409291,2026-03-21,19:00,HARIMALIA BC F,R.UN.BELLAIRE C,MM - DIVISION 4 C,
409302,2026-03-28,20:00,R.UN.BELLAIRE C,R REN. MONTEGNEE,MM - DIVISION 4 C,
409317,2026-04-04,19:00,ABC WAREMME C,R.UN.BELLAIRE C,MM - DIVISION 4 C,
409322,2026-04-11,20:00,R.UN.BELLAIRE C,ALL. FLEMALLE C,MM - DIVISION 4 C,
409332,2026-04-18,21:00,BC SPRIMONT E,R.UN.BELLAIRE C,MM - DIVISION 4 C,
411193,2026-02-07,18:00,R.UN.BELLAIRE B,RBC BLEGNY C,MM - DIVISION 4 E,
411244,2026-02-13,19:00,BC REVEIL B,R.UN.BELLAIRE B,MM - DIVISION 4 E,
411336,2026-02-20,21:00,DF BC MALMEDY,R.UN.BELLAIRE B,MM - DIVISION 4 E,
411263,2026-03-01,13:00,R.UN.BELLAIRE B,RABC ENSIVAL C,MM - DIVISION 4 E,
411271,2026-03-07,19:00,RBC WELKENRAEDT B,R.UN.BELLAIRE B,MM - DIVISION 4 E,
411295,2026-03-14,21:00,R 4A AYWAILLE-HAMOIR D,R.UN.BELLAIRE B,MM - DIVISION 4 E,
411303,2026-03-28,18:00,R.UN.BELLAIRE B,AVENIR JUPILLE B,MM - DIVISION 4 E,
411323,2026-04-12,13:00,R.UN.BELLAIRE B,RBC AUBEL,MM - DIVISION 4 E,
527234,2026-02-07,9:00,RABC ENSIVAL A,R.UN.BELLAIRE,U 10 - MM H,
527193,2026-02-14,12:00,R.UN.BELLAIRE,R 4A AYWAILLE-HAMOIR A,U 10 - MM H,
527263,2026-02-28,12:00,R.UN.BELLAIRE,PRAYON TROOZ B,U 10 - MM H,
527271,2026-03-07,9:00,RBC BLEGNY A,R.UN.BELLAIRE,U 10 - MM H,
527295,2026-03-21,9:15,CRISTAL SGH C,R.UN.BELLAIRE,U 10 - MM H,
527303,2026-03-28,12:00,R.UN.BELLAIRE,RBC DISON-ANDRIMONT B,U 10 - MM H,
527323,2026-04-11,12:00,R.UN.BELLAIRE,PEPINSTER EAST BELG A,U 10 - MM H,
527332,2026-04-18,13:00,RBC VISE C,R.UN.BELLAIRE,U 10 - MM H,(Salle de Fourons)
507233,2026-02-07,12:00,R.UN.BELLAIRE,RBC ESNEUX B,U 12 - MM H,
507264,2026-02-28,11:00,RBC HANEFFE,R.UN.BELLAIRE,U 12 - MM H,
507273,2026-03-07,12:00,R.UN.BELLAIRE,ALL. FLEMALLE E,U 12 - MM H,
507293,2026-03-21,12:00,R.UN.BELLAIRE,FLERON BBC,U 12 - MM H,
507305,2026-03-28,11:00,ABC WAREMME B,R.UN.BELLAIRE,U 12 - MM H,
491196,2026-02-14,12:45,ROYAL BC NINANE B,R.UN.BELLAIRE,U 14 - PROV MM B,
491226,2026-02-15,12:30,RBC AUBEL,R.UN.BELLAIRE,U 14 - PROV MM B,
491273,2026-03-07,14:00,R.UN.BELLAIRE,RBC VISE B,U 14 - PROV MM B,
491293,2026-03-21,14:00,R.UN.BELLAIRE,ROYAL MOSA AC 1941,U 14 - PROV MM B,
491305,2026-03-28,15:00,CRISTAL SGH B,R.UN.BELLAIRE,U 14 - PROV MM B,
491323,2026-04-12,14:00,VAIL. JUPILLE,R.UN.BELLAIRE,U 14 - PROV MM B,
472233,2026-02-07,16:00,R.UN.BELLAIRE,MARCHIN BASKET,U 16 - PROV MM C,
472196,2026-02-14,11:00,GIANTS BRAIVES,R.UN.BELLAIRE,U 16 - PROV MM C,(HO Fallais)
472264,2026-02-21,15:00,BC COINTE,R.UN.BELLAIRE,U 16 - PROV MM C,
472273,2026-03-07,16:00,R.UN.BELLAIRE,ABC WAREMME B,U 16 - PROV MM C,
472293,2026-03-21,16:00,R.UN.BELLAIRE,CRISTAL SGH D,U 16 - PROV MM C,
472323,2026-04-11,15:00,UN HUY BASKET,R.UN.BELLAIRE,U 16 - PROV MM C,
472333,2026-04-18,16:00,R.UN.BELLAIRE,PEPINSTER EAST BELG A,U 16 - PROV MM C,
540263,2026-02-28,10:30,R.UN.BELLAIRE,RABC ENSIVAL,U 8 - MM A,
540271,2026-03-07,10:00,ROYAL SPA BC A,R.UN.BELLAIRE,U 8 - MM A,
540295,2026-03-21,11:30,ROYAL MOSA AC 1941,R.UN.BELLAIRE,U 8 - MM A,
540303,2026-03-28,10:30,R.UN.BELLAIRE,RBC AUBEL,U 8 - MM A,
540323,2026-04-11,10:30,R.UN.BELLAIRE,RBC VISE B,U 8 - MM A,
540332,2026-04-19,9:00,THEUX BC,R.UN.BELLAIRE,U 8 - MM A,
