Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413244,2026-02-13,19:00,RBC ESNEUX B,RABC ENSIVAL A,DD - DIVISION 1,
413264,2026-03-04,20:00,RBC ESNEUX B,RBC BLEGNY A,DD - DIVISION 1,
413272,2026-03-07,19:00,BC SPRIMONT A,RBC ESNEUX B,DD - DIVISION 1,
413296,2026-03-22,14:00,RBC ESNEUX B,HENRI-CHAPELLE,DD - DIVISION 1,
413304,2026-03-29,10:00,RBC ESNEUX B,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413184,2026-04-01,20:30,RBC ESNEUX B,RBC ALLEUR C,DD - DIVISION 1,
413313,2026-04-04,18:00,R.UN.BELLAIRE A,RBC ESNEUX B,DD - DIVISION 1,
413324,2026-04-12,10:00,RBC ESNEUX B,BC BELLEFLAMME B,DD - DIVISION 1,
413337,2026-04-18,19:00,HANNUT BC,RBC ESNEUX B,DD - DIVISION 1,
416052,2026-02-28,18:30,BCM HERSTAL,RBC ESNEUX C,DD - DIVISION 3 A,
416243,2026-03-07,19:00,ROYAL HERVE-BATTICE D,RBC ESNEUX C,DD - DIVISION 3 A,
416294,2026-03-22,12:00,RBC ESNEUX C,RBC BLEGNY C,DD - DIVISION 3 A,
416324,2026-04-12,16:30,CS OUTREMEUSE,RBC ESNEUX C,DD - DIVISION 3 A,
416334,2026-04-19,14:00,RBC ESNEUX C,ABC WAREMME C,DD - DIVISION 3 A,
AW105130,2026-02-13,21:00,RBC ESNEUX A,BC BELLEFLAMME A,DD - REGIONALE 2 A,
AW105144,2026-03-01,12:00,RBC ESNEUX A,BC BONINNE,DD - REGIONALE 2 A,
AW105158,2026-03-15,14:00,RBC ESNEUX A,PROFONDEVILLE SHARKS,DD - REGIONALE 2 A,
AW105139,2026-03-22,11:00,BC CENTRE GAUME,RBC ESNEUX A,DD - REGIONALE 2 A,
AW105172,2026-03-28,20:00,RBC ESNEUX A,PRAYON TROOZ A,DD - REGIONALE 2 A,
AW105182,2026-04-18,18:30,RBC ALLEUR A,RBC ESNEUX A,DD - REGIONALE 2 A,
AW105164,2026-04-26,17:00,REBOND OTTIGNIES,RBC ESNEUX A,DD - REGIONALE 2 A,
522194,2026-02-14,9:15,COLLEGE S LOUIS A,RBC ESNEUX A,U 10 - MM C,
522274,2026-03-07,10:30,RBC ESNEUX A,LA VILLERSOISE B,U 10 - MM C,
