Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413332,2026-04-18,21:00,BC SPRIMONT A,PEPINSTER EAST BELG B,DD - DIVISION 1,
415332,2026-04-18,19:00,AVENIR JUPILLE B,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
AW106177,2026-04-19,15:00,PEPINSTER EAST BELG A,NAMUR CAPITALE,DD - REGIONALE 2 B,
AW106163,2026-04-23,20:30,PEPINSTER EAST BELG A,CANTER SCHAERBEEK,DD - REGIONALE 2 B,
AW106135,2026-04-26,15:00,PEPINSTER EAST BELG A,MONS CAPITALE,DD - REGIONALE 2 B,
403332,2026-04-19,11:00,ROYAL HERVE-BATTICE A,PEPINSTER EAST BELG C,MM - DIVISION 2 B,
408332,2026-04-19,17:00,THEUX BC D,PEPINSTER EAST BELG D,MM - DIVISION 4 B,
AW103168,2026-04-26,15:30,BC ATHUS,PEPINSTER EAST BELG B,MM - REGIONALE 2 B,
NAHSE21ACD,2026-04-19,17:00,PEPINSTER EAST BELG A,BAVI VILVOORDE,TOP DIVISION MEN 2 A,
AW169009,2026-04-18,15:00,PROFONDEVILLE SHARKS,PEPINSTER EAST BELG,U 14 - SILVER REGIONAUX G,
470332,2026-04-19,11:00,PEPINSTER EAST BELG B,DF BC MALMEDY,U 16 - PROV MM A,
472333,2026-04-18,16:00,R.UN.BELLAIRE,PEPINSTER EAST BELG A,U 16 - PROV MM C,
431332,2026-04-19,13:00,PEPINSTER EAST BELG,UN HUY BASKET B,U 18 - ELITES MM B,
AW170009,2026-04-19,11:00,LA VILLERSOISE,PEPINSTER EAST BELG,U 19 - GOLD REGIONALES A,
550333,2026-04-18,13:15,BC SPRIMONT C,PEPINSTER EAST BELG A,U 7 - MM A,
552333,2026-04-19,16:00,RBC VISE,PEPINSTER EAST BELG C,U 7 - MM C,(Salle de Fourons)
542333,2026-04-18,10:15,BC BELLEFLAMME B,PEPINSTER EAST BELG B,U 8 - MM C,
