Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413263,2026-03-01,14:00,RABC ENSIVAL A,BC SPRIMONT A,DD - DIVISION 1,
413271,2026-03-07,17:00,ROYAL HERVE-BATTICE C,RABC ENSIVAL A,DD - DIVISION 1,
413295,2026-03-21,18:30,RBC ALLEUR C,RABC ENSIVAL A,DD - DIVISION 1,
413303,2026-03-28,17:00,RABC ENSIVAL A,R.UN.BELLAIRE A,DD - DIVISION 1,
413314,2026-04-05,17:00,BC BELLEFLAMME B,RABC ENSIVAL A,DD - DIVISION 1,
413323,2026-04-11,18:30,RABC ENSIVAL A,RBC CROATIA OUPEYE,DD - DIVISION 1,
413336,2026-04-18,19:00,R HT-PRE OUGREE A,RABC ENSIVAL A,DD - DIVISION 1,
401262,2026-03-01,12:00,RABC ENSIVAL A,ETOILE JUPILLE A,MM - DIVISION 1,
401275,2026-03-08,15:00,CRISTAL SGH A,RABC ENSIVAL A,MM - DIVISION 1,
401291,2026-03-22,13:00,HARIMALIA BC A,RABC ENSIVAL A,MM - DIVISION 1,
401302,2026-03-29,14:00,RABC ENSIVAL A,RBC HANEFFE A,MM - DIVISION 1,
401317,2026-04-05,13:00,HENRI-CHAPELLE A,RABC ENSIVAL A,MM - DIVISION 1,
401322,2026-04-11,20:30,RABC ENSIVAL A,ESL UNITED C,MM - DIVISION 1,
401332,2026-04-19,13:00,THEUX BC A,RABC ENSIVAL A,MM - DIVISION 1,
405263,2026-02-28,19:00,VAIL. JUPILLE B,RABC ENSIVAL B,MM - DIVISION 3 B,
405272,2026-03-07,20:00,RABC ENSIVAL B,RBC HANEFFE B,MM - DIVISION 3 B,
405312,2026-03-14,20:00,RABC ENSIVAL B,LA VILLERSOISE B,MM - DIVISION 3 B,
405292,2026-03-18,20:30,RABC ENSIVAL B,RBC DISON-ANDRIMONT B,MM - DIVISION 3 B,
405305,2026-03-28,19:00,CRISTAL SGH C,RABC ENSIVAL B,MM - DIVISION 3 B,
405326,2026-04-11,17:00,ROYAL BC NINANE C,RABC ENSIVAL B,MM - DIVISION 3 B,(Vaux/Chèvremont)
405332,2026-04-18,18:00,RABC ENSIVAL B,BC SPRIMONT D,MM - DIVISION 3 B,
411263,2026-03-01,13:00,R.UN.BELLAIRE B,RABC ENSIVAL C,MM - DIVISION 4 E,
411272,2026-03-07,18:00,RABC ENSIVAL C,BC REVEIL B,MM - DIVISION 4 E,
411292,2026-03-21,18:00,RABC ENSIVAL C,DF BC MALMEDY,MM - DIVISION 4 E,
411305,2026-03-28,19:00,R 4A AYWAILLE-HAMOIR D,RABC ENSIVAL C,MM - DIVISION 4 E,
411312,2026-04-04,18:00,RABC ENSIVAL C,ROYAL SPA BC E,MM - DIVISION 4 E,
