Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415304,2026-03-27,20:30,R 4A AYWAILLE-HAMOIR A,RBC VISE A,DD - DIVISION 2 B,
415313,2026-04-07,19:00,ROYAL ANS BC,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415324,2026-04-11,19:00,R 4A AYWAILLE-HAMOIR A,RBC HANEFFE C,DD - DIVISION 2 B,
415337,2026-04-19,13:00,RBC ALLEUR D,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
416307,2026-03-28,21:00,RBC BLEGNY C,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416315,2026-04-04,17:00,R 4A AYWAILLE-HAMOIR B,CRISTAL SGH B,DD - DIVISION 3 A,
404301,2026-03-28,21:00,ALL. FLEMALLE B,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
404316,2026-04-04,19:00,R 4A AYWAILLE-HAMOIR C,HANNUT BC B,MM - DIVISION 3 A,(Hall de Hamoir)
404322,2026-04-11,19:00,ROYAL HERVE-BATTICE B,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
404336,2026-04-18,19:00,R 4A AYWAILLE-HAMOIR C,ROYALE US AWANS A,MM - DIVISION 3 A,(Hall de Hamoir)
405307,2026-03-27,21:00,RBC BLEGNY B,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 B,
405315,2026-04-04,19:00,R 4A AYWAILLE-HAMOIR A,CRISTAL SGH C,MM - DIVISION 3 B,
405323,2026-04-11,19:00,VAIL. JUPILLE B,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 B,
405335,2026-04-18,19:00,R 4A AYWAILLE-HAMOIR A,LA VILLERSOISE B,MM - DIVISION 3 B,
406307,2026-03-27,19:00,RBC BLEGNY A,R 4A AYWAILLE-HAMOIR B,MM - DIVISION 3 C,
406315,2026-04-04,21:00,R 4A AYWAILLE-HAMOIR B,CRISTAL SGH B,MM - DIVISION 3 C,
406323,2026-04-12,15:00,ATLAS A JUPILLE C,R 4A AYWAILLE-HAMOIR B,MM - DIVISION 3 C,
406335,2026-04-18,21:00,R 4A AYWAILLE-HAMOIR B,RBC VISE C,MM - DIVISION 3 C,
411265,2026-03-26,21:00,R 4A AYWAILLE-HAMOIR D,MAIL. COMBLAIN C,MM - DIVISION 4 E,
411305,2026-03-28,19:00,R 4A AYWAILLE-HAMOIR D,RABC ENSIVAL C,MM - DIVISION 4 E,
411315,2026-04-05,12:00,RBC AUBEL,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
411325,2026-04-11,17:00,R 4A AYWAILLE-HAMOIR D,AVENIR JUPILLE B,MM - DIVISION 4 E,
411331,2026-04-18,21:00,RBC WELKENRAEDT B,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
526301,2026-03-29,11:00,ALL. FLEMALLE D,R 4A AYWAILLE-HAMOIR B,U 10 - MM G,
526292,2026-04-04,11:00,PEPINSTER EAST BELG C,R 4A AYWAILLE-HAMOIR B,U 10 - MM G,
526326,2026-04-11,15:00,R 4A AYWAILLE-HAMOIR B,HARIMALIA BC B,U 10 - MM G,(Hall de Hamoir)
526336,2026-04-18,15:00,R 4A AYWAILLE-HAMOIR B,CRISTAL SGH F,U 10 - MM G,(Hall de Hamoir)
527326,2026-04-11,9:00,R 4A AYWAILLE-HAMOIR A,RBC BLEGNY A,U 10 - MM H,
501303,2026-03-28,11:00,RSW LIEGE BASKET,R 4A AYWAILLE-HAMOIR,U 12 - MM B,
501325,2026-04-11,13:00,R 4A AYWAILLE-HAMOIR,LA VILLERSOISE C,U 12 - MM B,
506301,2026-03-28,16:30,HENRI-CHAPELLE C,R 4A AYWAILLE-HAMOIR B,U 12 - MM G,
506292,2026-04-04,11:00,PEPINSTER EAST BELG B,R 4A AYWAILLE-HAMOIR B,U 12 - MM G,
506326,2026-04-11,15:00,R 4A AYWAILLE-HAMOIR B,RBC VISE B,U 12 - MM G,(Hall de Hamoir)
506336,2026-04-19,13:00,R 4A AYWAILLE-HAMOIR B,BC BELLEFLAMME C,U 12 - MM G,(Hall de Hamoir)
492301,2026-03-29,10:00,R 4A AYWAILLE-HAMOIR,GIANTS BRAIVES,U 14 - PROV MM C,(Hall de Hamoir)
492321,2026-04-11,13:00,R 4A AYWAILLE-HAMOIR,MAIL. COMBLAIN,U 14 - PROV MM C,(Hall de Hamoir)
492335,2026-04-18,17:00,CRISTAL SGH C,R 4A AYWAILLE-HAMOIR,U 14 - PROV MM C,
451305,2026-03-28,15:00,R 4A AYWAILLE-HAMOIR,RBC AWANS,U 16 - ELITES MM B,
451295,2026-04-04,13:00,R 4A AYWAILLE-HAMOIR,VAIL. JUPILLE,U 16 - ELITES MM B,
451324,2026-04-11,11:00,CRISTAL SGH A,R 4A AYWAILLE-HAMOIR,U 16 - ELITES MM B,
451331,2026-04-19,11:00,HARIMALIA BC A,R 4A AYWAILLE-HAMOIR,U 16 - ELITES MM B,
431235,2026-03-29,9:30,R 4A AYWAILLE-HAMOIR,RSW LIEGE BASKET A,U 18 - ELITES MM B,
431215,2026-04-04,15:00,R 4A AYWAILLE-HAMOIR,GIANTS BRAIVES,U 18 - ELITES MM B,
431324,2026-04-11,16:00,RBC HANEFFE,R 4A AYWAILLE-HAMOIR,U 18 - ELITES MM B,
431265,2026-04-12,10:30,R 4A AYWAILLE-HAMOIR,MAIL. COMBLAIN,U 18 - ELITES MM B,
431331,2026-04-18,13:00,COLLEGE S LOUIS,R 4A AYWAILLE-HAMOIR,U 18 - ELITES MM B,
421304,2026-03-28,17:00,R 4A AYWAILLE-HAMOIR,ROYAL SPA BC,U 21 - MM B,
421322,2026-04-12,17:00,BC SPRIMONT,R 4A AYWAILLE-HAMOIR,U 21 - MM B,
421204,2026-04-18,11:00,RB TILFF,R 4A AYWAILLE-HAMOIR,U 21 - MM B,
550303,2026-03-28,13:00,BC VERVIERS,R 4A AYWAILLE-HAMOIR A,U 7 - MM A,
550325,2026-04-11,11:30,R 4A AYWAILLE-HAMOIR A,BC BELLEFLAMME,U 7 - MM A,
551232,2026-04-04,15:00,BC SPRIMONT A,R 4A AYWAILLE-HAMOIR B,U 7 - MM B,
551325,2026-04-11,11:30,R 4A AYWAILLE-HAMOIR B,BC VERLAINE B,U 7 - MM B,
542303,2026-03-28,9:00,VAIL. JUPILLE,R 4A AYWAILLE-HAMOIR B,U 8 - MM C,
545216,2026-03-28,17:00,ORP JAUCHE,R 4A AYWAILLE-HAMOIR A,U 8 - MM F,
545293,2026-04-04,11:00,RBC HANEFFE,R 4A AYWAILLE-HAMOIR A,U 8 - MM F,
545325,2026-04-11,10:15,R 4A AYWAILLE-HAMOIR A,UN HUY BASKET,U 8 - MM F,
