Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
416326,2026-04-12,13:00,ROYAL BC WANZE,BCM HERSTAL,DD - DIVISION 3 A,
416333,2026-04-19,13:00,ROYAL HERVE-BATTICE D,ROYAL BC WANZE,DD - DIVISION 3 A,
402326,2026-04-12,15:00,ROYAL BC WANZE B,BC SPRIMONT C,MM - DIVISION 2 A,
402333,2026-04-18,21:00,RBC AWANS A,ROYAL BC WANZE B,MM - DIVISION 2 A,
404326,2026-04-12,15:00,ROYAL BC WANZE C,RJS GRIVEGNEE,MM - DIVISION 3 A,
404333,2026-04-18,21:00,AVENIR JUPILLE A,ROYAL BC WANZE C,MM - DIVISION 3 A,
AW102174,2026-04-12,17:30,ROYAL BC WANZE A,JSB MAFFLE,MM - REGIONALE 2 A,
AW102178,2026-04-18,20:30,ATLAS A JUPILLE A,ROYAL BC WANZE A,MM - REGIONALE 2 A,
AW102162,2026-04-25,20:15,ROYAL NIVELLES,ROYAL BC WANZE A,MM - REGIONALE 2 A,
522321,2026-04-12,13:00,ALL. FLEMALLE B,ROYAL BC WANZE A,U 10 - MM C,
522334,2026-04-18,12:00,RBC ESNEUX A,ROYAL BC WANZE A,U 10 - MM C,
530321,2026-04-11,11:00,ABC WAREMME B,ROYAL BC WANZE B,U 10 - MM K,
530334,2026-04-19,15:00,UN HUY BASKET B,ROYAL BC WANZE B,U 10 - MM K,
509334,2026-04-19,9:00,UN HUY BASKET B,ROYAL BC WANZE B,U 12 - MM J,
481334,2026-04-18,9:00,ABC WAREMME,ROYAL BC WANZE,U 14 - ELITES MM B,
492324,2026-04-12,11:00,ROYAL BC WANZE,BC VERLAINE,U 14 - PROV MM C,
492336,2026-04-18,15:00,GIANTS BRAIVES,ROYAL BC WANZE,U 14 - PROV MM C,
590321,2026-04-11,17:00,ROYAL HERVE-BATTICE,ROYAL BC WANZE,U 16 - DD A,
590334,2026-04-18,11:00,BC COINTE,ROYAL BC WANZE,U 16 - DD A,
471321,2026-04-11,13:00,ALL. FLEMALLE,ROYAL BC WANZE,U 16 - PROV MM B,
581324,2026-04-11,15:00,ROYAL HERVE-BATTICE,ROYAL BC WANZE,U 19 - DD B,
581332,2026-04-19,12:00,RBC VISE,ROYAL BC WANZE,U 19 - DD B,(Salle de Fourons)
421323,2026-04-12,15:00,ROYAL ANS BC,ROYAL BC WANZE,U 21 - MM B,
421331,2026-04-18,15:00,ROYAL SPA BC,ROYAL BC WANZE,U 21 - MM B,
552321,2026-04-11,13:00,HARIMALIA BC,ROYAL BC WANZE,U 7 - MM C,
544321,2026-04-11,10:30,ALL. FLEMALLE B,ROYAL BC WANZE,U 8 - MM E,
