Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW242063,2026-03-28,11:15,UNITED B WOLUWE,ATLAS A JUPILLE A,COUPE AWBB U18 - GARCONS,
414296,2026-03-21,19:00,ATLAS A JUPILLE,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414306,2026-03-26,20:00,ATLAS A JUPILLE,RBC BLEGNY B,DD - DIVISION 2 A,
414311,2026-04-05,15:00,ALL. FLEMALLE A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414326,2026-04-11,19:00,ATLAS A JUPILLE,BC SPRIMONT B,DD - DIVISION 2 A,
402295,2026-03-20,20:00,ATLAS A JUPILLE B,ROYAL SPA BC C,MM - DIVISION 2 A,
402305,2026-03-29,11:00,BC SPRIMONT C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402315,2026-04-05,11:00,FLERON BBC A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402325,2026-04-10,21:00,ATLAS A JUPILLE B,RBC AWANS A,MM - DIVISION 2 A,
402331,2026-04-19,17:00,HARIMALIA BC C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
406295,2026-03-21,17:00,CRISTAL SGH B,ATLAS A JUPILLE C,MM - DIVISION 3 C,(Ecole de la Troque)
406303,2026-03-28,17:00,ATLAS A JUPILLE C,UN HUY BASKET A,MM - DIVISION 3 C,
406314,2026-04-03,21:00,BC SANKT VITH,ATLAS A JUPILLE C,MM - DIVISION 3 C,
406323,2026-04-12,15:00,ATLAS A JUPILLE C,R 4A AYWAILLE-HAMOIR B,MM - DIVISION 3 C,
406336,2026-04-18,19:00,BBC EUPEN,ATLAS A JUPILLE C,MM - DIVISION 3 C,
AW102136,2026-03-21,21:00,ATLAS A JUPILLE A,BCJS ESTAIMPUIS,MM - REGIONALE 2 A,
AW102098,2026-03-26,21:00,ABC WAREMME A,ATLAS A JUPILLE A,MM - REGIONALE 2 A,
AW102142,2026-04-05,15:00,UNITED B WOLUWE,ATLAS A JUPILLE A,MM - REGIONALE 2 A,
AW102173,2026-04-11,20:00,AS MAZY-SPY,ATLAS A JUPILLE A,MM - REGIONALE 2 A,
AW102178,2026-04-18,19:30,ATLAS A JUPILLE A,ROYAL BC WANZE A,MM - REGIONALE 2 A,
