Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401195,2026-02-07,17:30,RB UNION LIEGE A,ESL UNITED C,MM - DIVISION 1,
401245,2026-02-14,18:30,RB UNION LIEGE A,RABC ENSIVAL A,MM - DIVISION 1,
401265,2026-02-28,18:30,RB UNION LIEGE A,MAIL. COMBLAIN B,MM - DIVISION 1,
401277,2026-03-07,20:30,HENRI-CHAPELLE A,RB UNION LIEGE A,MM - DIVISION 1,
401295,2026-03-21,18:30,RB UNION LIEGE A,BC BELLEFLAMME B,MM - DIVISION 1,
401305,2026-03-28,18:30,RB UNION LIEGE A,THEUX BC A,MM - DIVISION 1,
401315,2026-04-03,20:00,CRISTAL SGH A,RB UNION LIEGE A,MM - DIVISION 1,
401325,2026-04-11,18:30,RB UNION LIEGE A,ETOILE JUPILLE A,MM - DIVISION 1,
401331,2026-04-19,13:00,HARIMALIA BC A,RB UNION LIEGE A,MM - DIVISION 1,
404195,2026-02-07,19:30,RB UNION LIEGE B,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
404245,2026-02-14,20:30,RB UNION LIEGE B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404204,2026-02-21,19:00,RB TILFF C,RB UNION LIEGE B,MM - DIVISION 3 A,
404265,2026-02-28,20:30,RB UNION LIEGE B,ROYAL BC WANZE C,MM - DIVISION 3 A,
404277,2026-03-07,18:30,HENRI-CHAPELLE B,RB UNION LIEGE B,MM - DIVISION 3 A,
404026,2026-03-14,19:00,R 4A AYWAILLE-HAMOIR C,RB UNION LIEGE B,MM - DIVISION 3 A,(Hall de Hamoir)
404295,2026-03-21,20:30,RB UNION LIEGE B,ROYALE US AWANS A,MM - DIVISION 3 A,
404305,2026-03-28,20:30,RB UNION LIEGE B,RJS GRIVEGNEE,MM - DIVISION 3 A,
404315,2026-04-05,13:00,FLERON BBC B,RB UNION LIEGE B,MM - DIVISION 3 A,
404325,2026-04-11,20:30,RB UNION LIEGE B,AVENIR JUPILLE A,MM - DIVISION 3 A,
404331,2026-04-19,17:00,LA VILLERSOISE A,RB UNION LIEGE B,MM - DIVISION 3 A,
