Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW208002,2026-08-16,14:00,BC HOTTON,RBC STAVELOT,AWBB MM - POULE H,
AW208004,2026-08-21,20:00,RBC STAVELOT,WEZEMBEEK OPPEM,AWBB MM - POULE H,
AW208006,2026-08-30,14:00,BC FRAIRE-PHILIPPEVILLE,RBC STAVELOT,AWBB MM - POULE H,
415021,2026-09-12,17:00,RBC STAVELOT,AVENIR JUPILLE,DD - DIVISION 2 B,
415033,2026-09-27,13:00,ROYAL ANS BC,RBC STAVELOT,DD - DIVISION 2 B,
415061,2026-10-10,21:00,RBC STAVELOT,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415071,2026-10-18,11:45,ROYAL BASKET OTHEE,RBC STAVELOT,DD - DIVISION 2 B,
415081,2026-10-24,17:00,RBC STAVELOT,RBC ALLEUR D,DD - DIVISION 2 B,
415055,2026-11-01,12:00,RBC HANEFFE C,RBC STAVELOT,DD - DIVISION 2 B,
415101,2026-11-07,17:00,RBC STAVELOT,RBC WELKENRAEDT,DD - DIVISION 2 B,
415114,2026-11-15,13:00,ROYAL BC WANZE,RBC STAVELOT,DD - DIVISION 2 B,
415121,2026-11-21,17:00,RBC STAVELOT,ROYAL BC NINANE A,DD - DIVISION 2 B,
415146,2026-12-06,12:00,PRAYON TROOZ C,RBC STAVELOT,DD - DIVISION 2 B,
415157,2026-12-12,17:00,R 4A AYWAILLE-HAMOIR A,RBC STAVELOT,DD - DIVISION 2 B,
415161,2026-12-19,17:00,RBC STAVELOT,BC VERLAINE A,DD - DIVISION 2 B,
415191,2027-01-09,17:00,RBC STAVELOT,ROYAL ANS BC,DD - DIVISION 2 B,
415202,2027-01-17,11:00,ALL. FLEMALLE B,RBC STAVELOT,DD - DIVISION 2 B,
415211,2027-01-23,17:00,RBC STAVELOT,ROYAL BASKET OTHEE,DD - DIVISION 2 B,
415224,2027-01-30,17:00,AVENIR JUPILLE,RBC STAVELOT,DD - DIVISION 2 B,
415011,2027-02-06,17:00,RBC STAVELOT,ALL. FLEMALLE B,DD - DIVISION 2 B,
415241,2027-02-13,17:00,RBC STAVELOT,RBC HANEFFE C,DD - DIVISION 2 B,
415251,2027-02-20,17:00,RBC STAVELOT,ROYAL BC WANZE,DD - DIVISION 2 B,
415271,2027-03-06,17:00,RBC STAVELOT,PRAYON TROOZ C,DD - DIVISION 2 B,
415282,2027-03-14,14:00,ROYAL BC NINANE A,RBC STAVELOT,DD - DIVISION 2 B,
415293,2027-03-20,17:00,RBC WELKENRAEDT,RBC STAVELOT,DD - DIVISION 2 B,
415306,2027-03-28,11:00,HENRI-CHAPELLE B,RBC STAVELOT,DD - DIVISION 2 B,
415331,2027-04-03,17:00,RBC STAVELOT,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415325,2027-04-11,17:30,BC VERLAINE A,RBC STAVELOT,DD - DIVISION 2 B,
415347,2027-04-25,15:00,RBC ALLEUR D,RBC STAVELOT,DD - DIVISION 2 B,
401202,2026-09-05,19:00,BC COINTE A,RBC STAVELOT A,MM - DIVISION 1,
401021,2026-09-12,19:00,RBC STAVELOT A,ETOILE JUPILLE A,MM - DIVISION 1,
401033,2026-09-20,13:00,THEUX BC A,RBC STAVELOT A,MM - DIVISION 1,
401055,2026-10-02,19:00,ESL UNITED C,RBC STAVELOT A,MM - DIVISION 1,
401061,2026-10-10,19:00,RBC STAVELOT A,ROYAL HERVE-BATTICE A,MM - DIVISION 1,
401071,2026-10-17,21:00,ATLAS A JUPILLE A,RBC STAVELOT A,MM - DIVISION 1,
401081,2026-10-24,19:00,RBC STAVELOT A,HENRI-CHAPELLE A,MM - DIVISION 1,
401101,2026-11-07,19:00,RBC STAVELOT A,BC BELLEFLAMME B,MM - DIVISION 1,
401114,2026-11-15,15:00,CRISTAL SGH A,RBC STAVELOT A,MM - DIVISION 1,
401121,2026-11-21,19:00,RBC STAVELOT A,HANNUT BC A,MM - DIVISION 1,
401146,2026-12-05,19:00,ALL. FLEMALLE A,RBC STAVELOT A,MM - DIVISION 1,
401157,2026-12-12,18:30,RB UNION LIEGE A,RBC STAVELOT A,MM - DIVISION 1,
401161,2026-12-19,19:00,RBC STAVELOT A,ABC WAREMME A,MM - DIVISION 1,
401191,2027-01-09,19:00,RBC STAVELOT A,THEUX BC A,MM - DIVISION 1,
401211,2027-01-23,19:00,RBC STAVELOT A,ATLAS A JUPILLE A,MM - DIVISION 1,
401224,2027-01-29,21:00,ETOILE JUPILLE A,RBC STAVELOT A,MM - DIVISION 1,
401241,2027-02-13,19:00,RBC STAVELOT A,ESL UNITED C,MM - DIVISION 1,
401251,2027-02-20,19:00,RBC STAVELOT A,CRISTAL SGH A,MM - DIVISION 1,
401271,2027-03-05,21:00,RBC STAVELOT A,ALL. FLEMALLE A,MM - DIVISION 1,
401282,2027-03-12,21:00,HANNUT BC A,RBC STAVELOT A,MM - DIVISION 1,
401293,2027-03-19,21:00,BC BELLEFLAMME B,RBC STAVELOT A,MM - DIVISION 1,
401306,2027-03-28,13:00,ROYAL HERVE-BATTICE A,RBC STAVELOT A,MM - DIVISION 1,
401011,2027-04-03,21:00,RBC STAVELOT A,BC COINTE A,MM - DIVISION 1,
401325,2027-04-10,17:00,ABC WAREMME A,RBC STAVELOT A,MM - DIVISION 1,
401331,2027-04-17,19:00,RBC STAVELOT A,RB UNION LIEGE A,MM - DIVISION 1,
401347,2027-04-24,20:30,HENRI-CHAPELLE A,RBC STAVELOT A,MM - DIVISION 1,
406021,2026-09-12,21:00,RBC STAVELOT B,RBC AUBEL,MM - DIVISION 3 C,
406033,2026-09-19,17:00,BC VERVIERS D,RBC STAVELOT B,MM - DIVISION 3 C,
406055,2026-10-02,21:00,RBC BLEGNY A,RBC STAVELOT B,MM - DIVISION 3 C,
406061,2026-10-10,17:00,RBC STAVELOT B,BBC EUPEN A,MM - DIVISION 3 C,
