Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
772113,2026-02-08,10:00,RBC AWANS,ABC WAREMME A,CPE PROV CADETTES,(Salle de Sprimont)
772114,2026-02-08,12:15,ABC WAREMME B,RBC ESNEUX,CPE PROV CADETTES,(Salle de Sprimont)
763146,2026-02-07,12:45,CRISTAL SGH B,ABC WAREMME A,CPE PROV MINIMES MM,(Salle de Grivegnée)
414215,2026-01-24,18:00,ABC WAREMME A,COLLEGE S LOUIS,DD - DIVISION 2 A,
414221,2026-02-01,13:00,LA VILLERSOISE A,ABC WAREMME A,DD - DIVISION 2 A,
414195,2026-02-07,18:00,ABC WAREMME A,ROYAL BC NINANE A,DD - DIVISION 2 A,
414245,2026-02-15,12:00,ABC WAREMME A,RBC STAVELOT,DD - DIVISION 2 A,(Hall d'Oreye)
414265,2026-02-28,19:00,ABC WAREMME A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414277,2026-03-07,21:00,RBC BLEGNY B,ABC WAREMME A,DD - DIVISION 2 A,
414295,2026-03-21,18:00,ABC WAREMME A,ROYALE US AWANS,DD - DIVISION 2 A,
414305,2026-03-28,18:00,ABC WAREMME A,BC SPRIMONT B,DD - DIVISION 2 A,
414315,2026-04-04,21:00,PRAYON TROOZ B,ABC WAREMME A,DD - DIVISION 2 A,
414331,2026-04-19,15:00,ALL. FLEMALLE A,ABC WAREMME A,DD - DIVISION 2 A,
415217,2026-01-24,20:00,ABC WAREMME B,CRISTAL SGH A,DD - DIVISION 2 B,
415202,2026-01-27,19:00,AVENIR JUPILLE B,ABC WAREMME B,DD - DIVISION 2 B,
415226,2026-02-04,21:00,ROYAL BC NINANE B,ABC WAREMME B,DD - DIVISION 2 B,
415197,2026-02-07,20:00,ABC WAREMME B,ROYAL ANS BC,DD - DIVISION 2 B,
415247,2026-02-14,20:00,ABC WAREMME B,RBC ALLEUR D,DD - DIVISION 2 B,
415277,2026-03-07,20:00,ABC WAREMME B,BC VERLAINE A,DD - DIVISION 2 B,
