Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415323,2026-04-11,21:00,VAIL. JUPILLE,CRISTAL SGH A,DD - DIVISION 2 B,
415336,2026-04-18,19:00,ROYAL BC NINANE B,VAIL. JUPILLE,DD - DIVISION 2 B,(Vaux/Chèvremont)
403323,2026-04-12,10:00,VAIL. JUPILLE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403336,2026-04-19,18:00,RBC DISON-ANDRIMONT A,VAIL. JUPILLE A,MM - DIVISION 2 B,
405323,2026-04-11,19:00,VAIL. JUPILLE B,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 B,
405336,2026-04-19,16:00,RBC DISON-ANDRIMONT B,VAIL. JUPILLE B,MM - DIVISION 3 B,
407323,2026-04-11,17:00,VAIL. JUPILLE C,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407336,2026-04-19,15:00,ROYAL BC NINANE D,VAIL. JUPILLE C,MM - DIVISION 4 A,(Vaux/Chèvremont)
528323,2026-04-11,11:30,VAIL. JUPILLE B,BC BELLEFLAMME B,U 10 - MM I,
508323,2026-04-12,12:00,VAIL. JUPILLE,UN HUY BASKET C,U 12 - MM I,
491323,2026-04-12,14:00,VAIL. JUPILLE,R.UN.BELLAIRE,U 14 - PROV MM B,
451323,2026-04-11,15:00,VAIL. JUPILLE,RBC AWANS,U 16 - ELITES MM B,
552323,2026-04-11,10:00,VAIL. JUPILLE,RBC VISE,U 7 - MM C,
552332,2026-04-18,11:30,BC SPRIMONT B,VAIL. JUPILLE,U 7 - MM C,
542323,2026-04-11,10:00,VAIL. JUPILLE,BC BELLEFLAMME B,U 8 - MM C,
542332,2026-04-18,13:15,BC SPRIMONT A,VAIL. JUPILLE,U 8 - MM C,
