Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
764151,2026-02-07,17:15,ROYAL BC WANZE A,ORP JAUCHE,CPE PROV PUPILLES MM,(Salle de Sprimont)
417317,2026-01-17,21:00,ORP JAUCHE,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417217,2026-01-24,20:00,ORP JAUCHE,REBOND NEUVILLE,DD - DIVISION 3 B,
417197,2026-02-07,17:00,ORP JAUCHE,RBC AWANS,DD - DIVISION 3 B,
417264,2026-02-28,17:00,GIANTS BRAIVES,ORP JAUCHE,DD - DIVISION 3 B,
417277,2026-03-07,17:00,ORP JAUCHE,BC VERLAINE B,DD - DIVISION 3 B,
417306,2026-03-28,19:00,R HT-PRE OUGREE B,ORP JAUCHE,DD - DIVISION 3 B,
417327,2026-04-11,17:00,ORP JAUCHE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417334,2026-04-19,14:00,RBC HANEFFE D,ORP JAUCHE,DD - DIVISION 3 B,
407207,2026-01-17,17:00,ORP JAUCHE A,RSW LIEGE BASKET C,MM - DIVISION 4 A,
407215,2026-01-25,11:00,BC VERLAINE,ORP JAUCHE A,MM - DIVISION 4 A,
407227,2026-01-31,17:00,ORP JAUCHE A,ETOILE JUPILLE B,MM - DIVISION 4 A,
407193,2026-02-07,17:00,VAIL. JUPILLE C,ORP JAUCHE A,MM - DIVISION 4 A,
407247,2026-02-13,20:30,RBC ALLEUR D,ORP JAUCHE A,MM - DIVISION 4 A,
407267,2026-02-28,17:00,ORP JAUCHE A,RBC VISE D,MM - DIVISION 4 A,
407276,2026-03-07,21:00,GIANTS BRAIVES A,ORP JAUCHE A,MM - DIVISION 4 A,
407294,2026-03-22,14:00,RBC HANEFFE C,ORP JAUCHE A,MM - DIVISION 4 A,
407307,2026-03-28,21:00,ORP JAUCHE A,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407316,2026-04-05,15:00,ROYAL BC NINANE D,ORP JAUCHE A,MM - DIVISION 4 A,
407321,2026-04-11,19:00,LA VILLERSOISE C,ORP JAUCHE A,MM - DIVISION 4 A,
407337,2026-04-18,17:00,ORP JAUCHE A,RBC DISON-ANDRIMONT D,MM - DIVISION 4 A,
410207,2026-01-17,19:00,ORP JAUCHE B,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410215,2026-01-24,17:00,RB TILFF D,ORP JAUCHE B,MM - DIVISION 4 D,
