Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
403195,2026-02-07,17:00,RB TILFF B,RBC DISON-ANDRIMONT A,MM - DIVISION 2 B,
403245,2026-02-14,19:00,RB TILFF B,PEPINSTER EAST BELG C,MM - DIVISION 2 B,
403265,2026-02-28,19:00,RB TILFF B,BC VERVIERS C,MM - DIVISION 2 B,
403277,2026-03-07,18:30,RBC ALLEUR B,RB TILFF B,MM - DIVISION 2 B,
403295,2026-03-22,18:00,RB TILFF B,VAIL. JUPILLE A,MM - DIVISION 2 B,
403305,2026-03-28,19:00,RB TILFF B,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403315,2026-04-05,11:30,ROYAL MOSA AC 1941 A,RB TILFF B,MM - DIVISION 2 B,
403325,2026-04-11,19:00,RB TILFF B,R.UN.BELLAIRE A,MM - DIVISION 2 B,
403331,2026-04-19,15:00,HARIMALIA BC B,RB TILFF B,MM - DIVISION 2 B,
404134,2026-02-06,21:00,RB TILFF C,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404243,2026-02-14,19:00,AVENIR JUPILLE A,RB TILFF C,MM - DIVISION 3 A,
404204,2026-02-21,19:00,RB TILFF C,RB UNION LIEGE B,MM - DIVISION 3 A,
404261,2026-02-28,21:00,ALL. FLEMALLE B,RB TILFF C,MM - DIVISION 3 A,
404274,2026-03-07,19:00,RB TILFF C,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
404185,2026-03-15,11:00,FLERON BBC B,RB TILFF C,MM - DIVISION 3 A,
404294,2026-03-22,14:00,RB TILFF C,HANNUT BC B,MM - DIVISION 3 A,
404302,2026-03-29,15:00,ROYAL HERVE-BATTICE B,RB TILFF C,MM - DIVISION 3 A,
404314,2026-04-03,20:45,RB TILFF C,ROYALE US AWANS A,MM - DIVISION 3 A,
404324,2026-04-12,9:00,BC BELLEFLAMME E,RB TILFF C,MM - DIVISION 3 A,
404334,2026-04-18,19:00,RB TILFF C,HENRI-CHAPELLE B,MM - DIVISION 3 A,
410195,2026-02-07,21:00,RB TILFF D,R HT-PRE OUGREE B,MM - DIVISION 4 D,
410245,2026-02-14,17:00,RB TILFF D,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410265,2026-02-28,17:00,RB TILFF D,GIANTS BRAIVES B,MM - DIVISION 4 D,
410295,2026-03-22,20:00,RB TILFF D,RBC AWANS C,MM - DIVISION 4 D,
410277,2026-03-25,21:00,BCM HERSTAL C,RB TILFF D,MM - DIVISION 4 D,
410305,2026-03-28,17:00,RB TILFF D,UN HUY BASKET B,MM - DIVISION 4 D,
410315,2026-04-05,15:00,CRISTAL SGH E,RB TILFF D,MM - DIVISION 4 D,
410325,2026-04-11,17:00,RB TILFF D,ROYAL ANS BC A,MM - DIVISION 4 D,
410331,2026-04-18,21:00,HARIMALIA BC E,RB TILFF D,MM - DIVISION 4 D,
411243,2026-02-14,17:00,AVENIR JUPILLE B,RB TILFF E,MM - DIVISION 4 E,
411204,2026-02-21,21:00,RB TILFF E,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
411261,2026-03-01,10:00,ROYAL SPA BC E,RB TILFF E,MM - DIVISION 4 E,
411274,2026-03-07,17:00,RB TILFF E,DF BC MALMEDY,MM - DIVISION 4 E,
411196,2026-03-19,20:30,MAIL. COMBLAIN C,RB TILFF E,MM - DIVISION 4 E,
411294,2026-03-20,21:00,RB TILFF E,RBC BLEGNY C,MM - DIVISION 4 E,
411302,2026-03-29,11:30,RBC STAVELOT C,RB TILFF E,MM - DIVISION 4 E,
411324,2026-04-10,19:00,BC REVEIL B,RB TILFF E,MM - DIVISION 4 E,
411334,2026-04-18,17:00,RB TILFF E,HENRI-CHAPELLE C,MM - DIVISION 4 E,
AW103124,2026-02-07,19:00,RB TILFF A,PEPINSTER EAST BELG B,MM - REGIONALE 2 B,
AW103130,2026-02-15,17:45,R.B.C. BELGRADE,RB TILFF A,MM - REGIONALE 2 B,
AW103145,2026-02-28,21:00,RB TILFF A,ROYAL BC NINANE B,MM - REGIONALE 2 B,
AW103154,2026-03-08,15:30,BC ATHUS,RB TILFF A,MM - REGIONALE 2 B,
AW103138,2026-03-22,16:00,RB TILFF A,BC SAINT-HUBERT,MM - REGIONALE 2 B,
AW103173,2026-04-11,21:00,RB TILFF A,UCCLE EUROPE,MM - REGIONALE 2 B,
AW103176,2026-04-18,21:00,CHALET WOL ST PIERRE,RB TILFF A,MM - REGIONALE 2 B,
AW103166,2026-04-25,21:00,CEP FLEURUS,RB TILFF A,MM - REGIONALE 2 B,
522235,2026-02-07,9:30,RB TILFF A,BC SPRIMONT B,U 10 - MM C,
522265,2026-03-01,11:00,RB TILFF A,ROYAL BC WANZE A,U 10 - MM C,
522272,2026-03-08,9:00,UN HUY BASKET A,RB TILFF A,U 10 - MM C,
522305,2026-03-28,10:30,RB TILFF A,ROYAL ANS BC A,U 10 - MM C,
522324,2026-04-11,9:15,COLLEGE S LOUIS A,RB TILFF A,U 10 - MM C,
523235,2026-02-07,11:00,RB TILFF C,BC SPRIMONT C,U 10 - MM D,
523221,2026-02-21,9:00,ABC WAREMME A,RB TILFF C,U 10 - MM D,
523265,2026-03-01,13:00,RB TILFF C,ORP JAUCHE,U 10 - MM D,
523272,2026-03-07,13:15,CONDROZ MODAVE BB A,RB TILFF C,U 10 - MM D,
523305,2026-03-28,12:30,RB TILFF C,RBC AWANS A,U 10 - MM D,
523324,2026-04-11,9:00,BC COINTE A,RB TILFF C,U 10 - MM D,
526265,2026-03-01,11:00,RB TILFF B,ROYAL BC NINANE B,U 10 - MM G,
526272,2026-03-07,9:00,PEPINSTER EAST BELG C,RB TILFF B,U 10 - MM G,
526305,2026-03-28,14:00,RB TILFF B,BCM HERSTAL,U 10 - MM G,
526324,2026-04-11,9:00,CRISTAL SGH F,RB TILFF B,U 10 - MM G,
526331,2026-04-19,9:00,HARIMALIA BC B,RB TILFF B,U 10 - MM G,
529235,2026-02-07,11:00,RB TILFF D,BC SPRIMONT D,U 10 - MM J,
529265,2026-03-01,13:00,RB TILFF D,GIANTS BRAIVES B,U 10 - MM J,
529305,2026-03-28,10:30,RB TILFF D,RBC ESNEUX C,U 10 - MM J,
529324,2026-04-04,10:45,R REN. MONTEGNEE,RB TILFF D,U 10 - MM J,
501265,2026-02-12,19:00,RB TILFF A,ROYAL BC NINANE A,U 12 - MM B,
501195,2026-02-14,9:00,RB TILFF A,R 4A AYWAILLE-HAMOIR,U 12 - MM B,
501221,2026-02-21,9:00,ABC WAREMME A,RB TILFF A,U 12 - MM B,
501295,2026-03-22,9:00,RB TILFF A,RSW LIEGE BASKET,U 12 - MM B,
501305,2026-03-28,9:00,RB TILFF A,RBC AWANS A,U 12 - MM B,
501324,2026-04-11,11:30,BC COINTE B,RB TILFF A,U 12 - MM B,
501331,2026-04-19,11:15,ALL. FLEMALLE C,RB TILFF A,U 12 - MM B,
502195,2026-02-14,11:00,RB TILFF B,CRISTAL SGH B,U 12 - MM C,
502265,2026-02-28,12:00,RB TILFF B,GIANTS BRAIVES A,U 12 - MM C,
502272,2026-03-07,10:00,BC SPRIMONT B,RB TILFF B,U 12 - MM C,
502235,2026-03-14,10:30,RB TILFF B,BC BELLEFLAMME A,U 12 - MM C,
502295,2026-03-22,10:30,RB TILFF B,ROYAL ANS BC,U 12 - MM C,
502324,2026-04-12,10:30,COLLEGE S LOUIS A,RB TILFF B,U 12 - MM C,
502331,2026-04-19,13:00,ALL. FLEMALLE B,RB TILFF B,U 12 - MM C,
480233,2026-02-07,15:00,ETOILE JUPILLE,RB TILFF A,U 14 - ELITES MM A,
480194,2026-02-14,11:00,COLLEGE S LOUIS A,RB TILFF A,U 14 - ELITES MM A,
480274,2026-03-07,9:30,RB TILFF A,RBC ALLEUR,U 14 - ELITES MM A,
480294,2026-03-22,12:00,RB TILFF A,ALL. FLEMALLE A,U 14 - ELITES MM A,
480334,2026-04-18,13:00,RB TILFF A,HENRI-CHAPELLE,U 14 - ELITES MM A,
421334,2026-02-21,17:00,R 4A AYWAILLE-HAMOIR,RB TILFF,U 21 - MM B,
421194,2026-02-28,14:00,RB TILFF,ROYAL BC WANZE,U 21 - MM B,
421274,2026-03-07,11:30,RB TILFF,ROYAL ANS BC,U 21 - MM B,
